"敏感词（第3行=无效汉字过滤，第4行=无效数字过滤，第5行=汉字拆分）
[通配符过滤：词间加%=过滤最多128个任意单字；词间加若干.=过滤n个任意单字（n=.数量）]","中文特殊检测[0=不额外增加特殊检测，1=乱序检测，2=同音字检测，4=字母检测(如xjp/习近平），8=社交检测，单字过滤=16,32=不屏蔽自身的社交检测]（多种检测则将数字相加，命中几个加几个）",
FraudString,FraudType,FraudNum
守,,
搜,,
群,,
君,,
羊,,
裙,,
羣,,
加,,
十,,
+,,
领,,
免,,
费,,
福,,
利,,
坐,,
骑,,
拿,,
皮,,
肤,,
服,,
激,,
活,,
码,,
Q,,
抠,,
扣,,
秋,,
球,,
p,,
i,,
f,,
u,,
P,,
I,,
F,,
U,,
企,,
鹅,,
鵝,,
扩,,
列,,
微,,
徽,,
V,,
v,,
薇,,
威,,
W,,
w,,
信,,
x,,
讯,,
获,,
取,,
迷,,
M,,
m,,
你,,
N,,
n,,
币,,
B,,
b,,
I,,
i,,
豆,,
号,,
h,,
a,,
o,,
H,,
A,,
O,,
有,,
偿,,
卖,,
买,,
買,,
賣,,
送,,
出,,
刷,,
扫,,
码,,
抖,,
音,,
阴,,
卡,,
红,,
包,,
教,,
黑,,
科,,
技,,
粉,,
丝,,
支,,
付,,
宝,,
懂,,
代,,
写,,
解,,
锁,,
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
零,,
一,,
二,,
三,,
四,,
五,,
六,,
七,,
八,,
九,,
