序列ID,物品ID,物品名称,系列ID,大类ID,大类名称
ID,ItemID,ItemName,SeriesID,TypeID,TypeName
1,862,象牙白玻璃灯,1,1,家具
2,863,朱砂橙玻璃灯,1,1,家具
3,864,胭脂红玻璃灯,1,1,家具
4,865,天青蓝玻璃灯,1,1,家具
5,866,鹅毛黄玻璃灯,1,1,家具
6,867,松花绿玻璃灯,1,1,家具
7,868,海棠红玻璃灯,1,1,家具
8,869,苍石灰玻璃灯,1,1,家具
9,861,木纹灯,2,1,家具
10,870,浅苍灰玻璃灯,2,1,家具
11,871,青碧绿玻璃灯,2,1,家具
12,872,青莲紫玻璃灯,2,1,家具
13,873,宝石蓝玻璃灯,2,1,家具
14,874,深栗红玻璃灯,2,1,家具
15,875,翡翠绿玻璃灯,2,1,家具
16,876,赫赤红玻璃灯,2,1,家具
17,877,煤乌黑玻璃灯,2,1,家具
18,965,椅子,3,1,家具
19,966,桌子,3,1,家具
20,967,沙发,3,1,家具
21,968,棕色壁炉,3,1,家具
22,969,柜子,3,1,家具
23,970,象牙白椅子,4,1,家具
24,971,象牙白桌子,4,1,家具
25,972,象牙白沙发,4,1,家具
26,973,白色壁炉,4,1,家具
27,974,象牙白柜子,4,1,家具
28,975,松木椅子,5,1,家具
29,976,松木桌子,5,1,家具
30,977,松木沙发,5,1,家具
31,978,黑色壁炉,5,1,家具
32,979,松木柜子,5,1,家具
33,854,落日橙门,6,1,家具
34,855,深栗红门,6,1,家具
35,856,象牙白门,6,1,家具
36,857,炽炎门,6,1,家具
37,858,海棠红门,6,1,家具
38,859,琥珀黄门,6,1,家具
39,860,秋叶橙木门,6,1,家具
40,883,精致木床,7,1,家具
41,884,豪华木床,7,1,家具
42,885,公主床,7,1,家具
43,960,基石-混凝土,8,2,建筑
44,961,基石-裂土,8,2,建筑
45,962,白色基石,8,2,建筑
46,963,基石-坚冰,8,2,建筑
47,964,基石-钢板,8,2,建筑
48,886,秘银星能幕布,9,1,家具
49,888,钛金星能幕布,9,1,家具
50,890,熔岩星能幕布,9,1,家具
51,1159,铰链方块,24,3,装备
52,1160,机械爪,24,3,装备
53,1161,液压臂,24,3,装备
54,1164,避震器,24,3,装备
55,12281,弹弓,10,3,装备
56,12280,大爆竹,10,3,装备
57,12283,弩,10,3,装备
58,12284,火箭筒,10,3,装备
59,892,木质字牌,11,1,家具
60,893,石质字牌,11,1,家具
61,894,秘银字牌,11,1,家具
62,895,炽炎字牌,11,1,家具
63,896,钨金字牌,11,1,家具
64,897,熔岩字牌,11,1,家具
65,898,灯笼,12,1,家具
66,899,古典路灯,12,1,家具
67,900,现代路灯,12,1,家具
68,926,黑色铜围栏,13,1,家具
69,927,白色铜围栏,13,1,家具
70,928,小花盆,13,1,家具
71,929,大花盆,13,1,家具
72,931,蜡烛台,12,1,家具
73,933,吊灯,12,1,家具
74,934,典雅壁灯,12,1,家具
75,935,精致壁灯,12,1,家具
76,936,台灯,12,1,家具
77,881,喷花烟花,14,4,节日
78,940,春节窗花-福,14,4,节日
79,941,春节窗花-禄,14,4,节日
80,942,春节窗花-寿,14,4,节日
81,943,春节窗花-喜,14,4,节日
82,945,中式宫灯,14,4,节日
83,946,红色陶花盆,14,4,节日
84,947,绿色陶花盆,14,4,节日
85,948,大瓷花盆,14,4,节日
86,949,新春宫灯,14,4,节日
87,12253,火箭背包,14,4,节日
88,12830,孔明灯,15,4,节日
89,13808,荷灯,15,4,节日
90,419,秋叶橙地板,16,2,建筑
91,420,海棠红地板,16,2,建筑
92,424,精制黄砖板,16,2,建筑
93,427,竖格釉面砖,16,2,建筑
94,428,四格釉面砖,16,2,建筑
95,429,不规则釉面砖,16,2,建筑
96,539,象牙白栅栏,17,2,建筑
97,551,粗制石砖围栏,17,2,建筑
98,552,象牙白围栏,17,2,建筑
99,553,木栅栏,17,2,建筑
100,554,铜围栏,17,2,建筑
