购买ID,道具ID,道具数量,货币类型(STAR星星 JEWEL迷你币),购买价格,描述,推荐/折扣显示（1推荐 2折扣）,限购ID(1000起）,购买次数,成功返回飘字
ProductID,ID,Num,CurrencyType,Cost,Desc,Tag,PurchaseLimitID,BuyNum,StringID
1,24601,1,JEWEL,188,购买后可以获得大部分定制装扮的免费使用权，有效期30天，购买后立即生效,1,,,30260
4,12856,1,JEWEL,300,购买使用：修改一次昵称。,,,,131
8,12965,1,JEWEL,20,包含3张可以瞬间传送回家的卷轴，非常方便。,1,,,131
13,10025,1,JEWEL,20,包含3张可以瞬间传送回当前星球家的位置的卷轴，非常方便,1,,,131
10,1055,1,JEWEL,10,房主加密箱，联机小伙伴输入房主设置的密码即可开启。,,,,131
11,1056,1,JEWEL,20,房主加密箱，联机小伙伴输入房主设置的密码即可开启。,1,,,131
5,845,1,JEWEL,10,房主专用，十分坚硬，防熊必备,,,,131
6,846,1,JEWEL,20,房主专用，大而坚固，防熊必备,1,,,131
2,12751,1,JEWEL,20,使用可向天空发射一个扭蛋图案的烟花(购买时赠送#c0AAA1A扭蛋券*1#n),,,,30183
3,12752,1,JEWEL,20,使用可向天空发射一个果实图案的烟花(购买时赠送#c0AAA1A活动券*1#n),,,,30183
7,12831,1,JEWEL,15,往空中发射绚丽的烟花，掉落一些经验！,,,,131
9,12750,1,JEWEL,50,"往空中发射笑脸烟花！
（购买时赠送#c5aea0a迷你豆#nx300）",,,,131
12,10023,1,JEWEL,25,使用后可获得悦享卡经验,,,,131
