编号,皮肤名称,皮肤ID,角色ID,动作ID（窗口显示）,对应动作ID（实际使用的动作）,对应模型ID,版本是否开放（0不开放，1开放）,动作名,类型（0显示在官方动作列表，1-8分别为动作分类列表筛选）,动作名（备注使用）
ID,Name,SkinID,ActionID,CharacterID,Toaction,Tomodel,Close,StringID,Type,表格备注：
1,兔美美,3,,100131,300100,,1,15256,0,感谢
2,兔美美,3,,100155,300101,,1,15255,0,胜利（高兴）
3,乔治,6,,100108,300102,,0,20446,0,商城出场动画
4,墨家小飞,8,,100140,300103,,0,15250,0,打招呼
5,墨家小飞,8,,100131,300104,,0,15256,0,感谢
6,德古拉六世,9,,100108,300105,,0,20446,0,商城出场动画
7,德古拉六世,9,,100140,300106,,0,15250,0,打招呼
8,德古拉六世,9,,100131,300107,,0,15256,0,感谢
9,叮叮当,10,,100155,300108,,1,15255,0,胜利（高兴）
10,慕容笑天,13,,100131,300109,,1,15256,0,感谢
11,啦啦队长克莱尔,16,,100108,300110,,0,20446,0,商城出场动画
12,啦啦队长克莱尔,16,,100140,300111,,1,15250,0,打招呼
13,甜心玛丽,19,,100140,300112,,1,15250,0,打招呼
14,甜心玛丽,19,,100131,300113,,1,15256,0,感谢
15,程锦衣,20,,100108,300114,,0,20446,0,商城出场动画
16,程锦衣,20,,100155,300115,,0,15255,0,胜利（高兴）
17,花小楼,21,,100108,300116,,0,20446,0,商城出场动画
18,花小楼,21,,100131,300117,,0,15256,0,感谢
19,月无双,23,,100155,300118,,0,15255,0,胜利（高兴）
20,小龙,24,,100140,300119,,0,15250,0,打招呼
21,二郎神,25,,100131,300200,,0,15256,0,感谢
22,余小乐,26,,100155,300201,,0,15255,0,胜利（高兴）
23,幻零式,29,,100108,300202,,0,20446,0,商城出场动画
24,幻零式,29,,100140,300203,,0,15250,0,打招呼
25,幻零式,29,,100131,300204,,0,15256,0,感谢
26,柳仙儿,30,,100108,300205,,0,20446,0,商城出场动画
27,米娜,32,,100108,300206,,0,20446,0,商城出场动画
28,雪灵,33,,100131,300207,,0,15256,0,感谢
29,雪灵,33,,100155,300208,,0,15255,0,胜利（高兴）
30,斩浪,38,,100108,300209,,0,20446,0,商城出场动画
31,斩浪,38,,100140,300210,,0,15250,0,打招呼
32,安吉洛斯,39,,100108,300211,,0,20446,0,商城出场动画
33,安吉洛斯,39,,100155,300212,,0,15255,0,胜利（高兴）
34,暗星,40,,100140,300213,,0,15250,0,打招呼
35,兰斯洛特,41,,100108,300214,,0,20446,0,商城出场动画
36,千兵卫,43,,100108,300215,,0,20446,0,商城出场动画
37,啾啾,47,,100155,300216,,0,15255,0,胜利（高兴）
38,华乐,48,,100155,300217,,0,15255,0,胜利（高兴）
39,擎天柱,52,,100140,300218,,0,15250,0,打招呼
40,慕斯,54,,100155,300219,,0,15255,0,胜利（高兴）
41,大黄蜂,58,,100155,300220,,0,15255,0,胜利（高兴）
42,花仙子,59,,100108,300221,,0,20446,0,商城出场动画
43,花仙子,59,,100140,300222,,0,15250,0,打招呼
44,爱丽丝,62,,100155,300223,,0,15255,0,胜利（高兴）
45,热破,65,,100155,300224,,0,15255,0,胜利（高兴）
46,全能玩家劳尔,67,,100163,300225,,0,15254,0,伸懒腰
47,全能玩家劳尔,67,,100155,300226,,0,15255,0,胜利（高兴）
48,青弦,69,,100155,300227,,0,15255,0,胜利（高兴）
49,紫悦,70,,100108,300228,,0,20446,0,商城出场动画
50,紫悦,70,,100155,300229,,0,15255,0,胜利（高兴）
51,Avata,,,100401,300230,,0,20442,0,Avatar转头
52,Avata,,,100402,300231,,0,20443,0,Avatar转圈
53,Avata,,,100403,300232,,0,20444,0,Avatar叉腰
54,Avata,,,100404,300233,,0,20445,0,Avatar抬腿
55,Avata,,,100210,300234,,1,20221,0,耍帅AR
56,Avata,,,100212,300235,,0,20218,0,出场AR
57,Avata,,,100213,300236,,1,20222,0,舞蹈AR
58,Avata,,,100401,300271,,1,20442,0,转头
59,Avata,,,100402,300272,,1,20443,0,转圈
60,Avata,,,100403,300273,,1,20444,0,叉腰
61,Avata,,,100404,300274,,1,20445,0,抬腿
62,Avata,,,100405,300275,,1,20480,0,转身
63,Avata,,,100166,300276,,1,20481,0,亲亲/喜欢
64,Avata,,,100173,300277,,1,20482,0,害羞
65,Avata,,,100168,300278,,1,20483,0,尴尬
66,Avata,,,100169,300279,,1,20484,0,发呆
200,Avata站立（默认）,,,100100,300245,,1,15260,1,
201,Avata跑（默认）,,,100101,300246,,1,12516,2,
202,Avata坐下（默认）,,,100103,300248,,1,12518,3,
203,Avata躺下（默认）,,,100102,300247,,1,12517,4,
204,Avata游泳（默认）,,,100104,300249,,1,12519,5,
205,Avata攻击（默认）,,,100105,300250,,1,12520,6,
206,Avata死亡（默认）,,,100106,300251,,1,12521,7,
207,Avata受击（默认）,,,100107,300252,,1,12522,8,
208,Avata站立,,,100100,300237,,1,15260,1,
209,Avata跑,,,100101,300238,,1,12516,2,
210,Avata坐下,,,100103,300240,,1,12518,3,
