唯一识别ID,签到类型/1七天 2每周 3国庆活动,天数/周几,奖励名称,奖励图标,奖励类型/0道具，1迷你币,奖励物品ID,奖励数量,奖励存放提示,活跃度
idx_id,SignInType,WhatDay,RewardName,RewardIcon,RewardType,RewardID,RewardNum,RewardTips,RewardIntegral
101,1,1,晴雨烟花,,1,12833,2,已存入仓库,5
102,1,2,保险箱,,1,845,2,已存入仓库,5
103,1,3,星星礼盒,,1,12963,1,已存入仓库,5
104,1,4,小星星烟花,,1,12831,1,已存入仓库,5
105,1,5,晴雨烟花,,1,12833,3,已存入仓库,5
106,1,6,星星礼盒,,1,12963,2,已存入仓库,5
107,1,7,迷你大礼包,,1,12949,1,已存入仓库,5
201,2,1,蛋蛋福袋,,1,12962,2,已存入仓库,5
202,2,2,装扮礼封,,1,12961,1,已存入仓库,5
203,2,3,星星礼盒,,1,12963,1,已存入仓库,5
204,2,4,装扮礼封,,1,12961,1,已存入仓库,5
205,2,5,星星礼盒,,1,12963,1,已存入仓库,5
206,2,6,迷你豆,,1,10000,12,已添加到账户,5
207,2,7,迷你豆,,1,10000,18,已添加到账户,5
301,3,1,星星礼盒,,0,12963,4,已存入仓库,
302,3,2,一袋迷你豆,,0,12928,1,已存入仓库,
303,3,3,传送卷轴,,0,12964,4,已存入仓库,
304,3,4,一袋迷你豆,,0,12928,1,已存入仓库,
305,3,5,星星烟花,,0,12831,5,已存入仓库,
306,3,6,一袋迷你豆,,0,12928,1,已存入仓库,
307,3,7,迷你披风,,0,12254,1,已存入仓库,
308,3,8,一袋迷你豆,,0,12928,1,已存入仓库,
309,3,9,一袋迷你豆,,0,12928,1,已存入仓库,
310,3,10,一袋迷你豆,,0,12928,1,已存入仓库,
311,3,11,一袋迷你豆,,0,12928,1,已存入仓库,
312,3,12,装扮卡片,,0,12960,30,已存入仓库,
313,3,13,一袋迷你豆,,0,12928,2,已存入仓库,
314,3,14,一袋迷你豆,,0,12928,2,已存入仓库,
315,3,15,一袋迷你豆,,0,12928,2,已存入仓库,
316,3,16,一袋迷你豆,,0,12928,2,已存入仓库,
317,3,17,一袋迷你豆,,0,12928,2,已存入仓库,
318,3,18,一袋迷你豆,,0,12928,2,已存入仓库,
319,3,19,一袋迷你豆,,0,12928,2,已存入仓库,
320,3,20,贝雷帽,,0,12955,50,已存入仓库,
