渠道ID,备注,分享获取迷你豆,帐号切换,帐号加密,短信充值,SDK充值,家园,问题反馈,分享预约,手机绑定,邮箱绑定,安全绑定,QQ钱包支付,插件地图上传
ID,,Share,AccSwitch,AccEncode,SmsPay,SdkPay,HomeChest,FeedBack,Reservation,MobileBinding,EmailBinding,SecurityBinding,QQWalletPay,
1,官网,1,1,1,1,1,1,1,0,0,0,0,1,1
2,4399,0,1,1,1,1,1,1,0,0,0,0,1,1
3,九游-阿里,0,1,1,1,1,1,1,0,0,0,0,1,1
4,咪咕,1,1,1,1,1,1,1,0,0,0,0,1,1
5,联通Wo,1,1,1,1,1,1,1,0,0,0,0,1,1
6,爱游戏,1,1,1,1,1,1,1,0,0,0,0,1,1
7,华为,1,1,1,1,1,1,1,0,0,0,0,1,1
8,百度91助手,1,1,1,1,1,1,1,0,0,0,0,1,1
9,当乐,1,1,1,1,1,1,1,0,0,0,0,1,1
10,联想应用中心,1,1,1,1,1,1,1,0,0,0,0,1,1
11,魅族,1,1,1,1,1,1,1,0,0,0,0,1,1
12,小米,1,1,1,1,1,1,1,0,0,0,0,1,1
13,OPPO,1,1,1,1,1,1,1,0,0,0,0,1,1
14,安智,1,1,1,1,1,1,1,0,0,0,0,1,1
15,360,1,1,1,1,1,1,1,0,0,0,0,1,1
16,酷狗,1,1,1,1,1,1,1,0,0,0,0,1,1
17,百度多酷,1,1,1,1,1,1,1,0,0,0,0,1,1
18,百度手机助手,1,1,1,1,1,1,1,0,0,0,0,1,1
19,百度贴吧,1,1,1,1,1,1,1,0,0,0,0,1,1
20,联想游戏中心,1,1,1,1,1,1,1,0,0,0,0,1,1
21,腾讯应用宝,1,1,1,1,1,1,1,0,0,0,0,1,1
22,腾讯QQ浏览器(已不打包了）,1,1,1,1,1,1,1,0,0,0,0,1,1
23,腾讯金山内部渠2(已不打包了）,1,1,1,1,1,1,1,0,0,0,0,1,1
24,腾讯游戏中心,1,1,1,1,1,1,1,0,0,0,0,1,1
25,腾讯应用中心,1,1,1,1,1,1,1,0,0,0,0,1,1
26,腾讯刷机精灵(已不打包了）,1,1,1,1,1,1,1,0,0,0,0,1,1
27,腾讯定制游戏中心(已不打包了）,1,1,1,1,1,1,1,0,0,0,0,1,1
28,腾讯视频(已不打包了）,1,1,1,1,1,1,1,0,0,0,0,1,1
29,美图,1,1,1,1,1,1,1,0,0,0,0,1,1
30,拇指玩,1,1,1,1,1,1,1,0,0,0,0,1,1
31,机锋,1,1,1,1,1,1,1,0,0,0,0,1,1
32,金立,1,1,1,1,1,1,1,0,0,0,0,1,1
33,木蚂蚁,1,1,1,1,1,1,1,0,0,0,0,1,1
34,豌豆荚,1,1,1,1,1,1,1,0,0,0,0,1,1
35,酷派,1,1,1,1,1,1,1,0,0,0,0,1,1
36,Vivo,1,1,1,1,1,1,1,0,0,0,0,1,1
37,乐视,1,1,1,1,1,1,1,0,0,0,0,1,1
38,搜狗浏览器,1,1,1,1,1,1,1,0,0,0,0,1,1
39,搜狗手机助手,1,1,1,1,1,1,1,0,0,0,0,1,1
40,搜狗输入法,1,1,1,1,1,1,1,0,0,0,0,1,1
41,搜狗搜索,1,1,1,1,1,1,1,0,0,0,0,1,1
42,搜狗游戏,1,1,1,1,1,1,1,0,0,0,0,1,1
45,苹果,1,1,1,1,1,1,1,0,0,0,0,1,1
46,腾讯QQ大厅移动,1,1,1,1,1,1,1,0,0,0,0,1,1
47,QQ游戏大厅安卓,1,0,0,1,1,1,1,0,0,0,0,1,1
49,三星,1,1,1,1,1,1,1,0,0,0,0,1,1
100,PC官方,1,1,1,1,1,1,1,0,1,1,1,1,1
101,QQ游戏大厅PC,1,0,0,1,1,1,1,0,0,0,0,1,1
109,qqzone渠道,1,0,0,1,1,1,1,0,0,0,0,1,1
121,pc渠道4399,1,0,0,1,1,1,1,0,0,0,0,1,1
122,pc渠道7k7k,1,0,0,1,1,1,1,0,0,0,0,1,1
199,PC官方外网测试,1,1,1,1,1,1,1,0,1,1,1,1,1
303,google海外,1,1,1,1,1,1,1,0,1,1,1,1,1
345,ios海外,1,1,1,1,1,1,1,0,0,0,0,1,1
399,海外先遣,1,1,1,1,1,1,1,0,0,0,0,1,1
999,内部开发,1,1,1,1,1,1,1,0,1,1,1,1,1
