序号,动作命名,描述,动作id,图标,特效命名,特效索引装扮id（填入则单个播放，不填则都播放）,音效,表情（暂时废弃）,是否为游戏内动作[0=否，1=是],"是否解锁[不填=否,1=是]",货币类型[0=免费，1=迷你币，2=迷你豆],消耗货币数量,"专属[0=装扮,1=Avatar]",装扮id,装扮互动副ID,解锁装扮互动动作皮肤ID,排序权重,"副装扮方位(0,,1上,2下,3前,4后,5左,6右)",副装扮距离  单位:格,界面ID,界面副ID,"界面副方位(0,,1上,2下,3前,4后,5左,6右)",界面副距离  单位:格,界面偏移  单位:像素,界面缩放,备注
ID,Name,Desc,ActID,icon,Effect,EffectSkinID,Sound,FaceID,InGame,,,,SkinType,SkinID,SkinID2,UnlockActSkinID,SortWeight,PosDirect,Distance,SkinID3,SkinID4,PosDirect2,Distance2,SkinOffset,SkinScale,
1,打招呼,挥挥手，打声招呼,100140,icon100140,,,,face_100155,1,,,,,,,,3,,,,,,,,,
2,疑问,小小的脑袋，大大的疑问,100162,icon100162,anim_100162,,,,1,,,,,,,,3,,,,,,,,,
3,哭泣,捂脸大哭,100159,icon100159,anim_100159,,,face_100159,1,,,,,,,,3,,,,,,,,,
4,生气,火冒三丈，气得跺脚,100158,icon100158,anim_100158,,,face_100158,1,,,,,,,,3,,,,,,,,,
5,伸懒腰,有点困，伸个懒腰,100163,icon100163,,,,,1,,,,,,,,3,,,,,,,,,
6,高兴,露出开心的样子,100155,icon100155,,,,face_100155,1,,,,,,,,3,,,,,,,,,
7,感谢,诚恳地鞠个躬,100131,icon100131,,,,,1,,,,,,,,3,,,,,,,,,
8,休闲,四周望望，放松一下,100130,icon100130,,,,face_100130,1,,,,,,,,3,,,,,,,,,
9,倒地,突然倒地,100157,icon100157,,,,,1,,,,,,,,3,,,,,,,,,
10,pose,摆出迷人的招牌动作,100133,icon100133,,,,,1,,,,,,,,3,,,,,,,,,
11,专属动作,柔柔专属动作,100108,icon100108,140072_1,,,,1,,,,0,72,,,2,,,,,,,,,
12,专属动作,月亮公主专属动作,100108,icon100108,140073_1,,,,1,,,,0,73,,,2,,,,,,,,,
13,专属动作,碧琪专属动作,100108,icon100108,skin81_showup,,,,1,,,,0,81,,,2,,,,,,,,,
14,专属动作,星光熠熠女孩专属动作,100108,icon100108,140086_1,,,,1,,,,0,86,,,2,,,,,,,,,
15,专属动作,云宝女孩专属动作,100108,icon100108,140087_1,,,,1,,,,0,87,,,2,,,,,,,,,
16,专属动作,音韵公主女孩专属动作,100108,icon100108,140088_1,,,,1,,,,0,88,,,2,,,,,,,,,
17,专属动作,朝露繁花专属动作,100108,icon100108,140113_1,,,,1,,,,0,114,,,2,,,,,,,,,
18,专属动作,冰公主专属动作,100108,icon100108,140115_1,,,,1,,,,0,115,,,2,,,,,,,,,
19,专属动作,罗丽专属动作,100108,icon100108,140116_1,,,,1,,,,0,116,,,2,,,,,,,,,
20,测试互动1,落樱与雷光的互动动作,102001,icon102001,,,,,1,,,,,999,998,,1,3,2,,,,,,,
21,测试互动2,落樱与落樱的互举动作,102002,icon102002,,,,,1,,,,,999,999,,1,3,2,,,,,,,
22,测试互动3,落樱通用的互动动作,102003,icon102003,,,,,1,,,,,999,1,,1,3,2,,,,,,,
23,莺飞长空-空侯,弹奏箜篌,102001,icon102001,140175_4,169,act.act23,,1,,,,,171,169,,1,5,2.5,171,169,5,2,0,0.9,
24,莺飞长空-莺初,旋转飞舞,102001,icon102001,140175_4,169,act.act23,,1,,,,,169,171,,1,6,2.5,171,169,5,2,0,0.9,
25,变装,看我华丽变身！,100170,icon100170,avt_zhongji_1,,act.act25,,1,,,,,,,,3,,,,,,,,,
26,高兴2,露出开心的样子,100155,icon100155,avt_zhongji_1,,act.act25,face_100155,1,,,,,,,,4,,,,,,,,,
27,展示武魂,唐三专属动作,100858,icon100156,lanlingcao_1,,,,1,,,,,240,,,2,,,,,,,,,
28,展示武魂,小舞专属动作,100858,icon100156,rougutu_1,,,,1,,,,,241,,,2,,,,,,,,,
29,展示武魂,比比东专属动作,100858,icon100156,bibidong_1,,,,1,,,,,242,,,2,,,,,,,,,
30,释放魂技,奥斯卡专属动作,100858,icon100156,anim_100858,,,,1,,,,,243,,,2,,,,,,,,,
31,展示武魂,马红俊专属动作,100858,icon100156,fenghuang_1,,,,1,,,,,244,,,2,,,,,,,,,
32,展示武魂,戴沐白专属动作,100858,icon100156,baihu_1,,,,1,,,,,246,,,2,,,,,,,,,
33,展示武魂,朱竹清专属动作,100858,icon100156,lingmao_1,,,,1,,,,,247,,,2,,,,,,,,,
34,展示武魂,宁荣荣专属动作,100858,icon100156,hunji,,,,1,,,,,248,,,2,,,,,,,,,
35,花瓣雨,菲丽茜亚专属动作,100927,icon100108,140272_4,,,,1,,,,,306,,,2,,,,,,,,,
36,花瓣雨,菲丽茜亚专属动作,100927,icon100108,140272_4,,,,1,,,,,307,,,2,,,,,,,,,
37,安琪儿专属,安琪儿专属,102001,icon102001,140350_4,331,act.act26,,1,,,,,331,332,,1,6,2.5,332,331,5,2,0,0.9,
38,伊萨亚专属,伊萨亚专属,102001,icon102001,140350_4,331,act.act26,,1,,,,,332,331,,1,5,2.5,332,331,5,2,0,0.9,
