keyid,名字,属性描述
keyid,Name,AttrDesc
5001,Launch,Has a 10% chance to knock away +
5002,Launch,Has a 20% chance to knock away +
5003,Launch,Has a 30% chance to knock away +
6001,Sharp,Melee Attack+
6002,Sharp,Melee Attack+
6003,Sharp,Melee Attack+
7001,Human Hunter,Human Hunter+
7002,Human Hunter,Human Hunter+
7003,Human Hunter,Human Hunter+
8001,Beast Hunter,Beast Hunter +
8002,Beast Hunter,Beast Hunter +
8003,Beast Hunter,Beast Hunter +
9001,Elite Hunter,Elite Hunter +
9002,Elite Hunter,Elite Hunter +
9003,Elite Hunter,Elite Hunter +
10001,Burning,Burning Level
10002,Burning,Burning Level
10003,Burning,Burning Level
11001,Knockback Distance increased,Knockback Distance increased
11002,Knockback Distance increased,Knockback Distance increased
11003,Knockback Distance increased,Knockback Distance increased
12001,Lucky Hunting,Lucky Hunting Level
12002,Lucky Hunting,Lucky Hunting Level
12003,Lucky Hunting,Lucky Hunting Level
13001,Powerful Shoot,Bow and Arrow Damage+
13002,Powerful Shoot,Bow and Arrow Damage+
13003,Powerful Shoot,Bow and Arrow Damage+
14001,Unlimited Shot,Unlimited Shot
14002,Unlimited Shot,Unlimited Shot
14003,Unlimited Shot,Unlimited Shot
15001,Durability,Durability+
15002,Durability,Durability+
15003,Durability,Durability+
16001,Melee Resistance,Melee Resistance+
16002,Melee Resistance,Melee Resistance+
16003,Melee Resistance,Melee Resistance+
17001,Ranged Resistance,Ranged Resistance+
17002,Ranged Resistance,Ranged Resistance+
17003,Ranged Resistance,Ranged Resistance+
18001,Blast Resistance,Blast Resistance+
18002,Blast Resistance,Blast Resistance+
18003,Blast Resistance,Blast Resistance+
19001,Burning Resistance,Burning Resistance+
19002,Burning Resistance,Burning Resistance+
19003,Burning Resistance,Burning Resistance+
20001,Poison Resistance,Poison Resistance+
20002,Poison Resistance,Poison Resistance+
20003,Poison Resistance,Poison Resistance+
21001,Chaos Resistance,Chaos Resistance+
21002,Chaos Resistance,Chaos Resistance+
21003,Chaos Resistance,Chaos Resistance+
22001,Counterstrike,Has a 15% chance to counterattack melee units +
22002,Counterstrike,Has a 30% chance to counterattack melee units +
22003,Counterstrike,Has a 45% chance to counterattack melee units +
23001,Knockback Distance reduced,Distance of being Knocked-back reduced
23002,Knockback Distance reduced,Distance of being Knocked-back reduced
23003,Knockback Distance reduced,Distance of being Knocked-back reduced
24001,Complete Acquisition,Complete Acquisition
24002,Complete Acquisition,Complete Acquisition
24003,Complete Acquisition,Complete Acquisition
25001,Digging Speed,Digging Speed +
25002,Digging Speed,Digging Speed +
25003,Digging Speed,Digging Speed +
26001,Lucky Digging,Lucky Digging Level
26002,Lucky Digging,Lucky Digging Level
26003,Lucky Digging,Lucky Digging Level
27001,Blast Shot,Blast Shot+
27002,Blast Shot,Blast Shot+
27003,Blast Shot,Blast Shot+
28001,Dragon's Fall,Fall Height Detection -
28002,Dragon's Fall,Fall Height Detection -
28003,Dragon's Fall,Fall Height Detection -
29001,Spear Goblin,Spear Goblin+
29002,Spear Goblin,Spear Goblin+
29003,Spear Goblin,Spear Goblin+
30001,Downhill (Greaves),"Crouch in the Air, Falling Speed +"
30002,Downhill (Greaves),"Crouch in the Air, Falling Speed +"
30003,Downhill (Greaves),"Crouch in the Air, Falling Speed +"
31001,Wall Climbing (Shoes),"Enable Wall Climbing, but speed"
31002,Wall Climbing (Shoes),"Enable Wall Climbing, but speed"
31003,Wall Climbing (Shoes),"Enable Wall Climbing, but speed"
32001,Bleed,Bleed Level
32002,Bleed,Bleed Level
32003,Bleed,Bleed Level
33001,Lightning Whip,Lightning Whip Lvl 1
33002,Lightning Whip,Lightning Whip Lvl 2
33003,Lightning Whip,Lightning Whip Lvl 3
34003,Lightning Whip,Lightning Whip Lvl 4
35003,Lightning Whip,Lightning Whip Lvl 5
36001,Lucky Fishing,Lucky Fishing Level
36002,Lucky Fishing,Lucky Fishing Level
36003,Lucky Fishing,Lucky Fishing Level
37001,Cold-resistant,Cold-resistant+
37002,Cold-resistant,Cold-resistant+
37003,Cold-resistant,Cold-resistant+
38001,Freezing Resistance,Freezing Resistance+
38002,Freezing Resistance,Freezing Resistance+
38003,Freezing Resistance,Freezing Resistance+
39003,Tool Blessing,Tool Blessing
40003,Weapon Blessing,Weapon Blessing
41003,Equipment Blessing,Equipment Blessing
42001,Ice Damage,Ice Damage Level
42002,Ice Damage,Ice Damage Level
42003,Ice Damage,Ice Damage Level
43001,Bonus Melee Physical Damage,Melee Physical Damage +
43002,Bonus Melee Physical Damage,Melee Physical Damage +
43003,Bonus Melee Physical Damage,Melee Physical Damage +
44001,Perseverance,Damage Reduction +
44002,Perseverance,Damage Reduction +
44003,Perseverance,Damage Reduction +
45001,Ranged Protection,Ranged Physical Damage -
45002,Ranged Protection,Ranged Physical Damage -
45003,Ranged Protection,Ranged Physical Damage -
46001,Blast Damage,Blast Damage -
46002,Blast Damage,Blast Damage -
46003,Blast Damage,Blast Damage -
47001,Resilience Restoration Speed,Resilience Restoration Speed +
47002,Resilience Restoration Speed,Resilience Restoration Speed +
47003,Resilience Restoration Speed,Resilience Restoration Speed +
48001,Jump High,Jumping Ability +
48002,Jump High,Jumping Ability +
48003,Jump High,Jumping Ability +
49001,Transform,Enemy Transformation Chance +
49002,Transform,Enemy Transformation Chance +
49003,Transform,Enemy Transformation Chance +
50001,Durability Protection,Chance of Not to Lose Durability +
50002,Durability Protection,Chance of Not to Lose Durability +
50003,Durability Protection,Chance of Not to Lose Durability +
51001,Quick Fishing,Fishing Speed +
51002,Quick Fishing,Fishing Speed +
51003,Quick Fishing,Fishing Speed +
52001,Slow,Chance to Slow Enemy +
52002,Slow,Chance to Slow Enemy +
52003,Slow,Chance to Slow Enemy +
53001,Digging Stamina reduced,Digging Stamina lowered
53002,Digging Stamina reduced,Digging Stamina lowered
53003,Digging Stamina reduced,Digging Stamina lowered
54001,Meteor’s Fall,Meteor’s Fall
54002,Meteor’s Fall,Meteor’s Fall
54003,Meteor’s Fall,Meteor’s Fall
55001,Bonus Star EXP,Star EXP Gains +
55002,Bonus Star EXP,Star EXP Gains +
55003,Bonus Star EXP,Star EXP Gains +
56001,Skill Haste,Skill Cooldown -
56002,Skill Haste,Skill Cooldown -
56003,Skill Haste,Skill Cooldown -
57001,Last Hit,+ 2% Last Hit Damage
57002,Last Hit,+ 2% Last Hit Damage
57003,Last Hit,+ 2% Last Hit Damage
58001,Knockback Resistance,+ 5% Knockback Resistance
58002,Knockback Resistance,+ 10% Knockback Resistance
58003,Knockback Resistance,+ 15% Knockback Resistance
59001,Bonus Damage to Beasts,Damage to Beast +
59002,Bonus Damage to Beasts,Damage to Beast +
59003,Bonus Damage to Beasts,Damage to Beast +
60001,Bonus Damage to Boarman,Damage to Boarmen +
60002,Bonus Damage to Boarman,Damage to Boarmen +
60003,Bonus Damage to Boarman,Damage to Boarmen +
61001,Bonus Damage to Elite,Damage to Elite +
61002,Bonus Damage to Elite,Damage to Elite +
61003,Bonus Damage to Elite,Damage to Elite +
62001,Bonus Void Damage,Damage to Void Creatures +
62002,Bonus Void Damage,Damage to Void Creatures +
62003,Bonus Void Damage,Damage to Void Creatures +
63001,Bonus Horas Damage,Damage to Horas Creatures +
63002,Bonus Horas Damage,Damage to Horas Creatures +
63003,Bonus Horas Damage,Damage to Horas Creatures +
64001,Bonus Aquatic Damage,Damage to Aquatic Creatures +
64002,Bonus Aquatic Damage,Damage to Aquatic Creatures +
64003,Bonus Aquatic Damage,Damage to Aquatic Creatures +
