ID,名称,描述,说明
ID,Name,Desc,Notes
100001,Current Global Weather Mode,Current Global Weather Mode,
100002,Distance from one position to another,Distance between %1 and %2,
100006,Determine the Area the location belongs to,%1%2 is in %3,
100007,Block Type in Specified Location,%1's Block Type,
100008,Direction: from one position to another,The direction from %1 to %2,
100009,The direction of absolute three axis coordinates,"The direction of X%1, Y%2, Z%3",
10001,Convert Location to Area,"Set %1 as center, area with dimensions (%2, %3, %4)",
100010,The direction of absolute spherical coordinates,"Azimuth %1, elevation %2",
100011,Location,Location %1,
100012,Area,Area %1,
100013,Timer,Timer %1,
100014,Location Group,Location Group %1,
100015,Area Group,Area Group %1,
100016,Timer Group,Timer Group %1,
100017,Random Weather,Random Weather,
100018,Terrain Group Weather,%1's Weather,
10002,Area Offset,"%1 shifts along the coordinate axis (%2, %3, %4)",
10003,Expand Area,"Expand %1's coordinate axis by X%2, Y%3, Z%4 grids",
10005,Specified Coordinate Location,The position of X%1Y%2Z%3,
10006,Location Offset (Original location changes),"%1 shifts along the coordinate axis (%2, %3, %4)",
10007,Central Location of the Area,%1's Central Location,
10008,Random Location of the Area,%1's Random Location,
10009,Timer Time,%1's Time,
10010,Ray length in the specified direction,"Start with %1, project a ray of %3 grids to %2, return ray length between start to block",
10011,String Concatenation,%1 and %2,
10012,Convert Value to String,%1 converts to String,
10015,Block type hit by the ray,Block type hit by the ray of %3 grids from %1 to %2,
10016,Relative direction to the three-axis coordinate system,"%1 is facing X%2, Y%3, Z%4",
10017,Relative direction to the spherical coordinate system,"%1 is facing azimuth %2, elevation %3",
10018,Player Object,%1's Object,
10019,Creature Object,%1's Object,
10020,Projectile Object,%1's Object,
10021,Drops Object,%1's Object,
10022,Tone turns into value,%1 converts to Value,
10024,Location Offset (Original location fixed),"%1 shifts along the coordinate axis (%2, %3, %4)",
10025,Boolean Value,Boolean Value %1,
10026,Value,Value %1,
10027,String,String %1,
10028,Appearance Type,Appearance Type %1,
10029,Boolean Group,Boolean Group %1,
10030,Numerical Group,Numerical Group %1,
10031,String Group,String Group %1,
10032,Obtain the value count in any group,Obtain the value count in %1,
10033,Obtain the number of any value in any group,Obtain the number of %2 in %1,
10034,Obtain the ID of any value in any group,Obtain %2's ID in %1,
10035,Determine if a value exists in any group,%2 exists in %1,
10036,Determine if a specific ID exists in any group,Location ID %2 in %1 exists,
10037,Extract String,Intercepts %2- %3 bits of text from %1,
10038,Convert string to value,%1 converts to Value,
10039,Obtain main device time,Obtain device's %1 time,
10040,Obtain full main device time,Obtain full device time,
10041,Random block type,Random block type,
10042,Split String,"Split %1, the separator is %2, intercept %3 after split",
10043,Obtain the string with the JSON-specified mark,"Obtain %1 in JSON, content with the key name being %2",
10044,Obtain game server time,Obtain game server's %1 time,
10045,Convert timestamp to time unit,Convert timestamp %1 to %2,
10046,Obtain full server time,Obtain full server time,
10047,Convert timestamp to full time,Convert timestamp %1 to full time,
10048,Obtain string length,Obtain %1's length,
10049,Status Type Name,%1's Type Name,
10050,Status Type Description,%1's Plugin Description,
10051,Obtain block type coordinates,Obtain the closest %2 coordinates from %1 and search for a radius of %3 blocks on the XYZ axis,
10052,Backpack Item Bar,Obtain %1,
10053,Quick Bar Key,Obtain %1,
10054,Equipment Bar,Obtain %1,
10055,Block type converts to item type,%1 converts to Item Type,
10056,Item type converts to block,%1 converts to Block Type,
10057,Obtain the current room ID,Obtain the current room ID,
1010001,Weather Change,When weather changes,When the weather turned from sunny to rainy and rainy to sunny
1010002,When the weather of the terrain group changes,When the weather for the specified %1 changes,"Common Group: Plains/Forest/Cliffs/Jungle/Basin/Floating Island/River; Ocean Group: Beach/Deep Sea/Shallow Sea/Islands; Desert Group: Desert/Oasis; Ordinary Frigid Zone: Coniferous Forest/Icefield; Alpine Frigid Zone: Iceberg; Volcanic Group: Volcano; Wetland Group: Rainforest/Swamp; Flat, Floating Island."
1020001,Create Game,When game is created,"Countdown starts. 3, 2, 1, starting the game."
1020002,Game Moment,When it's %1 in the game,When the game is at a specified time point
1020003,Game Runtime,When the game runs for %1s,After entering the game and running for a specified time
1020004,The player wins,When the player wins,
1020005,The player loses,When the player loses,
1020007,Player enters the game,When the player enters the game,
1020008,Player leaves the game,When the player leaves the game,
1020009,Timer Changes,When the timer changes,When any timer variable in the variable library changes
1020010,Specific timer changes,When %1 changes,When the specified timer variable in the variable library changes
1020011,During every game runtime (loop),For every %1s the game runs,"1. The minimum value is 0.05 seconds. For values between 0.01-0.09, 0.05 will be taken.
2. It will be triggered after every specific period the game runs (loop)."
