ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
ID,Name,Desc,BuyTips,EffectDesc1,EffectDesc2,EffectDesc3,EffectDesc4,EffectDesc5,EffectDesc6
1,Pandaa,A tsundere panda boy who likes bamboos!,The Skin Card can be obtained from Garden Fruits.,Footprint: Leaves panda footprints wherever you walk.,Avatar: Unlock avatar-Panda,@Null@,,,
2,Little Monkey King,On limited sale in Spring Festival of the Year of Monkey. Little Monkey King is by your side during the Spring Festival!,The Skin Card can be obtained from Garden Fruits.,Footprint: Leaves lucky cloud footprints wherever you walk.,Avatar: Unlock avatar-Little Monkey King,@Null@,,,
3,Bunny Beauty,A cute bunny who leaves carrot footprints wherever she passes by.,The Skin Card can be obtained from Garden Fruits.,Footprint: Leaves carrot footprints wherever you walk.,Avatar: Unlock avatar-Bunny Beauty,@Null@,,,
4,Misra,Be careful of Misra in the primitive world!,The Skin Card can be obtained from Garden Fruits.,Footprint: Leaves dinosaur footprints wherever you walk.,Avatar: Unlock avatar-Misra,@Null@,,,
5,Waitress Sweety,Ding! Welcome to Meow Café!,Unlocking items can be obtained from Garden Fruits.,Footprint: Leaves meow footprints wherever you walk.,Avatar: Unlock avatar-Waitress Sweety,@Null@,,,
6,George,A vibrant boy who likes sports and music.,Unlocking items can be obtained from Garden Fruits.,Footprint: Leaves blue hearts wherever you walk.,Avatar: Unlock avatar-George,@Null@,,,
7,Anny,An energetic girl who likes dancing and desserts.,Unlocking items can be obtained from Garden Fruits.,Footprint: Leaves red hearts wherever you walk.,Avatar: Unlock avatar-Anny,@Null@,,,
8,Mohist Xiaofei,A member of the ancient Mohist school and a master of machinery.,@Null@,Footprint: Leaves zephyr wings wherever you walk.,Avatar: Unlock avatar-Mohist Xiaofei,Special flying actions in the Creation mode,Create mode flight effects,,
9,Dracula VI,The elegant and grim descendant of the royal family who received the Embrace.,Unlocking items can be obtained from Garden Fruits.,Body Effect: Blood mist and black bats are around you!,Avatar: Unlock avatar-Dracula VI,@Null@,,,
10,Jingle Deer,A cute and naughty deer that lives in the Happy Christmas Valley.,@Null@,Body Effect: Christmas aura is around you!,Avatar: Unlock avatar-Jingle Deer,Footprint: Leaves Christmas deer footprints wherever you walk.,,,
11,Heath Hunter Snow,The brave Heath Hunter Snow comes from the polar region. Eagles are his friends.,@Null@,Body Effect: Freezing snowflakes are around you!,Avatar: Unlock avatar-Heath Hunter Snow,Footprint: Leaves snowball footprints wherever you walk.,,,
12,Yuji,A fairy falls to the mortal world from the heaven and meets Murong Xiaotian by chance.,@Null@,Body Effect: Petals are around you!,Avatar: Unlock avatar-Yuji,@Null@,,,
13,Murong Xiaotian,A hermit who practices outside the mountains and meets Yuji by chance.,@Null@,Body Effect: Vigorous breath is around you!,Avatar: Unlock avatar-Murong Xiaotian,Footprint: Leaves footprints wherever you walk.,,,
14,Joey the Sheriff,Sorry. Maybe my bullets don't fancy you.,@Null@,Body Effect: There's smoke dust under the feet!,Avatar: Unlock avatar-Joey the Sheriff,Footprint: Leaves badge footprints wherever you walk.,,,
15,Lucas the Basketball Captain,A superb basketball expert with excellent skills. He is the MVP of the game.,@Null@,@Null@,Avatar: Unlock avatar-Lucas,Footprint: Leaves basketball footprints wherever you walk.,,,
16,Clair the Cheerleader,"Like Lucas, she is so glamorous that she can attract the attention of everyone.",@Null@,@Null@,Avatar: Unlock avatar-Clair the Cheerleader,Footprint: Leaves ribbon footprints wherever you walk.,,,
17,Western Rose Lucy,"Uh-huh, my bullets might favor you.",@Null@,Body Effect: Red hearts float around you!,Avatar: Unlock avatar-Lucy,@Null@,,,
18,Captain Teach,"Mary, I want to be the most famous pirate captain, looking for treasures in the depth of the ocean.",@Null@,@Null@,Avatar: Unlock avatar-Captain,Footprint: Leaves footprints wherever you walk.,,,
19,Mary,Then I want to be the most famous pirate captain's minion.,@Null@,Body Effect: The aura of pink ocean is around you!,Avatar: Unlock Avatar,@Null@,,,
20,Jinyi,"Yesterday, an east wind stirred the night. In bright moonshine I dared not to look back.",@Null@,Footprint: There's wind under your feet.,Avatar: Unlock Avatar,@Null@,,,
21,Xiaolou,"When our homeland was still there, we used to watch the fireworks together. But now, you're nowhere to be found.",@Null@,Body Effect: Peach blossoms float around you!,Avatar: Unlock Avatar,@Null@,,,
22,Lilith,Trick or treat!,@Null@,Body Effect: Exude the witch's aura,Avatar: Unlock Avatar,@Null@,,,
23,Wushuang,Don't mistake my kindness for weakness!,@Null@,Body Effect: Blue flowers are around you!,Avatar: Unlock avatar-Steamed Bun,@Null@,,,
24,Dragonet,Your world is for me to guard!,@Null@,Footprint: Leaves dark smoke wherever you walk.,Avatar: Unlock avatar-Dragonet,@Null@,,,
25,Lord Erlang,I will help to ward off the evil spirits and keep you safe.,@Null@,Body Effect: Positive vibe is around you!,Avatar: Unlock avatar-Lord Erlang,@Null@,,,
26,Mermale,Mama always told me that only those with dreams can live a happy life.,@Null@,Body Effect: Exude the breath of dreams...,Avatar: Unlock avatar-Mermale,@Null@,,,
27,Misoso,"Chief Environmental Dreamer of ""World Guardian Program"" who fights to make the world better. Facing the increasingly serious desertification, Mini World decided to donate 50,000 Haloxylon ammodendron to Alxa Charity on behalf of all players.",Unlocking items can be obtained from World Guardian Program.,Body Effect: Exude nature's blessing.,Avatar: Unlock avatar-Misoso,@Null@,,,
28,Mini-X,"Being the guardian of time and space, the girl loves traveling and music.",@Null@,Body Effect: Electromagnetic particles are around you!,Avatar: Unlock avatar-Mini-X,@Null@,,,
29,Mini-T,What's inside of the cold suit is a burning soul that aims for the vast and infinite galaxy.,@Null@,Body Effect: Electromagnetic particles appear on the back!,Avatar: Unlock avatar-Mini-T,@Null@,,,
30,Moon Fairy,She dances under the moonlight. Only those lucky ones can have a glimpse.,@Null@,Body Effect: Crescent moons are around you!,Avatar: Unlock Avatar,@Null@,,,
31,Pumpkie,A mysterious and powerful Magician who has a book full of mysteries and a seemingly useless magical headgear.,@Null@,Body Effect: Exude magical aura,Avatar: Unlock avatar-Pumpkie,@Null@,,,
32,Shelley,The Little Princess from the mysterious undersea kingdom gets lost in the Mini World. Those who make her happy will hear her beautiful singing.,@Null@,Body Effect: Droplets are around you!,Avatar: Unlock avatar-Shelley,Footprint: Leaves shell footprints wherever you walk.,,,
33,Christopher,The secret of winter is that every snowflake is alive and they protect each other.,@Null@,Body Effect: Snowflakes are around you!,Avatar: Unlock avatar-Christopher,@Null@,,,
34,Dodo Bobo,Dodo and Bobo are best friends with Misra. They have very low self-esteem as they are weak. They set out on a journey to find a planet where they can obtain the Color Magic with the hope of becoming stronger. (Purchase the Mini Star Workshop blueprint to unlock. Collect all the Dodo and Bobo skins to unlock the colorful skins of Dodo Bobo!),@Null@,Body Effect: Colors change according to the environment!,Avatar: Unlock Avatar,@Null@,,,
35,Dodo,Dodo and Bobo are best friends with Misra. They have very low self-esteem as they are weak. They set out on a journey to find a planet where they can obtain the Color Magic with the hope of becoming stronger. (Purchase the Mini Star Workshop blueprint to unlock. Collect all the Dodo and Bobo skins to unlock the colorful skins of Dodo Bobo!),@Null@,Avatar: Unlock Avatar,@Null@,@Null@,,,
36,Bobo,Dodo and Bobo are best friends with Misra. They have very low self-esteem as they are weak. They set out on a journey to find a planet where they can obtain the Color Magic with the hope of becoming stronger. (Purchase the Mini Star Workshop blueprint to unlock. Collect all the Dodo and Bobo skins to unlock the colorful skins of Dodo Bobo!),@Null@,Avatar: Unlock Avatar,@Null@,@Null@,,,
37,Dreamer,"A girl who has left her dreams wanted to travel. Not only for adventure, but also to live the way she wants.",@Null@,Avatar: Unlock Avatar,Footprint: Leaves petal footprints wherever you walk.,@Null@,,,
38,Marshal Wavecleaver,This marshal has experienced many wars. He looks like a commander of Heavenly Naval Forces.,@Null@,Body Effect: Water drops are around you!,Avatar: Unlock Avatar,Footprint: Leaves water drop footprints wherever you walk.,,,
39,Eva,Kind and honest Eva uses the scepter to spread love and hope to every corner of Mini World and guards every generation of explorers. (Eva can be obtained only via events),Unlocking items can be obtained from events,Body Effect: Feathers are around you!,Avatar: Unlock Avatar,@Null@,,,
40,Mini-Beat,A DJ from the void who loves electronic rock music. He is the most dazzling star on the stage with a strong sense of rhythm.,@Null@,Body Effect: Lightnings are around your tail!,Avatar: Unlock Avatar,Footprint: Leaves Musical Note footprints wherever you walk.,,,
41,Lancelot,"What is chivalry? Where the sword points, justice will be done!",@Null@,Body Effect: Starlights are around you!,Avatar: Unlock Avatar,@Null@,,,
