签到类型/1七天 2每周 3国庆活动,天数/周几,英文奖励名称,英文奖励存放提示
SignInType,WhatDay,RewardName,RewardTips
1,1,Rain&Shine fireworks,Pls check your pack
1,2,Safe,Pls check your pack
1,3,Star gift box,Pls check your pack
1,4,Little star fireworks,Pls check your pack
1,5,Rain&Shine fireworks,Pls check your pack
1,6,Star gift box,Pls check your pack
1,7,Mini gift pack,Pls check your pack
2,1,Egg lucky bag,Pls check your pack
2,2,Skin package,Pls check your pack
2,3,Star gift box,Pls check your pack
2,4,Skin package,Pls check your pack
2,5,Star gift box,Pls check your pack
2,6,Mini Beans,Added to account
2,7,Mini Beans,Added to account
3,1,Star gift box,Pls check your pack
3,2,A bag of mini beans,Pls check your pack
3,3,Transfer scroll,Pls check your pack
3,4,A bag of mini beans,Pls check your pack
3,5,Star firework ,Pls check your pack
3,6,A bag of mini beans,Pls check your pack
3,7,Mini cloak,Pls check your pack
3,8,A bag of mini beans,Pls check your pack
3,9,A bag of mini beans,Pls check your pack
3,10,A bag of mini beans,Pls check your pack
3,11,A bag of mini beans,Pls check your pack
3,12,Skin card,Pls check your pack
3,13,A bag of mini beans,Pls check your pack
3,14,A bag of mini beans,Pls check your pack
3,15,A bag of mini beans,Pls check your pack
3,16,A bag of mini beans,Pls check your pack
3,17,A bag of mini beans,Pls check your pack
3,18,A bag of mini beans,Pls check your pack
3,19,A bag of mini beans,Pls check your pack
3,20,Beret,Pls check your pack
