ID,名字,描述,天赋名字,天赋描述,解锁提示
ID,Name,Desc,GeniusName,GeniusDesc,BuyTips
1,Chief,Chief of a primitive tribe who likes to go on adventures and expand the tribal land.,Robust,Increases Basic Damage (not activated),@Null@
2,Chief,Chief of a primitive tribe who likes to go on adventures and expand the tribal land.,Robust 1,Basic Damage increases by 5,@Null@
3,Chief,Chief of a primitive tribe who likes to go on adventures and expand the tribal land.,Robust 2,Basic Damage increases by 10,@Null@
4,Chief's Wife,Muscular primitive mother who is good at hunting.,Hunting Expert,Increase hunting harvest (not activated),@Null@
5,Chief's Wife,Muscular primitive mother who is good at hunting.,Hunting Expert 1,There's a 25% chance to get double drops when defeating monsters.,@Null@
6,Chief's Wife,Muscular primitive mother who is good at hunting.,Hunting Expert 2,There's a 25%/15% chance to get double/triple drops when defeating monsters.,@Null@
7,Kaka,He grows up in the primitive tribe and is able to survive in the wild.,Unbending,Reduces Ranged Damage Taken (not activated),@Null@
8,Kaka,He grows up in the primitive tribe and is able to survive in the wild.,Unbending 1,Reduce Ranged Damage Taken by 20%,@Null@
9,Kaka,He grows up in the primitive tribe and is able to survive in the wild.,Unbending 2,Reduce Ranged Damage Taken by 40%,@Null@
10,Nini,Hardworking primitive girl who is particularly self-driven in labor.,Hardworking,Increase Collection Speed (not activated),@Null@
11,Nini,Hardworking primitive girl who is particularly self-driven in labor.,Hardworking 1,Collection Speed increases by 50%.,@Null@
12,Nini,Hardworking primitive girl who is particularly self-driven in labor.,Hardworking 2,Collection Speed increases by 100%.,@Null@
13,Bearly,Every family has a spoiled brat. Wait! What's in his hand?,Bomb Expert,Reduces Blast Damage Taken (not activated),@Null@
14,Bearly,Every family has a spoiled brat. Wait! What's in his hand?,Bomb Expert 1,Reduce Blast Damage Taken by 20%,@Null@
15,Bearly,Every family has a spoiled brat. Wait! What's in his hand?,Bomb Expert 2,Reduce Blast Damage Taken by 40%,@Null@
16,Captain Tom,"Former soldier of the world peacekeeping forces, good at field survival and shooting.",Field survival,Improve food effects and water breathing (not activated),Unlocking items can be obtained from Garden Fruits.
17,Captain Tom,"Former soldier of the world peacekeeping forces, good at field survival and shooting.",Field survival 1,"Stamina/HP recovery speed, Stamina/HP recovered from food, and the reduction of underwater oxygen consumption increase by 10%.",Unlocking items can be obtained from Garden Fruits.
18,Captain Tom,"Former soldier of the world peacekeeping forces, good at field survival and shooting.",Field survival 2,"Stamina/HP recovery speed, Stamina/HP recovered from food, and the reduction of underwater oxygen consumption increase by 20%.",Unlocking items can be obtained from Garden Fruits.
19,Agent Laura,The dream girl of a security company who loves exciting adventures.,Premonition,Immune to fatal damage once (not activated),Unlocking items can be obtained from Garden Fruits.
20,Agent Laura,The dream girl of a security company who loves exciting adventures.,Premonition 1,Respawn with 25% HP immediately when damage taken is greater than 45 which results in death. The cooldown is 5 min.,Unlocking items can be obtained from Garden Fruits.
21,Agent Laura,The dream girl of a security company who loves exciting adventures.,Premonition 2,Respawn with 50% HP immediately when damage taken is greater than 25 which results in death. The cooldown is 3 min.,Unlocking items can be obtained from Garden Fruits.
22,Catty Cindy,Sharp-witted pilot of the primitive archaeological team.,Super jump,Enhance jumping ability. Allow Double Jump at Lvl 2 (not activated).,Unlocking items can be obtained from Garden Fruits.
23,Catty Cindy,Sharp-witted pilot of the primitive archaeological team.,Super jump 1,"Jumping height +50%, Falling Damage -10.",Unlocking items can be obtained from Garden Fruits.
24,Catty Cindy,Sharp-witted pilot of the primitive archaeological team.,Super jump 2,"Jumping height +50%, Falling Damage -20. Can do Double Jump.",Unlocking items can be obtained from Garden Fruits.
25,Assistant Peter,He joined the archaeological team for a perfect graduation paper.,Serendipity,There's a chance to find various items when breaking jars (not activated).,Unlocking items can be obtained from Garden Fruits.
26,Assistant Peter,He joined the archaeological team for a perfect graduation paper.,Serendipity 1,There's an 18% chance to find rare materials when breaking jars.,Unlocking items can be obtained from Garden Fruits.
27,Assistant Peter,He joined the archaeological team for a perfect graduation paper.,Serendipity 2,There's a 27% chance to find more rare materials and special blocks when breaking jars.,Unlocking items can be obtained from Garden Fruits.
28,Professor Stephen,Why would an old professor of the National Academy of Sciences appear in this wild land?,Erudite,There's a chance to find various items when digging stones (not activated).,Unlocking items can be obtained from Garden Fruits.
29,Professor Stephen,Why would an old professor of the National Academy of Sciences appear in this wild land?,Erudite 1,There's a 4% chance to find rare ores and materials when digging stones.,Unlocking items can be obtained from Garden Fruits.
30,Professor Stephen,Why would an old professor of the National Academy of Sciences appear in this wild land?,Erudite 2,"There's a 6% chance to find more rare ores, materials and special blocks when digging stones.",Unlocking items can be obtained from Garden Fruits.
