ID,任务名,任务描述,任务追踪
ID,Name,Desc,TrackDesc
1001001,Place Sacred Fruit,"Place @item_587#@1#r on the Life Plinth ""Sacred Fruit"" represents the once glorious genetic modification technology of the ""Ancient"".",Place @item_587# on the Life Plinth
1001002,Place Broken Flame Sword,"Place @item_588#@1#r on the Courage Plinth ""Broken Flame Sword"" symbolizes the long-standing partnership between the ""Ancient"" and the ""Black Dragon""",Place @item_588# on the Courage Plinth
1001003,Place Stoneman's Eye,"Place @item_589#@1#r on the Wisdom Plinth ""Stoneman's Eye"" represents the wisdom that the ""Ancient"" once took pride in.",Place @item_589# on the Wisdom Plinth
1001004,Defeat Void Phantom!,"Defeat Void Phantom! #r(There's no turning back now, for the sake of Mini World!)",Defeat Void Phantom!
1001005,Contact the Void,Obtain @item_11333##r(Is this ... a new beginning? ...),Obtain @item_11333#
1002001,Return to Miras,"We've finally arrived safely on Miras. #rHowever, during our breakthrough of the Starlink blockade, the entire team was dispersed. I wonder if any other partners have also made it to Miras?",Arrival on Miras
1002002,I Need Some Stones,"Collect @item_110# to get @item_11627#@1#r(Long press the stones to collect, you can also open the Craft page, craft@item_104# to get @item_11627#)",Collect @item_110# to get<br/> @item_11627#@1
1002003,More Materials,Collect twigs to get @item_11323#@1#r(Long press the branches to collect. Sometimes the branches grow in a higher place. Is there any way to pad oneself up to reach them?),Collect twigs to get @item_11323#@1
1002004,Start a wonderful life,Use @item_11627# and @item_11323# to craft  @item_11002#@1#r(Handy tools can help you collect resources faster),Open control panel to craft @item_11002#@1
1002005,Lumberjack,Hold @item_11002# and collect tree trunks! You'll get @item_11323#@1#r(@item_11323# is crucial for the journey ahead),Cut trees to collect @item_11323#@1
1002006,Building Expert,"Use @item_11323# to craft @item_206#@1#r(Except @item_206#, most wooden items require @item_11323# for craft, so it's a good idea to collect more)",Craft @item_206#@1
1002007,A Place to Live,Place @item_206# on the ground@1#r(It seems there is a dilapidated house near the star station that was just transmitted. Perhaps it can be repaired with @item_206# so there won't be any worries about where to live),Place @item_206#@1
