购买ID,道具ID,马来语
ProductID,ID,Desc
1,24601,"Selepas membeli, anda boleh mendapat hak percuma untuk menggunakan sebahagian besar pakaian yang disesuaikan, sah selama 30 hari, berkuatkuasa sejurus selepas pembelian"
4,12856,Beli dan gunakan: ubah nama panggilan sekali.
8,12965,Mengandungi 3 tatal yang boleh menghantar anda pulang ke rumah dengan serta-merta. Sangat mudah.
13,10025,"Mengandungi 3 tiket yang dapat digunakan untuk menghantar balik secara langsung ke lokasi rumah planet semasa, sangat mudah"
10,1055,"Pemilik rumah menyulitkan kotak, dan rakan kongsi dalam talian memasukkan kata laluan yang ditetapkan oleh pemilik rumah untuk membukanya."
11,1056,"Pemilik rumah menyulitkan kotak, dan rakan kongsi dalam talian memasukkan kata laluan yang ditetapkan oleh pemilik rumah untuk membukanya."
5,845,"Khas untuk pemilik kediaman yang sangat keras, dapat melindungi anda dari beruang"
6,846,"Khas untuk pemilik rumah, besar dan kukuh, dapat melindungi anda dari beruang"
2,12751,"Selepas digunakan, nyalakan bunga api dengan corak Gashapon ke langit (beli dan dapatkan #c0AAA1A Tiket Gashapon*1#n)"
3,12752,"Selepas digunakan, nyalakan bunga api dengan corak buah ke langit (beli dan dapatkan Tiket Acara #c0AAA1A*1#n)"
7,12831,Tembak bunga api ke langit untuk mendapatkan penurunan EXP!
9,12750,"Lancarkan bunga api tersenyum ke udara!
(Hadiahpercumasemasamembeli#c5aea0akacangmini#nx300)"
12,10023,"Selepas digunakan, anda boleh mendapat mata Kad Musim"
