ID,名称,描述,说明
ID,Name,Desc,Notes
100001,Mod cuaca global semasa,Mod cuaca global semasa,
100002,Jarak antara lokasi dan lokasi,Jarak%1 dari%2,
100006,Lokasi adalah dalam penghakiman kawasan.,%1%2 dalam%3,
100007,Menentukan jenis blok untuk lokasi.,Jenis blok bagi%1,
100008,Orientasi dari kedudukan ke kedudukan,Orientasi bagi%1 hingga%2,
100009,Orientasi koordinat tiga paksi mutlak,"Orientasi bagi X%1, Y%2, Z%3",
10001,Lokasi menjadi kawasan,"Kawasan bersaiz (%2,%3,%4) dengan%1 sebagai titik pusat",
100010,Arah Koordinat Mutlak,"Orientasi azimut%1, sudut ketinggian%2",
100011,Kedudukan,Lokasi%1,
100012,Kawasan,Kawasan%1,
100013,Pemasa,Pemasa%1,
100014,Kumpulan Lokasi,Kumpulan lokasi%1,
100015,Kumpulan Kawasan,Kumpulan kawasan%1,
100016,Kumpulan pemasa,Kumpulan pemasa%1,
100017,Cuaca rawak,Cuaca rawak,
100018,Cuaca dalam Kumpulan Rupa bumi,Cuaca untuk%1,
10002,Ofset Kawasan,"%1 Offset sepanjang paksi (%2,%3,%4)",
10003,Kawasan Dikembangkan,"Besarkan saiz tiga paksi%1 dengan X%2, Y%3, Z%4, masing-masing.",
10005,Nyatakan lokasi koordinat.,Kedudukan nilai koordinat X%1Y%2Z%3,
10006,Offset kedudukan (tukar kedudukan asal),"%1 Offset sepanjang paksi (%2,%3,%4)",
10007,Lokasi pusat kawasan,Lokasi pusat%1,
10008,Lokasi rawak dalam kawasan,Lokasi rawak bagi%1,
10009,Masa pemasa,Masa untuk%1,
10010,Nyatakan panjang sinar arah.,"Unjuran sinar%3 dari%1 ke%2, mengembalikan panjang sinar antara blok penyekat dan kedudukan permulaan.",
10011,Penyambungan rentetan,%1 dan%2,
10012,Nilai berangka ditukar kepada rentetan.,%1 ditukar kepada rentetan.,
10015,Jenis blok yang terkena sinar,Jenis blok yang terkena sinaran%3 dari%1 ke%2,
10016,Arah sistem koordinat tiga paksi relatif,"Orientasi bagi%1 untuk X%2, Y%3, Z%4",
10017,Orientasi sistem koordinat sfera relatif,"Orientasi azimut%2 menghadap%1, arah ketinggian%3",
10018,Objek Pemain,%1 objek,
10019,Objek biologi,%1 objek,
10020,objek lontaran,%1 objek,
10021,Objek Objek Objek Jatuh,%1 objek,
10022,Nada ditukar kepada nilai berangka.,%1 ditukar kepada nilai berangka.,
10024,Offset kedudukan (tanpa mengubah kedudukan asal),"%1 Offset sepanjang paksi (%2,%3,%4)",
10025,Nilai Boolean,Nilai boolean%1,
10026,Nilai berangka,Nilai%1,
10027,Rentetan,Rentetan%1,
10028,Jenis rupa,Jenis rupa%1,
10029,Kumpulan Boolean,Kumpulan boolean%1,
10030,Kumpulan nilai,Kumpulan nilai%1,
10031,Kumpulan rentetan,Kumpulan rentetan%1,
10032,Dapatkan bilangan nilai median bagi mana-mana kumpulan.,Mendapat bilangan nilai dalam%1,
10033,Dapatkan bilangan sebarang nilai dalam mana-mana kumpulan.,Mendapat bilangan%2 dalam%1,
10034,Dapatkan nombor bagi mana-mana nilai dalam mana-mana kumpulan.,Mendapat nombor%2 dalam%1,
10035,Terdapat pertimbangan nilai arbitrari dalam mana-mana kumpulan.,Kehadiran%2 dalam%1,
10036,Penghakiman nilai wujud bagi mana-mana nombor yang ditetapkan oleh mana-mana kumpulan.,Nilai kewujudan lokasi bernombor%2 dalam%1,
10037,Rentetan dipintas,Pintas%2 -%3 bit teks daripada%1,
10038,Rentetan ditukar kepada nilai berangka.,%1 ditukar kepada nilai berangka.,
10039,Dapatkan masa peranti hos.,Mendapatkan%1 kali bagi peranti,
