ID,内容
ID,Content
1000000,Jangan tidur! Bangunlah!
1000001,Akhirnya anda bangun! Memang menakutkan saya!
1000002,"Semuanya berjalan lancar. Tetapi sebelum tiba di Miras, banyak Kuasa Hampa terkumpul dalam Rantai Bintang secara tiba-tiba!"
1000003,"Semua orang bersurai dalam sekelip mata, hanya kami tiba di Miras buat masa ini. Tidak tahu bagaimana keadaan orang lain."
1000004,Adakah anda dalam keadaan baik? Lebih baik kita semak keadaan dahulu.
1000011,"Tengok, ini memaparkan Nilai HP dan Stamina."
1000012,"Garis merah menunjukkan tahap kesihatan semasa anda. Jika terlalu rendah, ia akan menjadi sangat berbahaya, sila beri perhatian!"
1000013,Garis kuning adalah stamina anda yang tinggal.
1000014,"Jika terlalu rendah, akan menjadi sangat memenatkan dan kecekapan akan berkurangan. Apabila anda menghadapi bahaya, anda mungkin tidak dapat bertahan, jadi sila beri perhatian!"
1000021,"Bahagian bawah adalah ""Bar Pintasan"". Klik pada petak ini, anda boleh menukar alat yang dipegang dengan cepat."
1000022,"Keadaan anda tidak begitu baik sekarang, mari kita makan sesuatu untuk pulih!"
1000023,"Klik ini, pegang di dalam tangan anda."
1000031,"Bahagian bawah adalah ""Bar Pintasan"". Klik pada 'kekunci nombor' yang sepadan, boleh menukar alat yang dipegang dengan cepat."
1000032,"Keadaan anda tidak begitu baik sekarang, mari kita makan sesuatu untuk pulih!"
1000033,Tukar ke petak ini dan pegang di tangan anda.
1000041,"Tengok! Makanan di dalam tangan, Hehe. Sekarang tekan lama pada ""butang guna"" untuk makan."
1000051,"Tengok! Makanan di dalam tangan, Hehe. Sekarang tekan lama pada ""Kekunci kana tetikus"" untuk makan."
1000061,"Keadaan sekarang sangat baik, mari kita semak keadaan fizikal."
1000062,"Ikut saya, ambil dua langkah ke hadapan. Klik pada kayu bedik untuk menolak ke hadapan untuk bergerak ke hadapan."
1000063,"Tiada masalah untuk melangkah ke hadapan, sekarang mari kita berundur sedikit. Klik kayu bedik dan tolaknya ke belakang untuk bergerak ke belakang."
1000064,"Baik, sekarang kita pergi ke kiri. Cuba tolak kayu bedik ke kiri."
1000065,"Betul, akhirnya pergi ke kanan. Tolak kayu bedik ke kanan."
1000071,"Keadaan sekarang sangat baik, mari kita semak keadaan fizikal."
1000072,"Ikut saya, bergerak ke hadapan. Klik pada kekunci 'W' untuk bergerak ke hadapan."
1000073,"Tiada masalah untuk melangkah ke hadapan, sekarang mari kita berundur sedikit. Klik pada kekunci 'S' untuk bergerak ke belakang."
1000074,"Baik, sekarang kita pergi ke kiri. Cuba klik pada kekunci 'A' untuk ke kiri."
1000075,"Betul, akhirnya pergi ke kanan. Klik pada kekunci 'D' untuk ke kanan."
1000081,"Nampaknya badan dalam keadaan baik, cuba lompat kemudian."
1000082,"Tekan butang ini untuk melompat, cuba lompat pada blok berdekatan"
1000083,Tiada masalah untuk melompat. Marilah saya fikirkan... Cuba menyelinap. Tekan butang ini untuk menyelinap.
1000091,"Nampaknya badan dalam keadaan baik, cuba lompat kemudian."
1000092,"Klik kekunci 'Kosong' ini untuk melompat, cuba lompat pada blok berdekatan"
1000093,Tiada masalah untuk melompat. Marilah saya fikirkan... Cuba menyelinap. Klik pada kekunci 'Shift' untuk menyelinap.
1000101,"Baik, tiada masalah untuk melompat dan menyelinap. Ingat! Tidak akan jatuh dari tepi blok apabila dalam keadaan menyelinap."
1000102,"Perkara terakhir untuk diperiksa, sila cuba pusingkan kepala untuk melihat kedudukan saya."
1000103,"Beri perhatian kepada arahan saya, leret skrin ke arah saya untuk memusing. Jika sudah bersedia, kita akan bermula"
1000104,"Pertama adalah kiri, saya di sini, leret skrin ke kiri."
1000105,Kemudian adalah kanan. Leret skrin ke kanan.
1000106,"Sekarang adalah atas. Leret skrin untuk mencari saya, hehe."
1000107,Kemudian adalah bawah. Bolehkah anda mencari saya?
1000108,Yang terakhir adalah bahagian belakang. Jarak untuk leret agak panjang.
1000111,"Baik, tiada masalah untuk melompat dan menyelinap. Ingat! Tidak akan jatuh dari tepi blok apabila dalam keadaan menyelinap."
1000112,"Pemeriksaan terakhir, sila cuba pusingkan kepala anda untuk melihat kedudukan saya."
1000113,"Beri perhatian kepada arahan saya, gerakkan tetikus ke arah saya untuk berpusing, kita akan mula apabila sudah bersedia."
