ID,任务名
ID,Name
1001,Kalahkan Bayang Hampa!
1002,Pejuang Fajar
1003,Penjelajah Baru
1004,Belajar Tanpa Akhir
1005,Penjelajah Terampil
1006,Jurutera Rantai Bintang
1007,Misteri Hutan Hujan
1008,Percubaan Abadi
1009,Penyelamatan Antara Dimensi
2001,Tukang Alat
2002,Penjaga Hutan
2003,Pembisik Bunga
2004,Penjaga Tanah Pertanian
2005,Kisah Ternakan
2006,Pakar Penjinak
2007,
2008,Tukang Masak Kanan
2009,Tukang Masak Istimewa
2010,Artis Hebat
2011,Legenda Memancing
2012,Pakar Mineral
3001,Tukang Senjata
3002,Tukang Alat Pertahanan
3003,Peminat Kuasa Rune
3004,Legenda Pertempuran
3005,Pemburu Liar
4001,Teman Terpercaya
4002,
4003,Pengembara Gurun
4004,30.000 Mil Di Bawah Laut
4005,Ekspedisi Kutub
4006,Litar Stellar (Terpelihara)
4007,Kenderaan Mekanikal (Simpanan)
