ID,名字,描述,获得方式
ID,Name,Desc,GetWay
0,Udara,Anda tidak dapat melihat aku,@Null@
1,Batu Pusat Bumi,"Terletak di teras bumi yang paling dalam, sangat keras, tidak boleh digoncang",
2,Blok Fungsi,Blok magik yang mempunyai kekuatan misterius,@Null@
3,Air statik,Blok air statik,@Null@
4,Air Dinamik,Air yang mengalir,
5,Lava Statik,Blok lava statik. Berhati-hati. Sangat panas.,
6,Lava Dinamik,Blok lava yang mengalir. Hati-hati. Sangat panas.,
7,Efek Teleport,Macam blok magik,@Null@
8,Blok Bata Berukir,"Blok binaan yang penuh dengan ukiran, kukuh dan keras.",
9,Blok Mempercepatkan Pergerakan,Sesiapa yang melalui blok ini akan menerima tujahan yang tidak dapat dijelaskan,
10,Blok Celesthium,"Selepas diletakkan, boleh mengeluarkan #c0aba1dIsyarat Celesthium#n secara berterusan",
11,Madu statik,Madu statik,@Null@
12,Madu Dinamik,Madu yang mengalir,
13,Pasir hisap statis,"""Sungai"" yang terbentuk dari pasir hisap adalah berbahaya!",
14,Pasir Hisap Dinamik,"Sungai yang terbentuk dari pasir hisap, bahaya!",
15,Batu Kutukan,"Selepas menyentuh #c0aba1dpasir hisap#n, apakah yang akan berlaku kepada batu yang pelik? Dapatkan kutukan pendarahan apabila menggali!",Dinding luar peninggalan bawah tanah oasis gurun
16,Batu Kutukan-Aktif,"Selepas menyentuh pasir hisap, apakah yang akan berlaku kepada batu yang pelik? Dapatkan Kutukan Berdarah apabila menggali!",Dinding luar peninggalan bawah tanah oasis gurun
17,Racun Statik,"Cecair yang mengeluarkan bau berbahaya, jauhi sejauh mungkin",
18,Racun yang kuat,Racun yang boleh mengalir,
19,Batu Aeolian,"Batuan gurun terhakis oleh angin kencang, agak rapuh",
20,Udara Horas,Sila muat turun versi terbaru.,
21,Kemas kini diperlukan,Sila muat turun versi terbaru.,@Null@
22,Kemas kini diperlukan,Sila muat turun versi terbaru.,@Null@
23,Batu Sedimen,"Struktur berlapis yang terhimpit di laut dalam selama berpuluh ribu tahun, terdapat pelbagai nutrien yang diperlukan untuk alga laut dalam dan sesuai untuk penanaman Alga Batang Pendarfluor dan Alga Merah",Diperolehi dengan memusnahkan Batu Sedimen
