ID,初始描述,选后描述
ID,DefaultDesc,AfterDesc
1,Ya,@Null@
2,Tidak,@Null@
3,07:00:00,@Null@
4,09:00:00,@Null@
5,12:00:00,@Null@
6,18:00:00,@Null@
7,00:00:00,@Null@
8,Dibuat khas,Custom $Num points
9,Lalai,@Null@
10,Cerah sahaja,@Null@
11,Hujan sahaja,@Null@
12,1,@Null@
13,2,@Null@
14,3,@Null@
15,4,@Null@
16,5,@Null@
17,6,@Null@
18,10% daya graviti,@Null@
19,40% daya graviti,@Null@
20,60% daya graviti,@Null@
21,100% gravity force (default),@Null@
22,500% gravity force,@Null@
23,Dibuat khas,Custom $Num
24,Pandangan utama,@Null@
25,Pandangan belakang,@Null@
26,Pandangan Hadapan,@Null@
27,Terkunci,@Null@
28,Terkunci,@Null@
29,Terkunci,@Null@
30,Tuan rumah buka bilik,@Null@
31,Bilik dibuka secara automatik apabila bilangan orang yang mencukupi,@Null@
32,Tiada,@Null@
33,Masa tidak terhad,@Null@
34,2 minit,@Null@
35,5 minit,@Null@
36,10 minit,@Null@
37,Dibuat khas(1-999 minit),Custom $Num Minute
38,10 markah,@Null@
39,50 markah,@Null@
40,100 markah,@Null@
41,Dibuat khas(1-999 minit),Custom $Num Minute
42,Cabar lagi sekarang,@Null@
43,Kiraan masa 5 saat,@Null@
44,Dibuat khas (1-999 minit),Custom $Num seconds
45,5 saat,@Null@
46,10 saat,@Null@
47,Tanpa had,@Null@
48,Tiada muzik,@Null@
49,bgm1 (Dunia Kelajuan),@Null@
50,bgm2 (muzik lucu),@Null@
51,bgm3 (Gaya cina),@Null@
52,bgm4 (Peperangan!),@Null@
53,bgm5 (Kesepian Tuhan),@Null@
54,bgm6 (Suasana penyahsulitan),@Null@
55,bgm7(Bom!),@Null@
56,bgm8(Padang bola sepak),@Null@
57,Serangan bebas,@Null@
58,Dilarang menyerang pemain,@Null@
59,Serangan antara pasukan,@Null@
60,Cerah dan hujan (lalai),@Null@
61,Tidak memerlukan markah,@Null@
62,Tetapkan mengikut peta secara lalai,@Null@
63,Secara rawak tiba di titik pertemuan pasukan,@Null@
64,Ke tempat perjumpaan pasukan terdekat,@Null@
65,Dilihat,@Null@
66,Tidak dapat dilihat,@Null@
67,Penurunan normal,@Null@
68,Kosongkan beg galas,@Null@
69,Simpan barang,@Null@
70,Buka secara automatik tanpa sekatan,@Null@
71,Semua orang dapat melihat,@Null@
72,Hanya dapat dilihat oleh pasukan anda,@Null@
73,Hanya dapat dilihat oleh pasukan musuh,@Null@
74,Semua tidak dilihat,@Null@
75,Lalai (berdasarkan markah),@Null@
76,Kemenangan semua,@Null@
77,Kekalahan semua,@Null@
78,Pandangan suku kunci,@Null@
79,Hidup semula dengan segera,@Null@
80,2,@Null@
81,5,@Null@
82,13,@Null@
83,Dibuat khas(1-99),Custom $Num
84,10,@Null@
85,20,@Null@
86,40,@Null@
87,Dibuat khas(1-40),Custom $Num
88,Kunci paparan tersuai,@Null@
89,0,@Null@
90,120,@Null@
91,Penonton percuma,@Null@
92,Ikuti skrin,@Null@
93,Boleh ditukar,@Null@
94,Kejatuhan kotak,@Null@
95,Pandangan belakang 2,@Null@
96,Pandangan belakang kunci,@Null@
105,Perspektif atas,
106,Perspektif kustom,
107,Cuaca buruk,
108,Salji turun,
109,Ribut pasir,
110,Ribut,
111,Ribut salji,
112,Balang jatuh,
