ID,名字,类型名称
ID,Name,TypeName
1,Ke hadapan,Gerak
2,Ke kiri,Gerak
3,Ke kanan,Gerak
4,Ke belakang,Gerak
5,Lompat,Gerak
6,Menyelinap,Gerak
7,Lari pecut,Gerak
8,Beg,Inventori
9,Buang,Inventori
10,Bar pintasan 1,Inventori
11,Bar pintasan 2,Inventori
12,Bar pintasan 3,Inventori
13,Bar pintasan 4,Inventori
14,Bar pintasan 5,Inventori
15,Bar pintasan 6,Inventori
16,Bar pintasan 7,Inventori
17,Bar pintasan 8,Inventori
18,Susun,Inventori
19,Berbual,Multi-pemain
20,Antaramuka pengguna,Multi-pemain
21,Antaramuka markah,Multi-pemain
22,Prestasi,Fungsi
23,Peta kecil,Fungsi
24,Tunggangan,Fungsi
25,Cara permainan mod tetap,Fungsi
26,Status,Fungsi
27,Gudang,Fungsi
28,Pakaian,Fungsi
29,Tambah nilai,Fungsi
30,Memuatkan semula,Inventori
31,Suara buka/tutup,Berbilang pemain
32,Mikrofon buka/tutup,Berbilang pemain
33,Stor sumber,Fungsi
34,Tetingkap Pemaju,Fungsi
35,Halaman kiri,Fungsi
36,Halaman kanan,Fungsi
37,Sumber,Fungsi
38,Skrip,Fungsi
39,Edit lanjutan,Fungsi
40,Pencetus,Fungsi
