ID,描述
ID,Desc
1000,Cuaca
1001,Kawasan
1002,Kedudukan
1003,Orientasi
1004,Pandangan
1005,Nilai
1006,Komponen koordinat
1007,Unit sudut
1008,Logaritma asas tetap
1009,Kaedah pembundaran
1010,Rentetan
1011,Jenis kecederaan
1012,Ya atau tidak
1013,Suis
1014,Nilai Boolean
1015,Maksimum dan minimum
1016,Pengiraan perbandingan
1017,Operator matematik
1018,Pemain
1019,Kumpulan Pemain
1020,Atribut pemain
1021,Status pergerakan
1022,Tetapan pemain
1023,Kumpulan
1024,Atribut kumpulan
1025,Jenis blok
1026,Tetapan blok
1027,Alat
1028,Jenis alat
1029,Jenis lontaran
1030,Objek jatuh
1031,Makhluk
1032,Jenis makhluk
1033,Kumpulan makhluk
1034,Keadaan pergerakan makhluk
1035,Atribut makhluk
1036,Tetapan makhluk
1037,Status
1038,Pencetus
1039,Kumpulan pencetus
1040,Pemasa
1041,Emoji
1042,Pemboleh ubah persendirian
1043,Fungsi trigonometri
1044,Lontaran
1045,Jenis kesan khas
1046,Kesan bunyi
1047,Arah
1048,Objek
1049,Nada
1050,Skrip
1051,Butang
1052,Butang bar pintasan
1053,Nilai rawak
1054,Bar peralatan
1055,Jenis peralatan
1056,Warna
1057,Mesej grafik
1058,Jenis mesej grafik
1059,Item
1060,Jenis penampilan
1061,Kumpulan rawak
1062,Kumpulan kedudukan
1063,Kumpulan kawasan
1064,Kumpulan nilai
1065,Kumpulan rentetan
1066,Kumpulan Boolean
1067,Kumpulan jenis blok
1068,Kumpulan jenis alat
1069,Kumpulan jenis makhluk
1070,Kumpulan pemasa
1071,Kumpulan kesan khas
1072,Susunan
1073,Pautan video
1074,Antara muka
1075,Komponen
1076,Templat imej
1077,Mod pergerakan
1078,Unit masa
1079,Status halaman
1080,Muzik
1081,Berhenti sambung semula
1082,Papan paparan
1083,Objek global
1084,Papan pendahulu
1085,Jadual
1086,Mod main balik
1101,Halaman yang ditentukan
1137,Kumpulan rupa bumi
