id,地形名称
id,Name
-1,Percubaan
1000,Laut Cetek
1001,Padang Rumput
1002,Gurun
1003,Hutan
1004,Tebing
1005,Paya
1006,Hutan Konifer
1007,Hutan Belantara
1008,Padang Ais
1009,Laut Beku
1010,Sungai Beku
1011,Tanah Merah
1012,Pantai Tanah Merah
1013,Bukit Gurun
1014,Bukit Hutan
1015,Bukit Hutan Konifer
1016,Gunung Ais
1017,Bukit Hutan Belantara
1018,Sungai
1019,Pantai
1020,Tepi Tebing
1021,Tanah Lava
1022,Pulau Terapung
1023,Besen
1024,Tepi Besen
1025,Besen Buluh
1026,Besen Pokok Persik
1027,Dataran
1028,Bukit
1029,Dataran Altar
1030,Bukit Tinggi
1031,Bukit Bukau
1032,Planet Pulau Terapung
1033,Planet Pulau Terapung
1034,Planet Pulau Terapung
1035,Planet Pulau Terapung
1036,Planet Pulau Terapung
1037,Planet Pulau Terapung
1038,Tepi Pulau Terapung
1039,Hutan Hujan
1040,Tepi Pulau Terapung
1041,Padang Pulau Terapung
1042,Puncak Utama Gunung Berapi
1043,Dataran Gunung Berapi
1044,Pergunungan Gunung Berapi
1045,Sungai Lava Gunung Berapi
1046,Gunung Berapi
1047,Oasis Gurun
1048,Tasik Gurun
1049,Laut Dalam
1050,Pantai Pulau Terbiar
1051,Pusat Pulau Tebiar
1052,Pantai Pulau Tanah Merah
1053,Pusat Pulau Tanah Merah
1054,Pantai Pulau Karang
1055,Pusat Pulau Karang
1056,Hutan Konifer Salji
1057,Puncak Gunung Salji
1058,Puncak Menengah Gunung Salji
1059,Permatang Gunung Salji
1060,Banjaran Tengah Gunung Salji
1061,Pangkalan Gunung Salji
1062,Bahagian tengah gunung salji puncak sekunder
1063,Tasik Beku
1064,Ngarai
1065,Tepi ngarai
