keyid,名字,属性描述
keyid,Name,AttrDesc
5001,Lanzamiento,Tiene un 10% de probabilidad de empujón +
5002,Lanzamiento,Tiene un 20% de probabilidad de empujón +
5003,Lanzamiento,Tiene un 30% de probabilidad de empujón +
6001,Afilado,Ataque de Melé+
6002,Afilado,Ataque de Melé+
6003,Afilado,Ataque de Melé+
7001,Cazador humano,Cazador humano+
7002,Cazador humano,Cazador humano+
7003,Cazador humano,Cazador humano+
8001,Cazador de bestias,Cazador de bestias +
8002,Cazador de bestias,Cazador de bestias +
8003,Cazador de bestias,Cazador de bestias +
9001,Cazador de élite,Cazador de élites +
9002,Cazador de élite,Cazador de élites +
9003,Cazador de élite,Cazador de élites +
10001,Quemar,Nivel de quemadura
10002,Quemar,Nivel de quemadura
10003,Quemar,Nivel de quemadura
11001,Distancia de empujón aumentada,Distancia de empujón aumentada
11002,Distancia de empujón aumentada,Distancia de empujón aumentada
11003,Distancia de empujón aumentada,Distancia de empujón aumentada
12001,Suerte en la caza,Nivel de suerte en la caza
12002,Suerte en la caza,Nivel de suerte en la caza
12003,Suerte en la caza,Nivel de suerte en la caza
13001,Disparo poderoso,Daño por arcos+
13002,Disparo poderoso,Daño por arcos+
13003,Disparo poderoso,Daño por arcos+
14001,Disparos Ilimitados,Disparos Ilimitados
14002,Disparos Ilimitados,Disparos Ilimitados
14003,Disparos Ilimitados,Disparos Ilimitados
15001,Durabilidad,Durabilidad+
15002,Durabilidad,Durabilidad+
15003,Durabilidad,Durabilidad+
16001,Defensa de Melé,Defensa de Melé+
16002,Defensa de Melé,Defensa de Melé+
16003,Defensa de Melé,Defensa de Melé+
17001,Defensa a distancia,Defensa a distancia+
17002,Defensa a distancia,Defensa a distancia+
17003,Defensa a distancia,Defensa a distancia+
18001,Resistencia a explosiones,Resistencia a explosiones+
18002,Resistencia a explosiones,Resistencia a explosiones+
18003,Resistencia a explosiones,Resistencia a explosiones+
19001,Resistencia a quemaduras,Resistencia a quemaduras+
19002,Resistencia a quemaduras,Resistencia a quemaduras+
19003,Resistencia a quemaduras,Resistencia a quemaduras+
20001,Resistencia al veneno,Resistencia al veneno+
20002,Resistencia al veneno,Resistencia al veneno+
20003,Resistencia al veneno,Resistencia al veneno+
21001,Resistencia al Caos,Resistencia al Caos+
21002,Resistencia al Caos,Resistencia al Caos+
21003,Resistencia al Caos,Resistencia al Caos+
22001,Contraataque,Tiene un 15% de probabilidad de contraatacar a unidades cuerpo a cuerpo +
22002,Contraataque,Tiene un 30% de probabilidad de contraatacar a unidades cuerpo a cuerpo +
22003,Contraataque,Tiene un 45% de probabilidad de contraatacar a unidades cuerpo a cuerpo +
23001,Distancia de empujón reducida,Distancia al ser empujado reducida
23002,Distancia de empujón reducida,Distancia al ser empujado reducida
23003,Distancia de empujón reducida,Distancia al ser empujado reducida
24001,Obtener completamente,Obtener completamente
24002,Obtener completamente,Obtener completamente
24003,Obtener completamente,Obtener completamente
25001,Velocidad de excavación,Velocidad de excavación +
25002,Velocidad de excavación,Velocidad de excavación +
25003,Velocidad de excavación,Velocidad de excavación +
26001,Suerte al excavar,Nivel de suerte al excavar
26002,Suerte al excavar,Nivel de suerte al excavar
26003,Suerte al excavar,Nivel de suerte al excavar
27001,Disparo explosivo,Disparo explosivo+
27002,Disparo explosivo,Disparo explosivo+
27003,Disparo explosivo,Disparo explosivo+
28001,Caída del dragón,Daño caída-
28002,Caída del dragón,Daño caída-
28003,Caída del dragón,Daño caída-
29001,Cazador Salvaje,Cazador Salvaje+
29002,Cazador Salvaje,Cazador Salvaje+
29003,Cazador Salvaje,Cazador Salvaje+
30001,Descenso (protectores de piernas),"Agacharse en el Aire, Velocidad de Caída +"
30002,Descenso (protectores de piernas),"Agacharse en el Aire, Velocidad de Caída +"
30003,Descenso (protectores de piernas),"Agacharse en el Aire, Velocidad de Caída +"
31001,Escalada en pared (zapatos),"Habilitar Escalada de Muros, pero velocidad"
31002,Escalada en pared (zapatos),"Habilitar Escalada de Muros, pero velocidad"
31003,Escalada en pared (zapatos),"Habilitar Escalada de Muros, pero velocidad"
32001,Sangrar,Nivel de sangrado
32002,Sangrar,Nivel de sangrado
32003,Sangrar,Nivel de sangrado
33001,Látigo relámpago,Látigo relámpago Nv. 1
33002,Látigo relámpago,Látigo relámpago Nv. 2
33003,Látigo relámpago,Látigo relámpago Nv. 3
34003,Látigo relámpago,Látigo relámpago Nv. 4
35003,Látigo relámpago,Látigo relámpago Nv. 5
36001,Suerte en la pesca,Nivel de suerte en la pesca
36002,Suerte en la pesca,Nivel de suerte en la pesca
36003,Suerte en la pesca,Nivel de suerte en la pesca
37001,Resistente al Frío,Resistencia al Frío+
37002,Resistente al Frío,Resistencia al Frío+
37003,Resistente al Frío,Resistencia al Frío+
38001,Resistencia a Congelación,Resistencia a Congelación+
38002,Resistencia a Congelación,Resistencia a Congelación+
38003,Resistencia a Congelación,Resistencia a Congelación+
39003,Bendición de Herramienta,Bendición de Herramienta
40003,Bendición de Arma,Bendición de Arma
41003,Bendición de Equipo,Bendición de Equipo
42001,Daño de Hielo,Nivel de Daño de Hielo
42002,Daño de Hielo,Nivel de Daño de Hielo
42003,Daño de Hielo,Nivel de Daño de Hielo
43001,Daño de melé físico adicional,Daño de melé físico +
43002,Daño de melé físico adicional,Daño de melé físico +
43003,Daño de melé físico adicional,Daño de melé físico +
44001,Perseverancia,Reducción de daño +
44002,Perseverancia,Reducción de daño +
44003,Perseverancia,Reducción de daño +
45001,Protección a distancia,Daño físico a distancia -
45002,Protección a distancia,Daño físico a distancia -
45003,Protección a distancia,Daño físico a distancia -
46001,Daño Explosivo,Daño Explosivo -
46002,Daño Explosivo,Daño Explosivo -
46003,Daño Explosivo,Daño Explosivo -
47001,Velocidad de restauración de resiliencia,Velocidad de restauración de resiliencia +
47002,Velocidad de restauración de resiliencia,Velocidad de restauración de resiliencia +
47003,Velocidad de restauración de resiliencia,Velocidad de restauración de resiliencia +
48001,Salto alto,Habilidad de salto +
48002,Salto alto,Habilidad de salto +
48003,Salto alto,Habilidad de salto +
49001,Transformación,Probabilidad de transformación del enemigo +
49002,Transformación,Probabilidad de transformación del enemigo +
49003,Transformación,Probabilidad de transformación del enemigo +
50001,Protección de durabilidad,Probabilidad de no perder durabilidad +
50002,Protección de durabilidad,Probabilidad de no perder durabilidad +
50003,Protección de durabilidad,Probabilidad de no perder durabilidad +
51001,Pesca rápida,Velocidad de pesca +
51002,Pesca rápida,Velocidad de pesca +
51003,Pesca rápida,Velocidad de pesca +
52001,Ralentizar,Probabilidad de ralentizar al enemigo +
52002,Ralentizar,Probabilidad de ralentizar al enemigo +
52003,Ralentizar,Probabilidad de ralentizar al enemigo +
53001,Reducción de resistencia de excavación,Reducción de resistencia de excavación
53002,Reducción de resistencia de excavación,Reducción de resistencia de excavación
53003,Reducción de resistencia de excavación,Reducción de resistencia de excavación
54001,Caída del meteorito,Caída del meteorito
54002,Caída del meteorito,Caída del meteorito
54003,Caída del meteorito,Caída del meteorito
55001,Bono de EXP de estrella,Ganancia de EXP de estrella +
55002,Bono de EXP de estrella,Ganancia de EXP de estrella +
55003,Bono de EXP de estrella,Ganancia de EXP de estrella +
56001,Rapidez de habilidad,Enfriamiento de habilidad -
56002,Rapidez de habilidad,Enfriamiento de habilidad -
56003,Rapidez de habilidad,Enfriamiento de habilidad -
57001,Último golpe,+ 2% de daño al último golpe
57002,Último golpe,+ 2% de daño al último golpe
57003,Último golpe,+ 2% de daño al último golpe
58001,Resistencia al empujón,Resistencia al empujón +5%
58002,Resistencia al empujón,Resistencia al empujón +10%
58003,Resistencia al empujón,Resistencia al empujón +15%
59001,Bonificaciones de daño a bestias,Daño a bestias +
59002,Bonificaciones de daño a bestias,Daño a bestias +
59003,Bonificaciones de daño a bestias,Daño a bestias +
60001,Bonificaciones de daño a Guerrero salvaje,Daño a guerrero salvaje +
60002,Bonificaciones de daño a Guerrero salvaje,Daño a guerrero salvaje +
60003,Bonificaciones de daño a Guerrero salvaje,Daño a guerrero salvaje +
61001,Bonificaciones de daño a élites,Daño a élites +
61002,Bonificaciones de daño a élites,Daño a élites +
61003,Bonificaciones de daño a élites,Daño a élites +
62001,Bonificaciones de daño al vacío,Daño a criaturas del vacío +
62002,Bonificaciones de daño al vacío,Daño a criaturas del vacío +
62003,Bonificaciones de daño al vacío,Daño a criaturas del vacío +
63001,Bonificaciones de daño a Horas,Daño a criaturas Horas +
63002,Bonificaciones de daño a Horas,Daño a criaturas Horas +
63003,Bonificaciones de daño a Horas,Daño a criaturas Horas +
64001,Bonificaciones de daño a criaturas acuáticas,Daño a criaturas acuáticas +
64002,Bonificaciones de daño a criaturas acuáticas,Daño a criaturas acuáticas +
64003,Bonificaciones de daño a criaturas acuáticas,Daño a criaturas acuáticas +
