ID,名字,描述,获得方式
ID,Name,Desc,GetWay
0,Aire,No me puedes ver.,@Null@
1,Piedra angular,"Ubicado en el núcleo más profundo de la tierra, es súper duro y no se puede romper.",
2,Cubo funcional,Cubo mágico de poder desconocido.,@Null@
3,Agua estática,Cubo de agua estática.,@Null@
4,Agua,Agua fluida.,
5,Magma estático,"bloque de magma estático. Cuidado, está muy caliente.",
6,Magma dinámico,"bloque de magma líquido. Cuidado, está muy caliente.",
7,Efecto de Transporte,Parece ser un cubo mágico.,@Null@
8,Ladrillo tallado,Bloques de construcción en relieve con una textura dura,
9,Bloque accelerando,Los que pasen por este bloque recibirán un empujón inexplicable,
10,Bloque de Energía Estelar,"Después de colocarlo, puede proporcionar #c0aba1dSeñal de Energía Estelar#n.",
11,Miel estática,Miel estática,@Null@
12,Miel dinámica,Miel que fluye,
13,Arenas movedizas estáticas,"¡El ""río"" de arena fina es peligroso!",
14,Arenas movedizas,"El ""río"" de arena fina es peligroso!",
15,Roca Maldita,¿Qué pasará con la roca que emana un olor extraño después de tocar las arenas movedizas? ¿Obtén la maldición sangrante al cavar!?,La pared exterior de las ruinas subterráneas.
16,Roca Maldita - Activada,¿Qué pasará con la roca que emana un olor extraño después de tocar las arenas movedizas? ¿Obtén la maldición sangrante al cavar!?,La pared exterior de las ruinas subterráneas.
17,Toxicidad estática,"Líquido que emite un olor peligroso, manténgase alejado tanto como sea posible",
18,Tóxico dinámico,"Líquido que emite un olor peligroso, manténgase alejado tanto como sea posible",
19,Roca eólica,Las rocas del desierto erosionadas por los fuertes vientos son algo frágiles.,
20,aire extraterrestre,¡Actualiza tu juego a la versión más reciente!,
21,No disponible en esta versión,¡Actualiza tu juego a la versión más reciente!,@Null@
22,No disponible en esta versión,¡Actualiza tu juego a la versión más reciente!,@Null@
23,Roca sedimentaria,"La estructura en capas formada al ser exprimida durante decenas de miles de años en las profundidades del mar contiene todo tipo de nutrientes que necesitan las algas de aguas profundas, y es muy adecuada para el cultivo de algas fluorescentes y algas rojas.",Destrucción de roca acrítica
24,Nódulos de manganeso,"Se utiliza para fortalecer el equipo de buceo, hacer bloques de vidrio endurecido y resistir la alta presión de las profundidades del mar.","El metal de manganeso es un mineral producido por la condensación continua del metal de manganeso en rocas profundas, por lo que solo se produce ligeramente en las profundidades del mar, y los nódulos de manganeso que caen después de la destrucción."
25,Arrecife,"Es muy adecuado para el crecimiento del coral, y el color del arrecife cambiará cuando el coral madure.",
26,Botella a la deriva,"En océanos y ríos, acumula energía y deséchala, el agua llevará tu deseo a un lugar lejano, tal vez algún día te descubran en un lugar lejano",Coloque el pergamino de cuero en un cuadrado de botella de vidrio pequeño para obtener
27,Botella a la deriva,"La nota sellada en la botella de deriva a menudo contiene información importante o deseos sinceros, por supuesto, también pueden ser los pensamientos de alguien en un momento determinado, parece que ha cruzado montañas y mares, y ha viajado en el tiempo... Pon la botella en Saca la nota del suelo y echa un vistazo...",La pesca y la exploración del océano tienen la oportunidad de obtener
28,Botella pequeña de vidrio (bloque),"Colócalo, pon el pergamino de cuero escrito dentro",
29,Arena amarilla,"Las herramientas de pala, que se encuentran comúnmente en áreas ribereñas y desérticas, se pueden extraer rápidamente y es la materia prima para procesar arena de cuarzo, que a menudo se usa para cocer vidrio.",Común en #c0aba1d las zonas costeras #n y #c0aba1d desérticas #n
30,No disponible en esta versión,¡Actualiza tu juego a la versión más reciente!,@Null@
31,Pinchos de Hielo Sólidos,Los pinchos de hielo están bastante #c0aba1destables#n. ¡Asegúrate de usar un casco cerca de ellos!,
32,Pinchos de Hielo Flotantes,Es bastante probable que estos pinchos de hielo se #c0aba1dcaigan#n. ¡Asegúrate de usar un casco cerca de ellos!,
33,Mineral de Gema Ordinaria,Se debe extraer con @item_11013# u otro más avanzado.,Minerales raros que pueden aparecer en las #c0aba1dCuevas de Montaña Nevada#n del Campo de Hielo y #c0aba1dbajo tierra#n en la Selva.
34,Mineral de Fuego Helado,Minerales que emiten un frío helado. Se deben extraer con @item_11011# u otro más avanzado. #c0aba1dReducirá la temperatura circundante#n.,Minerales raros que pueden aparecer en las #c0aba1dCuevas de Montaña Nevada#n del Campo de Hielo.
35,Piedra de Fuego Helado,Un bloque helado creado con mucho @item_11824#. #c0aba1dReducirá significativamente la temperatura circundante#n.,
36,Restablecer Entrada de Cueva,,
37,Restablecer Túnel de Cueva,,
38,Restablecer Caverna de Cueva,,
39,Restablecer Agujero de Cueva,,
40,Bloque de cristal del vacío,"Elaborado con bloques de cristal del vacío, este bloque especial ilumina el espacio circundante. Ten cuidado al colocarlo debajo de @item_596#, ya que puede atraer a los monstruos más poderosos durante la noche del vacío. ¡Úsalo sabiamente!",
100,Bloque de Suelo con Hierba,"Un bloque de la superficie, se puede recoger rápidamente con palas. #c0aba1dUtiliza rastrillos para convertirlo en @item_102#. Utiliza palas para convertirlo en @item_103#.",Consíguelo al usar @item_11226# en @item_101#.
101,Bloque de barro,"Está fácilmente disponible debajo de la superficie, y puede convertirse en bloque de hierba después de la lluvia. Las herramientas de pala se pueden extraer rápidamente, #c0aba1d las herramientas de rastrillo se pueden convertir en tierra cultivable y las herramientas de pala se pueden convertir en pozos",Disponible debajo de la superficie
102,Tierra Cultivable,"Los cultivos se pueden sembrar, cerca del agua o regar con una fuente de agua para mantenerlos húmedos, lo cual es bueno para el crecimiento de los cultivos.",
103,Fosa,"Se puede plantar con semillas de flores y árboles, cerca de la fuente de agua o regar con agua para mantenerla húmeda, lo que favorece el crecimiento de las plantas.",
104,Roca,"Se pueden encontrar en todas partes bajo tierra, las herramientas de pico pueden minar rápidamente",
105,Sulfato de cobre,Materiales de construcción procesados a partir de piedra y musgo.,
106,Arena,"Se encuentran comúnmente en áreas ribereñas y desérticas, Las herramientas de pala se pueden extraer rápidamente, es la materia prima para procesar arena de cuarzo, la arena de cuarzo se usa a menudo para disparar vidrio # rSe caerá bajo la influencia de la gravedad",Común en áreas costeras y desérticas
107,Gravilla,"No son fuertes, las herramientas de pala pueden minar rápidamente. #rCuando el fondo está vacío, pararse sobre él colapsará, tenga cuidado de quedarse quieto",
108,Ladrillo amarillo rayado,Materiales de construcción cocidos con arena amarilla,
109,Arena,"Terrones estériles, las plantas no pueden crecer en ellos, las herramientas de pala se pueden extraer rápidamente",
110,Rocas dispersas,Pequeñas rocas desgastadas por el viento que se extraen para obtener material pétreo para fabricar herramientas de piedra.,
111,No disponible en esta versión,@Null@,@Null@
112,Cristal negro,"Afectados por el fantasma vacío, la estructura geológica ha cambiado drásticamente, y el mineral ya no existe.",
113,Hielo crujiente,"El hielo crujiente en el agua, después de romperse, se convierte en estrellas y se disipa entre el cielo y la tierra.",
114,Limo,"Bloques de tierra en el fondo del agua, las herramientas de pico se pueden extraer rápidamente",
115,Nieve Esponjosa,Una hoja de nieve suave y fina con altura de un cuarto de cuadrícula. Se puede apilar para cambiar el espesor.,
116,Piedra de Horas,Roca especial de Horas. Muy resistente a las explosiones. Se puede extraer con pico de hierro o con un pico más avanzado.,
117,Hierba de Horas,"Bloque de hierba de Horas, contiene nutrientes básicos para las plantas. Se puede extraer con pala de hierro o con una pala más avanzada. #n",
118,Nube de Horas,"La nube sólida del planeta Horas, sólida pero frágil. Ponte sobre ella y se quebrará pronto!",
119,Suelo Seco,"En Horas los bloques de suelo de Miras deben colocarse en el medio de la planta planetaria para mantener los nutrientes; de lo contrario, perderán nutrientes y se secarán.",
120,Suelo congelado,"En ambientes fríos, @item_100# y @item_101# se transforman en @item_120#. Las plantas que crecen en ambientes fríos necesitan crecer en este tipo de suelo.",
121,Agujero congelado,Aquí se pueden plantar las semillas de flores y pimpollos que prefieren ambientes fríos.,
122,Nieve espesa,Nieve espesa que se derrite en agua al toparse con #c0aba1dlava#n. #c0aba1dReduce levemente la temperatura del ambiente#n.,
123,Hielo Natural,"Es fácil de encontrar en zonas frías y nevadas, y se derrite en agua en #c0aba1dambientes de altas temperaturas#n. Se puede recoger rápidamente con Picos. #c0aba1dReduce levemente la temperatura circundante#n.",
124,Roca de sulfuro,Un bloque muy común en Flamas. Se puede extraer rápidamente con un pico.,
125,Arena caliente,"Arena amarilla que exuda un aliento abrasador, se puede extraer rápidamente con herramientas de pala",
126,Roca mágica,Proviene de un lugar desconocido. Es difícil destruirla con explosiones.,Los comerciantes a veces venden
127,Esponja,La favorita de Bob.,
128,Arena roja,"La rara arena roja, rica en elementos minerales, se vuelve muy inestable cuando se mezcla con hielo inflamable",A veces se encuentra en islas de laterita e islas de coral.
129,Nieve,,
130,Bloque de nieve densa,¿Quieres hacer un muñeco de nieve o hacer un muñeco de nieve luchador?,@Null@
131,Hielo duro,Hielo indestructible.,@Null@
