购买ID,道具ID,西班牙语
ProductID,ID,Desc
1,24601,Usa después de comprar: puede usar la mayoría de los skins DIY durante 30 días
4,12856,Usa después de comprar: cambia el nombre una vez
8,12965,Contiene 3 pergaminos que te pueden trasladar a casa al instante. Muy conveniente.
13,10025,"Contiene 3 boletos que se pueden usar para teletransportarse instantáneamente a la ubicación de origen del planeta actual, lo cual es muy conveniente"
10,1055,"Caja fuerte de código pequeño, escriba el código correcto que el host ha configurado para abrir."
11,1056,"Caja fuerte de código grande, escriba el código correcto que el host ha configurado para abrir."
5,845,Dedicado al propietario. Muy duro. Disuade a los osos.
6,846,Dedicado al propietario. Grande y firme. Disuade a los osos.
2,12751,"Despues de su uso, Dispara fuegos artificiales que lanzan un patrón de cápsulas hacia el cielo (#c0AAA1A cupones de cápsulas *1#n se entregarán en el momento de la compra)"
3,12752,"Despues de su uso, Dispara Fuegos artificiales que pueden lanzar un patrón de frutas al cielo (#c0AAA1A  el cupón de evento *1  se entregará al momento de la compra#n)"
7,12831,¡Dispara fuegos artificiales al aire para conseguir más objetos de EXP!
9,12750,"Puede disparar fuegos artificiales con diseños de sonrisa en el cielo.
(Obtenga 300 #c5aea0aMini Beans#n para cualquier compra)"
12,10023,"Después de su uso, puede obtener los puntos del Pase de temporada"
