ID,名字,描述,追踪
ID,Name,Desc,TrackDesc
1000,Necesito madera,"Recoge madera, consigue un bloque de madera #r (pulsa prolongadamente el tronco para recogerlo)",Recoger madera
1001,¡Artesanía!,"Usa cualquier madera para hacer tablones, y usa 4 tablones para hacer 1 caja de herramientas #r (abre la mochila primero, y elige hacer por la etiqueta de la izquierda)",Hacer caja de herramientas
1002,¡Los salvajes deben morir!,Haz palos de madera con tablones de madera y palos. #r (Necesitas la caja de herramientas. Arma de principiante.),Hacer 1 espada de madera#cfa7a0f
1003,Minero júnior,Haz un pico de madera con tablones de madera y palos. #r (Necesitas la caja de herramientas. Cava un agujero para esconderte antes del anochecer.),Hacer pico de madera
1004,¡La vida en la granja!,Haz azadas con tablones de madera y palos. #r (Necesitas la caja de herramientas. Convierte el suelo en terreno cultivado.),Hacer azadas de madera
1005,Primera pelea,Has derrotado a un salvaje. Parece llevar una cabeza de bestia. #r (Los salvajes son peligrosos y aparecen por la noche.),Derrotar salvaje
1006,¡Hora de la barbacoa!,Haz un horno de fundición con 8 piedras. @1#r (Necesitas una caja de herramientas. Puedes fundir minerales.),Hacer horno de fundición
1007,Gracia de Dios,Desmaleza y consigue semillas de trigo. @1#r (Mantén pulsada la maleza y podrás conseguir semillas de trigo.),Recoger semillas de trigo
1008,Carbonero,Quema madera con materiales de madera para conseguir carbón. @1#r (Necesitas el horno de fundición. Se puede usar para hacer antorchas para iluminar.),Haz #cfa7a0f Carbón
1009,Lingotes de hierro,Funde hierro para conseguir lingotes de hierro. @1#r (Necesitas un horno de fundición.),Hacer #cfa7a0fLingote de hierro
1010,Minero sénior,"Haz un pico de hierro con lingotes de hierro y un palo de madera. #r (Con el pico de hierro, puedes recoger diamantes.)",Hacer pico de hierro
1011,¡Soy rico!,Recoge oro con el pico de hierro o de diamante. #r (Muy bajo tierra.),Recoger oro
1012,"¡Hala, diamantes!",Recoge diamantes con el pico de hierro o el de diamante. #r (Muy bajo tierra.),Recoger diamantes
1013,Primera descarga eléctrica,Recoge carburo con el pico de hierro o el de diamante. #r (Muy bajo tierra.),Recoger acetileno
1014,Herramienta dura,Recoge baritinas negras con el pico de diamante. #r (Pueden aparecer cerca del magma.),Recoger baritinas negras
1015,Mago,Haz una caja de fusión. #r (Necesitas la caja de herramientas. Puedes encantar herramientas.),Hacer caja de fusión
1016,Me está mirando,Derrota al fantasma y consigue el Ojo del centro de la tierra. #r (El Ojo del centro de la tierra parece volar a alguna parte.),Obtener #cfa7a0fOjo Del Núcleo De La Tierra
1017,Gemas antiguas,"Obtén gemas antiguas de la mazmorra, tíralas y recógelas, ya que exudan magia antigua...",Obtener #cfa7a0fGemas Antiguas
1018,Piedra del marco del portal,"Gemas antiguas y chispa negra, etc. #L#cfa7a0f Piedra del marco del portal #n",Hacer ladrillo de puerta del Centro de la Tierra
1022,Portal del centro de la tierra,Haz un bloque de portal y llena el marco de la puerta del portal para abrir el portal#r (espacio de 2*3 en el centro),Hacer portal del centro de la tierra
1023,Otro mundo,Entra en el núcleo de tierra y derrota al gigante de lava @1#r (el mundo está lleno de llamas),Derrotar al monstruo del magma
1024,Mata Dragones,Derrota al Antiguo Dragón Negro en el Flamus@1,Derrotar al antiguo dragón negro
1025,Recuerdo,Recoge la estatua del dragón negro #n#cfa7a0f @1#r (parece que los boarman tienen miedo de la estatua del dragón negro),Recoger estatua del dragón negro
1026,El mundo desconocido,¿Es este el final? ¡Esto es sólo el principio! #r (Alguien: volveré),El mundo desconocido
1027,Cubo de hierro,Haz 1 #L#cfa7a0f cubo de hierro #n para buscar agua#r (1 rejilla de agua para regar las 4 rejillas de tierra de cultivo circundantes),Hacer cubo de hierro
1028,Temporada de siembra,Usar #L#cfa7a0f semillas de trigo #n para plantar #r en las tierras de cultivo (sólo se puede plantar en las tierras de cultivo),Sembrar semillas de trigo
1029,Temporada de cosecha,Obtén #L#cfa7a0f trigo #n#r (el trigo sólo se puede obtener después de que los cultivos crezcan y maduren),Cosechar #cfa7a0fTrigo
1030,Hornear pan,"Hacer 1 #L#cfa7a0f pan de trigo #n@1#r (come uno en cualquier momento, no tendrás hambre)",Hacer pan
1031,Panadero,Haz 1 #L#cfa7a0f pan largo#n@1,Hacer pan largo
1032,Pastelero,Hacer #L#cfa7a0f pastel #n@1,Haz una tarta.
1033,Matador,"Derrota a la vaca para conseguir #L#cfa7a0f filete crudo #n@1#r (la vaca se come la hierba, mú mú)",Obtenga #cfa7a0fCarne cruda
1034,Cuero,Derrota a la vaca para conseguir #L#cfa7a0f cuero blando #n@1,Obtenga #cfa7a0f cuero
1035,Filete asado,Usa un horno de fundición para conseguir #L#cfa7a0f filete asado #n@1,Asar filete
1036,"¡Corred, pollitos!","Derrota al pollo para conseguir #L#cfa7a0f pollo crudo #n@1#r (el pollo come semillas de trigo, chirp chirp)",Obtenga #cfa7a0fPollo crudo
1037,Huevos de oro y de plata,Recoger #L#cfa7a0f huevos #n@1,Conseguir huevos
1038,Pollo asado,Usa un horno de fundición para hacer #L#cfa7a0f pollo asado #n@1,Asar pollo
1039,Beee,"Derrota a la oveja para recoger #L#cfa7a0f pierna de cordero cruda #n@1#r (la oveja come hierba, balando)",Consigue #cfa7a0fPata de oveja cruda
1040,Botín de lana,Derrota a la oveja o utiliza las tijeras para recoger #L#cfa7a0f lana #n@1,Obtenga #cfa7a0fLana de oveja
1041,Alfombra de lana,Hacer #L#cfa7a0f alfombra en el suelo #n@1,Hacer una alfombra
1042,Amor por la belleza,"Recoger #L#cfa7a0f flor #n@1#r (hermosas flores, relativamente raras)",Obtenga #cfa7a0fFlores
1043,Mundo de colores,Hacer una pintura #L#cfa7a0f #n@1,Hacer un tinte
1044,"Eh, está muy bien",Hacer #L#cfa7a0f lana roja #n@1,Haz lana de oveja roja.
1045,Paseo sobre raíles,Hacer #L#cfa7a0f nodo ferroviario #n@1,Haz raíles de hierro.
1046,¡Sal!,Hacer #L#cfa7a0f vagón #n@1,Haz una vagoneta.
1047,Chef,Completar automáticamente la tarea después de completar la tarea predecesora,Hacer un festín
1048,Entiende la vida,Completar automáticamente la tarea después de completar la tarea predecesora,Hacer cristal rojo
1049,Cultivador de tonton,"Usar hierba/alimentación de carne o alimento de zanahoria para alimentar a dos tonton junto al pajar, para que el número de tonton de cría llegue a 200@1",Raza #cfa7a0f tonton
1050,Cultivador de rinoceronte,"Utiliza un puñado de hierba o pienso para alimentar a dos vacas junto al pajar, para que el número de crías llegue a 200@1",Raza #cfa7a0f rinoceronte
1051,¡Baa!,Utiliza un puñado de hierba para alimentar a dos corderos junto al pajar para que el número de crías alcance los 200@1,Raza #cfa7a0f ciervo
1052,Invoca bebé de dodo,"Utiliza pienso de hierba para alimentar al pájaro dodo junto al nido de aves, para que eclosionen 200@1 bebés de dodo",Cría #cfa7a0f pájaros dodo bebé
1053,Base de cría a gran escala,Completa automáticamente la tarea después de completar la tarea predecesora,Completa los #cfa7a0f logros de la serie de animales de cría
1054,Lanza de piedra,Haz 1 #L#cfa7a0f lanza de piedra #n@1#r (El peligro siempre aparece en la oscuridad),Hacer una espada de piedra
1055,Más afilada,Haz 1 #L#cfa7a0f espada de hierro#n@1#r (construyendo una casa puedes protegerte eficazmente),Hacer una espada de hierro
1056,Materiales inútiles,"Haz 1 #L#cfa7a0f lanza larga#n@1#r (totalmente equipado, sin miedo a ser atacado)",Hacer una espada de oro
1057,Mata a monstruos como si fueran hierba,Hacer 1 #L#cfa7a0f espada de energía #n@1#r (Ahora hay que castigar a los boarman que intimidan),Hacer una espada de diamante
1058,Ataque a larga distancia,"Haz 1 #L#cfa7a0f arco corto de madera#n@1#r (el arco corto de madera se puede disparar más lejos cuando está completamente tensado, y se necesitan flechas)",Hacer un arco
1059,Necesito flechas,Haz 1 #L#cfa7a0f flecha #n@1,Hacer flechas
1060,Casco de cuero,Haz 1 #L#cfa7a0f casco de cuero #n@1#r (se puede llevar en el cuerpo para aumentar la defensa),Hacer un casco de cuero
1061,Casco de hierro,"Haz 1 #L#cfa7a0f casco de hierro #n@1#r (equipo práctico, aumenta la defensa)",Hacer un casco de hierro
1062,Casco de diamante,"Haz 1 #L#cfa7a0f casco de diamante #n@1#r (equipo avanzado, añade mucha defensa)",Hacer un casco de diamante
1063,Coraza de cuero,Haz 1 #L#cfa7a0f armadura de cuero #n@1#r (se puede llevar en el cuerpo para aumentar la defensa),Hacer una coraza de cuero
1064,Coraza de hierro,"Haz 1 #L#cfa7a0f armadura de hierro #n@1#r (equipo práctico, aumenta la defensa)",Hacer una coraza de hierro
1065,Coraza de diamante,"Haz 1 #L#cfa7a0f armadura de diamante #n@1#r (equipo de alto nivel, añade mucha defensa)",Hacer una coraza de diamante
1066,Grevas de cuero,Haz 1 #L#cfa7a0f greave de cuero #n@1#r (se puede llevar en el cuerpo para aumentar la defensa),Hacer una greba de cuero
1067,Greba de hierro,"Haz 1 #L#cfa7a0f greave de hierro #n@1#r (equipo práctico, aumenta la defensa)",Hacer una greba de hierro
1068,Greba de diamante,"Haz 1 #L#cfa7a0f greave de diamante #n@1#r (equipo avanzado, añade mucha defensa)",Hacer una greba de diamante
1069,Escarpe de cuero,Haz 1 par de botas de cuero #L#cfa7a0f #n@1#r (se pueden llevar en el cuerpo para aumentar la defensa),Hacer #cfa7a0fBota de cuero
1070,Escarpe de hierro,"Haz 1 par de botas de hierro #L#cfa7a0f #n@1#r (equipo práctico, aumenta la defensa)",Hacer botas de hierro
1071,Escarpe de diamante,"Hacer 1 par de #L#cfa7a0f botas de diamante #n@1#r (equipo avanzado, añade mucha defensa)",Hacer botas de diamante
1072,@Null@,@Null@,@Null@
1073,Maestro de la defensa,Te has convertido en un maestro del equipo@1,Completar todos los logros de defensa
1074,Necesito papel,Haz 1 #L#cfa7a0f de papel@1#r (hecho con la recogida de la caña de azúcar),Hacer papel normal
1075,Libro encantado,Haz 1 #L#cfa7a0f manual en blanco #n@1,Hacer un libro en blanco
1076,Maestro hechicero,Completar automáticamente la tarea después de completar la tarea predecesora,Completar todos los logros de encantamiento
1077,¡Mátalos!,Completa automáticamente la tarea después de completar la tarea predecesora,Derrotar a monstruos
1078,Enemigo común de los duendes,Derrota a 200 Duendes con lanza @1,Derrotar a duendes de lanza
1079,Enemigo público de la tierra,Derrota a 100 Apóstoles del Vacío@1,Derrota a #cfa7a0f Apóstol del Vacío
1080,Enemigo común de los salvajes,Derrota a 500 Salvajes @1,Derrotar a salvajes
1081,Huevo explosivo,Derrota a 200 Huevos explosivos @1,Derrotar a un huevo explosivo
1082,Un dios famoso,Completar automáticamente la tarea después de completar la tarea predecesora,Completa todos los logros de la serie de monstruos #cfa7a0f defeat Miras
1083,Minero trabajador (I),Hacer 100 #L#cfa7a0f picos de piedra #n@1#r (El pico de piedra puede recoger mineral de hierro),Hacer #cfa7a0fpico de piedra
1084,Minero trabajador (II),Haz 50 #L#cfa7a0f picos de hierro#n@1#r (El pico de hierro puede recoger minas avanzadas),Hacer picos de hierro
1085,Minero trabajador (III),Hacer 20 #L#cfa7a0f Brocas de tungsteno #n@1#r (el taladro de diamante puede recoger cristal negro),Hacer brocas de tungsteno
1086,Cristal (I),Fundir 10 #L#cfa7a0f bloque de cristal #n@1,Fundir #cfa7a0fbloque de cristal
1087,Cristal (II),Fundir 500 #L#cfa7a0f bloque de cristal #n@1,Fundir #cfa7a0f bloque de cristal
1088,Cristal (III),Fundir 2000 #L#cfa7a0f bloques de cristal #n@1,Fundir #cfa7a0f bloques de cristal
1089,Colector de hierro (I),Fundir 10 #L#cfa7a0f hierro#n@1,Fundir #cfa7a0f hierro
1090,Colector de hierro (II),Fundir 100 #L#cfa7a0f hierro#n@1,Fundir #cfa7a0f hierro
1091,Colector de hierro (III),Fundir 300 #L#cfa7a0f hierro#n@1,Fundir #cfa7a0f hierro
1092,Mineral de oro de tungsteno (I),Minar 10 #L#cfa7a0f Mineral de oro de tungsteno#n@1,Explotar #cfa7a0f Mineral de oro de tungsteno
1093,Mineral de oro de tungsteno (II),Minar 50 #L#cfa7a0f Mineral de oro de tungsteno#n@1,Explotar #cfa7a0f Mineral de oro de tungsteno
1094,Mineral de oro de tungsteno (III),Minar 200 #L#cfa7a0f Mineral de oro de tungsteno#n@1,Explotar #cfa7a0f Mineral de oro de tungsteno
1095,Entrenador de zorros (I),Domar 1 zorro con el huevo de Dodo@1,Domar #cfa7a0f zorros
1096,Entrenador de zorros (II),Domar 5 zorros con el huevo de Dodo@1,Domar #cfa7a0f zorros
1097,Entrenador de zorros (III),Domar 20 zorros con el huevo de Dodo@1,Domar #cfa7a0f zorros
1098,Oro (I),Fundir 5 #L#cfa7a0f oro #n@1,Fundir #cfa7a0f oro
1099,Oro (II),Fundir 100 #L#cfa7a0f oro #n@1,Fundir #cfa7a0f oro
1100,Oro (III),Fundir 500 #L#cfa7a0f oro #n@1,Fundir #cfa7a0f oro
1101,Maestro de celesthium (I),Explotar 10 #L#cfa7a0f mineral de celesthium #n@1,Explotar #cfa7a0f mineral de celesthium
1102,Maestro de celesthium (II),Explotar 200 #L#cfa7a0f mineral de celesthium #n@1,Explotar #cfa7a0f mineral de celesthium
1103,Maestro de celesthium (III),Explotar 500 #L#cfa7a0f mineral de celesthium #n@1,Explotar #cfa7a0f mineral de celesthium
1104,Necesito flechas (I),Hacer 10 #L#cfa7a0f flechas #n@1,Hacer #cfa7a0fflechas
1105,Necesito flechas (II),Hacer 100 #L#cfa7a0f flechas #n@1,Hacer #cfa7a0fflechas
1106,Necesito flechas (III),Hacer 1000 #L#cfa7a0f flechas #n@1,Hacer #cfa7a0fflechas
1107,Guardián del bosque (I),Plantar más de 10 árboles@1#r (utilizar #L#cfa7a0f semilla de árbol #n para plantar),Plantar #cfa7a0fárbol
1108,Guardián del bosque (II),Plantar más de 200 árboles @1#r (utilizar #L#cfa7a0f semilla de árbol #n para plantar),Plantar #cfa7a0fárbol
1109,Guardián del bosque (III),Plantar más de 2000 árboles @1#r (utilizar #L#cfa7a0f semilla de árbol #n para plantar),Plantar #cfa7a0fárbol
1110,¡Bife de Tonton! (I),Cocina 50 #L#cfa7a0f Bife de Tonton asado #n@1,Cocina #cfa7a0f Bife de Tonton asado
1111,¡Bife de Tonton! (II),Cocina 200 #L#cfa7a0f Bife de Tonton asado #n@1,Cocina #cfa7a0f Bife de Tonton asado
1112,¡Bife de Tonton! (III),Cocina 1000 #L#cfa7a0f Bife de Tonton asado #n@1,Cocina #cfa7a0f Bife de Tonton asado
1113,¡Rinoceronte asado! (I),Cocina 50 #L#cfa7a0fcarne de rinoceronte asado#n@1,Cocina #cfa7a0fcarne de rinoceronte asado
1114,¡Rinoceronte asado!  (II),Cocina 200 #L#cfa7a0fcarne de rinoceronte asado#n@1,Cocina #cfa7a0fcarne de rinoceronte asado
1115,¡Rinoceronte asado!  (III),Cocina 1000 #L#cfa7a0fcarne de rinoceronte asado#n@1,Cocina #cfa7a0fcarne de rinoceronte asado
