ID,名字,描述
ID,Name,Desc
1,Montura de bebé,Puede parir una montura de bebé durante un periodo de tiempo en el mapa. Se puede enviar el bebé a otros jugadores de la sala.
2,Esprint,La velocidad de movimiento aumenta un 30% durante la carga.
3,Caminar sobre el agua,"Camina rápido sobre la superficie del agua, pero no puede saltar."
4,Supersaltos,Habilidad de salto superior.
5,Planear,Puede volar y planear.
6,Caminar sobre el magma,Puede caminar sobre el magma.
7,Carrera,Pulsa la tecla Saltar después de saltar para esprintar hacia delante.
9,Montura doble,Puede llevar a dos jinetes. ¡Invita a un amigo a montar contigo!
10,Saltar,"Saltos libres en el aire, pero esto te hará caer más rápido que nunca."
11,Tenaz,Dispone de más puntos de vida
12,Nadar,Flotar en la superficie de agua
13,Bucear,Bucear abajo
14,Torrent,"Bajo el agua hacer clic en el botón de saltar, y correr a toda prisa hacia adelante."
15,Ataque Robot,Esprinta y ataca adelante
16,Misil,Dispara misiles en una línea recta
17,Avispa Corta,Esprinta un rato
18,Aletear,Presionar el botón de saltar y acumular la fuerza. Al aterrizar le infligirá debuff de ralentización a la criatura adelante.
19,Amenazar,Presionar el botón de saltar y acumular la fuerza. Al aterrizar le dará un golpe atrás a la criatura adelante.
20,Flotar,Puede flotar en el aire y volarse a una distancia corta. No perderá vida al caerse.
21,Volar,Puede volar a una distancia corta. No perderá vida al caerse.
22,Montura doble,Puede llevar a dos jinetes. ¡Invita a un amigo a montar contigo!
23,Escudo de Energía,Generar un escudo que protege a ti y tus amigos.
24,Montura Única,Puede transportar a un pasajero
25,Alerta Aérea,Puede volar a una distancia corta. No perderá vida al caerse.
26,Relámpago,Esprinta un rato
27,Láser de Fusión,Dispara misiles en una línea recta
28,Fuegos Infierno,"Haz clic en [Atacar] para disparar llamas, lo que inflige un Buff ardiente a la criatura frente a ti"
29,Fuego Fantasma,"Haz clic en [Atacar] para disparar llamas, lo que inflige un Buff ardiente a la criatura frente a ti"
30,Ala de Aleteo,Mantenga presionada [Saltar] para volar por una corta distancia. No perderás HP cuando caigas
31,Extender Alas,Mantenga presionado [Saltar] para volar a larga distancia. No perderás HP cuando caigas
32,Rugido del dragón,Haz clic para rugir. Reduce la velocidad de la criatura frente a ti
33,Ala rápida,Mantenga presionada la tecla Saltar para volar una corta distancia. No perderá HP al caer
34,Barrido de huesos,"Haga clic en ataque para sacudir la cola, causando 3 daños a las criaturas en el área posterior en forma de abanico"
35,Luz de Estrellas,"Dispara estrellas hacia arriba para iluminación, CD 15s."
36,Luz Lunar,Mantenga pulsado Saltar para volar una distancia corta. No perderá HP al caer
37,Rápido,Corre rápido por un rato
38,Montura doble,Puede llevar a dos jinetes. ¡Invita a un amigo a montar contigo!
39,Encima por Nieve,Pisa la nieve y camina en el aire. No perderá HP al caer
40,Tuk-tuk,"Al usar el claxon, las luces del automóvil parpadearán"
41,Gran Cosecha,"Cuando se usa, arroja lingotes y monedas a los alrededores."
42,Carro para 4 Personas,Puede llevar hasta 4 jugadores
43,Deformación Espacial,"Puede mantener el tiempo de vuelo durante una distancia establecida, la caída no causará ningún daño por caída"
44,Isla Leviatán,Puede bucear
45,Fuerza de Toro,Presionar el botón de saltar y acumular la fuerza. Al aterrizar le infligirá debuff de ralentización a la criatura adelante.
46,Ataque de Toro,Presionar el botón de saltar y acumular la fuerza. Al aterrizar le dará un golpe atrás a la criatura adelante.
47,Flor Revoloteando,"Puede deslizarse en el aire una cierta distancia, no se dañará al caer"
48,Dispersión de Cisne,"Puede deslizarse en el aire una cierta distancia, no se dañará al caer"
49,Danza de Hoja,"Cuando se usa, activa el efecto de hojas flotantes."
50,Rueda Solar,Úselo para obtener un escudo que absorberá 20 puntos de daño
51,Dios Ray,Úselo para aumentar el daño del jugador en un 5%
52,Fuegos artificiales mágicos,"Después de cargar, disparar cuando aterrice después de saltar, los fuegos artificiales se dispararán alrededor de la montura y se reproducirá música"
53,Fuegos artificiales glamorosos,"Después de cargar, disparar cuando aterrice después de saltar, los fuegos artificiales se dispararán alrededor de la montura y se reproducirá música"
54,Cargar,Cargar hacia adelante
55,Retroceso,Carga hacia adelante y derriba a las criaturas frente a ti.
56,Flotar,"Al utilizar la montura, el personaje se elevará desde el suelo y el efecto de sonido de rotación de la hélice se reproducirá automáticamente al mismo tiempo."
57,Deslizamiento bajo,"Deslícese a baja altura durante una distancia corta, manteniendo presionado el botón de salto mientras cae para evitar daños"
58,Deslizamiento alto,"Deslízate a baja altitud para una distancia más larga, manteniendo presionado el botón de salto mientras caes para evitar dañarte"
59,Plumas brillantes,Invoca a 3 pequeños cisnes fantasmas para que naden alrededor de la montura después de su uso.
60,Lago de los cisnes,Puede sumergirse en el agua para nadar.
61,Vuelo de la mañana,Puede volar una cierta distancia en el aire y no agotará la salud durante el otoño.
62,Súper onda de luz,"Al moverse, emitirá automáticamente ondas de luz frías."
63,Rayo de destrucción,"Al moverse, emitirá automáticamente una onda de luz roja dorada fría"
64,Onda de luz divina,"Al moverse, emitirá automáticamente ondas de luz frías."
65,Rayos depurativos,"Al moverse, emitirá automáticamente ondas de luz plateadas-violetas frías."
66,Sobre las nubes,Puede flotar en el aire una distancia corta y no se agota durante la caída.
67,Sobre el cielo,Puede volar una cierta distancia en el aire y no se agotará durante la caída.
68,Salto dimensional,Will aparece a 15 cuadras en la dirección señalada después de usar la habilidad.
69,Torbellino,"Después del uso, un pequeño tornado seguirá detrás del automóvil."
70,Burbuja mágica,Aparecerán muchas burbujas alrededor del cuerpo.
71,Alas de céfiro,Puede volar una cierta distancia en el aire y no se agotará durante la caída.
72,Agua Mágica,El flujo de agua azul aparecerá a tu alrededor.
73,Lágrimas Milagrosas,Se puede formar un escudo de energía.
74,Resplandor Rojo,Resplandor rojo que gira a tu alrededor.
75,Rayo Dorado,Frijol dorado que gira a tu alrededor.
76,Brillo Azul,Resplandor azul que gira a tu alrededor.
77,Caída de pétalos,Pequeños pétalos caen a tu alrededor
78,Alboroto de mariposas,Mariposas y flores floreciendo a tu alrededor
79,Pétalos voladores,Pétalos y flores rosas volando a tu alrededor
80,Zarpar,Toca el botón de salto para acelerar un 20% durante 10 segundos.
81,Invocación para principiantes,Toca el botón de salto para invocar un genio pequeño que te siga.
82,Invocación para intermedios,Haz clic en el botón de salto y aparecerá un genio estrella para seguirte.
83,Invocación avanzada,Haz clic en el botón de salto y aparecerá un genio de perla para seguirte.
