角色ID,西班牙语,西班牙语,西班牙语,西班牙语,西班牙语
ID,Name,Desc,GeniusName,GeniusDesc,BuyTips
1,Jefe,Jefe de una tribu primitiva a la que le gustan las aventuras y expandir su tierra tribal.,Robustez,Aumenta el daño básico (sin activar).,@Null@
2,Jefe,Jefe de una tribu primitiva a la que le gustan las aventuras y expandir su tierra tribal.,Robustez1,Daño básico +5,@Null@
3,Jefe,Jefe de una tribu primitiva a la que le gustan las aventuras y expandir su tierra tribal.,Robustez2,Daño básico +10,@Null@
4,Mujer del jefe,Madre primitiva fuerte a la que se le da bien la caza.,Experta en caza,Aumenta la ganancia de la caza (sin activar).,@Null@
5,Mujer del jefe,Madre primitiva fuerte a la que se le da bien la caza.,Experta en caza1,Tiene un 25% de probabilidad de conseguir el doble de objetos al derrotar a monstruos.,@Null@
6,Mujer del jefe,Madre primitiva fuerte a la que se le da bien la caza.,Experta en caza2,Tiene un 25%/15% de probabilidad de conseguir el doble/triple de objetos al derrotar a monstruos.,@Null@
7,Kaka,Se ha criado en la tribu primitiva y tiene habilidades para sobrevivir en la naturaleza salvaje.,Tozudez,Reduce el daño sufrido a distancia (sin activar).,@Null@
8,Kaka,Se ha criado en la tribu primitiva y tiene habilidades para sobrevivir en la naturaleza salvaje.,Tozudez1,Reduce un 20% el daño sufrido a distancia.,@Null@
9,Kaka,Se ha criado en la tribu primitiva y tiene habilidades para sobrevivir en la naturaleza salvaje.,Tozudez2,Reduce un 40% el daño sufrido a distancia.,@Null@
10,Nini,"Hermana primitiva trabajadora, especialmente activa en el trabajo.",Trabajadora,Aumenta la velocidad de recolección (sin activar).,@Null@
11,Nini,"Hermana primitiva trabajadora, especialmente activa en el trabajo.",Trabajadora1,La velocidad de recolección aumenta un 50%.,@Null@
12,Nini,"Hermana primitiva trabajadora, especialmente activa en el trabajo.",Trabajadora2,La velocidad de recolección aumenta un 100%.,@Null@
13,Niño salvaje,"En toda familia, hay un niño salvaje. ¡Espera! ¿Qué tiene en la mano?",Genio de las bombas,Reduce el daño de explosión (sin activar).,@Null@
14,Niño salvaje,"En toda familia, hay un niño salvaje. ¡Espera! ¿Qué tiene en la mano?",Genio de las bombas1,Reduce un 20% el daño de explosión.,@Null@
