iD,西班牙语,西班牙语
ID,Name,AttrDesc
5,Golpear para volar,El ataque cuerpo a cuerpo lanzará al objetivo a una altura de 4 de distancia.
5,Golpear para volar,El ataque cuerpo a cuerpo lanzará al objetivo a una altura de 6 de distancia.
5,Golpear para volar,El ataque cuerpo a cuerpo lanzará al objetivo a una altura de 8 de distancia.
5,Golpear para volar,El ataque cuerpo a cuerpo lanzará al objetivo a una altura de 10 de distancia.
5,Golpear para volar,El ataque cuerpo a cuerpo lanzará al objetivo a una altura de 12 de distancia.
6,Agudo,Daño de ataque cuerpo a cuerpo +5
6,Agudo,Daño de ataque cuerpo a cuerpo +10
6,Agudo,Daño de ataque cuerpo a cuerpo +16
6,Agudo,Daño de ataque cuerpo a cuerpo +24
6,Agudo,Daño de ataque cuerpo a cuerpo +35
7,Cazador de humanos,Daño de ataque cuerpo a cuerpo a humanos +8
7,Cazador de humanos,Daño de ataque cuerpo a cuerpo a humanos +16
7,Cazador de humanos,Daño de ataque cuerpo a cuerpo a humanos +25
7,Cazador de humanos,Daño de ataque cuerpo a cuerpo a humanos +40
7,Cazador de humanos,Daño de ataque cuerpo a cuerpo a humanos +60
8,Cazador de animales,Daños de ataque cuerpo a cuerpo a animales +8
8,Cazador de animales,Daños de ataque cuerpo a cuerpo a animales +16
8,Cazador de animales,Daños de ataque cuerpo a cuerpo a animales +25
8,Cazador de animales,Daños de ataque cuerpo a cuerpo a animales +40
8,Cazador de animales,Daños de ataque cuerpo a cuerpo a animales +60
9,Cazador de demonios,Daño de ataque cuerpo a cuerpo a tiradores de azufre y monstruos de magma +8
9,Cazador de demonios,Daño de ataque cuerpo a cuerpo a tiradores de azufre y monstruos de magma +16
9,Cazador de demonios,Daño de ataque cuerpo a cuerpo a tiradores de azufre y monstruos de magma +25
9,Cazador de demonios,Daño de ataque cuerpo a cuerpo a tiradores de azufre y monstruos de magma +40
9,Cazador de demonios,Daño de ataque cuerpo a cuerpo a tiradores de azufre y monstruos de magma +60
29,Cazador de salvajes,Daño de ataque cuerpo a cuerpo a salvajes +8
29,Cazador de salvajes,Daño de ataque cuerpo a cuerpo a salvajes +16
29,Cazador de salvajes,Daño de ataque cuerpo a cuerpo a salvajes +25
29,Cazador de salvajes,Daño de ataque cuerpo a cuerpo a salvajes +40
29,Cazador de salvajes,Daño de ataque cuerpo a cuerpo a salvajes +60
10,Encender,El ataque encenderá al objetivo durante 3 segundos e infligirá 5 puntos de daño por segundo.
10,Encender,El ataque encenderá al objetivo durante 3 segundos e infligirá 10 puntos de daño por segundo.
10,Encender,El ataque encenderá al objetivo durante 3 segundos e infligirá 15 puntos de daño por segundo.
10,Encender,El ataque encenderá al objetivo durante 3 segundos e infligirá 20 puntos de daño por segundo.
10,Encender,El ataque encenderá al objetivo durante 3 segundos e infligirá 25 puntos de daño por segundo.
11,Rechazo,Este ataque rechazará al objetivo 2 puntos de distancia adicionales.
11,Rechazo,Este ataque rechazará al objetivo 4 puntos de distancia adicionales.
11,Rechazo,Este ataque rechazará al objetivo 6 puntos de distancia adicionales.
11,Rechazo,Este ataque rechazará al objetivo 8 puntos de distancia adicionales.
11,Rechazo,Este ataque rechazará al objetivo 10 puntos de distancia adicionales.
12,Caza afortunada,Un 20% de probabilidad de que se dupliquen los objetos al derrotar a criaturas.
12,Caza afortunada,Un 20%/15% de probabilidad de que se dupliquen/tripliquen los objetos al derrotar a criaturas.
12,Caza afortunada,Un 20%/15%/15% de probabilidad de que se dupliquen/tripliquen/cuadrupliquen los objetos al derrotar a criaturas.
13,Disparo potente,Aumenta un 25% el daño de ataque con arco.
13,Disparo potente,Aumenta un 50% el daño de ataque con arco.
13,Disparo potente,Aumenta un 75% el daño de ataque con arco.
13,Disparo potente,Aumenta un 100% el daño de ataque con arco.
13,Disparo potente,Aumenta un 125% el daño de ataque con arco.
14,Disparo ilimitado,Puedes doblar un arco para disparar sin flechas. Cada disparo consume 5 punto de durabilidad.
14,Disparo ilimitado,Puedes doblar un arco para disparar sin flechas. Cada disparo consume 4 punto de durabilidad.
14,Disparo ilimitado,Puedes doblar un arco para disparar sin flechas. Cada disparo consume 3 punto de durabilidad.
14,Disparo ilimitado,Puedes doblar un arco para disparar sin flechas. Cada disparo consume 2 punto de durabilidad.
14,Disparo ilimitado,Puedes doblar un arco para disparar sin flechas. Cada disparo consume 1 punto de durabilidad.
15,Durabilidad,Aumenta en un 40% la durabilidad de los objetos.
15,Durabilidad,Aumenta en un 80% la durabilidad de los objetos.
15,Durabilidad,Aumenta en un 160% la durabilidad de los objetos.
15,Durabilidad,Aumenta en un 240% la durabilidad de los objetos.
15,Durabilidad,Aumenta en un 320% la durabilidad de los objetos.
