id编号,标题,内容,作者,是否匿名
Id,Title,Context,Author,ShouldAnonymity
1,Hola,Soy una botella.,,
2,Mis secretos,----.-.-......-/---...-..--.--./-.--..-.-----.-/-.-....--..----/-..----.--...../-..----.--...../-..----...--.-./-.-.---..-.-.../-.-.-..---.-.-./-..-...---..--..,,
3,,"Cansado, pero todavía hermoso. Eso es crepúsculo.",,
4,,"¿Estás estresado por la acumulación de tareas? ¡Relájate, hay una solución! Hay trabajos alineados para que no se acumulen.",,
5,,"Ayuda, estoy en alguna isla, ¿Puedes venir por mí?",,
6,,"¡Oye, esta es mi botella! Ven a darmela de vuelta.",,
7,,¡El que lea este mensaje no se baña!,,
8,,"Me siento triste, ¿Cantamos?",,
9,,Te invito a cenar esta noche (Tu pagas),,
10,,"Hace mucho calor, hagamos una competencia de natación, ¿divertido?",,
11,,"El jugador de baloncesto más alto se llama Suleiman Ali Nashnush, su altura es de 2,45 m.",,
12,,Mejor tu paga la comida ya que invitas no,,
13,,Siempre fresca nunca imfresca 0.0,,
14,,La botella flotara y veras las cosas más bonito lo q te escribí para darte un animo para vernos,,
15,,Encontraste mi botella ¡felicidades!,,
16,,VIVE LA VIDA LOCA,,
17,,"Sé que no estás a mi lado, pero me da esperanza que ambos veamos la misma luna y las mismas estrellas incluso estando en esta isla",,
18,,Hey hola recuerda que todos son lindos a su manera,,
19,,Hola espero que estes bien estoy en el norte,,
20,,El amor es más efímero que una flor en plena temporada...,,
21,,"Recuerda esto, explicación no es igual a excusa y entender no es igual a estar de acuerdo.",,
22,,"Ayuda, estoy en alguna isla, ¿Puedes venir por mí?",,
23,,Las rosas son rojas el mar es azul mi tia tiene un gato que se llama Raul,,
24,,Camarón que se duerme se lo lleva la corriente,,
25,,Todos tenemos un sueño que algún día se nos hará en realidad.,,
26,,Nunca te rindas sigue adelante,,
27,,Todo saldrá bien,,
28,,Que tengas un día bonito,,
29,,Me gustaria saber quien eres en primer lugar,,
30,,Te ire a buscar cueste lo que cueste,,
31,,Que el resplandor de la luna acompañe tus aventuras y el brillo del sol proteja tu corazon.,,
32,,Tengo hambre XD,,
33,,"Eres como la mañana, muy brillante",,
34,,Este es mi juego favorito,,
35,,¡Soy un dragón :D!,,
36,,La vida no es facil ahi que trabajar en ella para lograr nuestras metas,,
37,,"Me gusta la pepsi , me gusta el helado, pero lo que mas me gusta es averte encontrado.",,
38,,Yo me aceptó y me amo tal como soy... No necesito la opinión de alguien más para saber que soy valiosa. Yo me aceptó y me amo tal como soy.,,
39,,"Me siento triste , Cantamos?",,
40,,Que tengan un excelente día :) y también disfruten el juego,,
41,,"Al final, lo que importa no son los años de vida, sino la vida de los años",,
42,,"Puedes perder, pero nunca rendirse",,
43,,"No me leas, ya me leíste.",,
44,,"No falle 100 veces si no,encontre 100 formas de como no aserlo",,
45,,Siembra un árbol y harás feliz a un perro,,
46,,"Que lindo está el día ,es un día maravilloso sería lindo que hoy estuviera lluvioso ♡",,
47,,Si lees esto eres suertudo de tener una gran imaginacion y bienvenida!!,,
48,,Buena suerte encontrando mi tesoro pirata,,
49,,Tu eres hermos@,,
50,,"Nunca te rindas, todo es posible",,
51,,¡Si lees esto eres cabeza de gato :3!,,
52,,"Recuerda siempre ay peores , no importa como eres por fuera si no como eres por dentro",,
53,,Si lees esto recuerda que ella o el no te ama,,
54,,Siéntate... Te sirvo un té de hierbas frescas...,,
55,,Siempre ser Féliz con todos el Mundo,,
56,,Si lees esto eres guapo uwu,,
57,,"¿Quieren mi tesoro? Todo lo que obtuve de este mundo esta ahi, ¡busquenlo!",,
58,,Pasar muy bien en el juego y jugar con amigos,,
59,,No dejes para mañana lo que puedes hacer hoy,,
60,,Ayuda estoy en una isla puedes venir por mí,,
61,,"Ven toma mi mano, para huir de esta infinita oscuridad",,
62,,Conocer el amor de los que amamos es lo que nuestra vida aveces necesita,,
63,,Hola Ven conmigo a una Aventura,,
64,,Ola no te sientas solo,,
65,,Tu eres el mejor,,
66,,Quisiera ser mariposa y volar en flor en flor y llegar hasta tu casa y decirte hola mi amigo,,
67,,No gastes tu tiempo en gente que no te valora.,,
68,,"Ayuda, naufrague y ahora estoy en una isla un tanto extraña... En las noches escucho una dulce voz a la orilla de la playa, tal vez debería investigar... Enviaré más botellas cuando lo haga! Cielos... Espero alguien les esto.",,
69,,Este es un mensaje y lo que quiero decir es que me encanta Mini World es muy divertido y muy entretenido! :D,,
70,,Hola puedo ser tu amigo,,
71,,Solo mira a delante aunque otros tengan más que tu,,
72,,Hola cómo estás espero que bien si lees esto eres una persona maravillosa,,
73,,EL resultado es irrelevante porque el esfuerzo estuvo ahí.,,
74,,Nada de lo que vistes es mas bonita que tu sonrisa,,
75,,"Alguna ves quisiera tener amigos de verdad, pero lo amigos siempre son iguales al mar, por que se van y vienen :D",,
76,,"Eres como mi libro favorito, me llamaste por la portada y me enamoraste en cada página.",,
77,,"Usted me gusta pero no un simple gusto como el cafe de las mañanas , si no su mirada que me mata, quiera tenerlo en cualquiera de mis realidades por que usted me gusta para dos otre esternidades.",,
78,,Hola! Te quiero enviar esta botella porque mini wold es el mejor!! La verdad que es muy divertido vamos! Que esperas? Ven a mini wold!!,,
79,,Llega la hora de explorar!alisten todo que es momento de brillar!,,
80,,Espero reencontrarnos algún dia,,
81,,"Los retos que tu te pones en prueba, serán difíciles, pero eso no significa que no puedas cumplirlos.",,
82,,Si tú crees en tí mismo logras podrás convertir tu vida en una edad de oro,,
83,,Si te caes levántate y sigue,,
84,,"El pasado se olvida , el presente se vive , y el futuro se espera.",,
85,,"En el día brilla el sol, en la noche brilla la luna..pero en el centro de mi corazón brillas tu como ninguna <3",,
86,,"Querido marinero, prometo algun dia ir en tu buscaqueda, estas en una tempestad en el alta mar pero quiero decirte que solo te dejes guiar por el cantar de las olas marinas, recuerda que siempr el brillo del mar te acompañara a donde quiera que vayas, se fuerte marinero, estas cerca al pie de una hermosa isla que espera darte una calida bienvenido despues de aquel mar tan infinito como mis pensamientos hacia tu llegada...~",,
87,,No está mal ser diferente. Creo que la igualdad comienza cuando nos abrimos y aceptamos todas nuestras diferencias.,,
88,,"Cierra tu corazón a su desesperación, cierra tu corazón a su sufrimiento, no sientas lastima por ellos, ellos no la sentirán por ti",,
89,,Nunca busques la felicidad donde la perdiste,,
90,,Nunca te rindas después de una tormenta siempre hay un arcoíris,,
91,,"En el amor no hay temor, sino que el perfecto amor echa fuera el temor; porque el temor lleva en si castigo. De dónde el que teme,no ha Sido perfeccionado en el amor.",,
92,,Ayuda estoy atrapado en el estomago de un tiburon,,
93,,Siempre tendrás un lindo aunque pasen cosas malas :D <3,,
