ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
ID,Name,Desc,BuyTips,EffectDesc1,EffectDesc2,EffectDesc3,EffectDesc4,EffectDesc5,EffectDesc6
1,Pandacita-Mini Panda,¡Un chico panda un poco tsundere al que le gusta el bambú!,La carta Disfraz se puede conseguir en las frutas del jardín.,Huella: huellas de panda.,Avatar: desbloquea el avatar de Pandaa.,@Null@,,,
2,Kong-El Rey Monito,Oferta limitada en el festival de primavera del año de mono. ¡El pequeño rey mono te acompaña para celebrar el festival de primavera!,La carta Disfraz se puede conseguir en las frutas del jardín.,Huella: deja nubes de la suerte allá por donde pasa.,Avatar: desbloquea el avatar del pequeño rey mono.,@Null@,,,
3,Meimei-La Conejita,Una conejita adorable que deja huellas de rábano allá por donde pasa.,La carta Disfraz se puede conseguir en las frutas del jardín.,Huella: huellas de rábano.,Avatar: desbloquea el avatar de Conejita,@Null@,,,
4,Misra-Mini Dragón,¡Ten cuidado con Misra en el mundo prehistórico!,La carta Disfraz se puede conseguir en las frutas del jardín.,Huella: huellas de dinosaurio.,Avatar: desbloquea el avatar de Misra.,@Null@,,,
5,Ruli-Camarera Dulce,¡Ding! ¡Te damos la bienvenida al Café Miau!,Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.,Huella: huellas de gato.,Avatar: desbloquea el avatar de la camarera dulce.,@Null@,,,
6,Jorge-El Deportista,Un chico alegre al que le gusta el deporte y la música.,Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.,Huella: corazones de amor azules,Avatar: desbloquea el avatar de George.,@Null@,,,
7,Anny-La Bailarina,Una chica enérgica a la que le encantan los postres y bailar.,Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.,Huella: corazones de amor rojoes,Avatar: desbloquea el avatar de Anny.,@Null@,,,
8,Siaofei-El Monje,Un miembro de la antigua escuela mohista. Un maestro de la maquinaria.,@Null@,Huella: alas del viento.,Avatar: desbloquea el avatar de Xiaofei el Mohista.,Acciones voladoras especiales en el modo Creación.,Crear efectos de vuelo en modo,,
9,Drácula VI-La Sangría,"Un descendiente de la real casa, que sufrió el primer mordisco de sangre. Es elegante y siniestro permanentemente.",Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.,Efecto especial corporal: emite una niebla sangrienta y murciélagos negros.,Avatar: desbloquea el avatar de Drácula VI.,@Null@,,,
10,Ding Dong-El Alce Feliz,"El ciervo del padre David que habita en el valle feliz de Navidad, kawaii y travieso.",@Null@,Efecto especial corporal: emite un aura navideña.,Avatar: desbloquear el avatar de Ding Ding Dang.,Huella: deja huellas de ciervo navideño por donde pasa.,,,
11,Sueno-Cazador de Nieves,"Snow, el cazador de las nieves, proviene de una región polar. Las águilas son sus amigos.",@Null@,Efecto especial: con fríos copos de nieve alrededor.,Avatar: desbloquea el avatar del cazador Esau.,Huella: quedan huellas de bola de nieve allá por donde camina.,,,
12,Yuji-Hada Celestial,Una hada se cae al mundo secular desde el cielo y se encuentra con Samson por casualidad.,@Null@,Efecto especial corporal: con pétalos flotando alrededor.,Avatar: desbloquea el avatar de Yuji.,@Null@,,,
13,Murong-El Ermitaño,Un ermitaño que entrena en la montaña y se encuentra a Dalila de casualidad.,@Null@,Efecto especial corporal: aliento vigoroso.,Avatar: desbloquea el avatar de Samson.,Huella: deja huellas en los lugares por los que caminas.,,,
14,Joey-El Alguacil,Lo siento. Quizás no les gustes a mis balas.,@Null@,Efecto especial corporal: con humo y polvo alrededor del vaquero.,Avatar: desbloquea el avatar de Joey.,Huella: huellas de estrella de policía.,,,
15,Lucas-Capitán Baloncesto,Un CI superior para el baloncesto. Un posicionamiento excelente en la cancha. Un slam-dunk espléndido. Es el jugador más valorado del juego.,@Null@,@Null@,Avatar: desbloquea el avatar de Lucas.,Huella: huellas de baloncesto.,,,
16,Clair-La Animadora,"Como Lucas, ella tiene tanta gracia que puede atraer la atención de todos.",@Null@,@Null@,Avatar: desbloquea el avatar.,Huella: huellas de cinta.,,,
17,Rosa-Desde el Oeste,¿Quién esta dispuesto a acompañarme a tierras lejanas,@Null@,Efecto especial corporal: con corazones rojos alrededor,Avatar: desbloquea el avatar de Rosa.,@Null@,,,
18,Teach-El Capitán,Quiero ser el capitán pirata más famoso y buscar tesoros en las profundidades del océano.,@Null@,@Null@,Avatar: desbloquear el avatar del capitán.,Huella: deja huellas en los lugares por los que caminas.,,,
19,Mary-El Dulce,"Entonces, quiero ser la ayudante más famosa del capitán pirata.",@Null@,Efecto especial corporal: con corazones rojos alrededor,Avatar: desbloquear el avatar.,@Null@,,,
20,Jinyi-Guardia Imperial,No huyo de la espada.,@Null@,Huella: el viento,Avatar: desbloquea el avatar de Jinyi.,@Null@,,,
21,Xiaolou - Chica Perdida,"Echo de menos el tiempo pasado cuando en la patria estábamos viendo los fuegos artificiales mi hermano y yo, pero ahora, ¿donde estás mi hermano?",@Null@,Efectos Corporales: el cuerpo con una flor de Durazno,Avatar: desbloquear el avatar de Xiaolou.,@Null@,,,
22,Lilith - Mini Bruja,Dulce o Truco,@Null@,Efectos Corporales: la difusión de la bruja.,Avatar: desbloquear el avatar.,@Null@,,,
23,Wushuang-Kungfu Chica,Yo no soy una chiquita como tú te imaginas. No me fastidies porque soy fuerte!,@Null@,Efectos Corporales: Flores azules,Avatar: Desbloquear la avatar de Wushuang.,@Null@,,,
24,Dragonete - Chico Kung-fu,La guardia del mundo de mi condiscípulita está a mi cargo.,@Null@,Efectos Corporales: El humo negro rodea las huellas dejadas.,Avatar: desbloquear avatar de Dragonet.,@Null@,,,
25,Erlang-General de Triojos,"Como una guardia, es mi responsabilidad proteger esta tierra tan hermosa que nunca me ha sonado! .",@Null@,Efectos Corporales: lleno de Virtudes Positivas,Avatar: desbloquear la avatar de General Triojos.,@Null@,,,
26,Mermale-El Sirenito,Mamá siempre me dijo que es la pez con sueño que se siente feliz .,@Null@,Efectos Corporales: la bendición de los sueños,Avatar: desbloquear el avatar de Mermale.,@Null@,,,
27,Misoso-Árbol de Amor,"Constructor de sueños ambientales principales del Plan Mundial de Protección, lucha para mejorar el mundo.",Puede obtener fragmentos del evento Protector del plan mundial.,Efectos Corporales: bendición de la naturaleza,Avatar: desbloquear el avatarar de Misoso.,@Null@,,,
28,Mini-X,"La Guardia del Tiempo, le encanta viajar y escuchar música.",@Null@,Efecto del cuerpo: rodeado de partículas electrónicas,Avatar: Desbloquear el avatar Mini-X,@Null@,,,
29,Mini-T,"Lo que está dentro de este traje frío, es un alma ardiente, apuntando hacia la vasta galaxia infinita.",@Null@,Efectos Corporales: rodeado de partículas electrónicas,Avatar: Desbloquear el avatar Mini-T,@Null@,,,
30,Sianer-Hada de Luna,Ella baila a la luz de la luna,@Null@,Efectos Corporales: forma de la luna creciente deriva alrededor de ella,Avatar: desbloquear el avatar de Fada de la Luna. .,@Null@,,,
31,Calabaza-Mini Brujo,Un mago misterioso y fuerte con un libro lleno de magia chusca y un sombrero aparentemente inútil,@Null@,Efectos Corporales: exhala aura mágica,Avatar: Desbloquear el avatar de calabaza,@Null@,,,
32,Shelley-Princesa Sirena,"Una princesita del reino submarino misterioso, pierda su dirección y se mete a Mini World. Aquellos que le hagan alegre, escucharán su canto bello.",@Null@,Efectos Corporales: Se echan gotas de agua en el cuerpo.,Avatar: Desbloquear el avatar de Shelley,Huella: dejar huellas en forma de concha al andar,,,
33,Christopher,El secreto del invierno consiste en que cada copo de nieve tiene vida y se guardan en sí mismos.,@Null@,Efectos Corporales: Volan copos de nieve alrededor del cuerpo.,Avatar: Desbloquear foto perfil de Christopher,@Null@,,,
34,Isra,Isra y Misra son amigos mejores. Tienen una autoestima muy baja porque son débiles. Se embarcan en un viaje para encontrar un planeta donde puedan obtener la Magia del Color con la esperanza de volverse más fuertes.,@Null@,Efectos Corporales: Cambia su color para mezclarse con el medio ambiente,Avatar: Desbloquear el avatar.,@Null@,,,
35,Dodo,Dodo y Bobo son los mejores amigos de Misra. Tienen una autoestima muy baja porque son débiles. Se embarcan en un viaje para encontrar un planeta donde puedan obtener la Magia del Color con la esperanza de volverse más fuertes.,@Null@,Avatar: Desbloquear el avatar.,@Null@,@Null@,,,
36,Bobo,Dodo y Bobo son los mejores amigos de Misra. Tienen una autoestima muy baja porque son débiles. Se embarcan en un viaje para encontrar un planeta donde puedan obtener la Magia del Color con la esperanza de volverse más fuertes.,@Null@,Avatar: Desbloquear el avatar.,@Null@,@Null@,,,
37,Sakura-La Soñadora,"Una chica cuyo sueño es viajar sin ninguna consideración o plan previo. No sólo para aventurar, sino también quiere vivir de la manera que desea ella.",@Null@,Avatar: Desbloquear el avatar.,Huella: dejar huella de pétalo dondequiera ande,@Null@,,,
38,Lang-Marsical Cerdo,Este mariscal ha experimentado tantas guerras que parece una deidad guerrera reencarnada en el mundo secular.,@Null@,Efectos Corporales: Espuma de agua rodeado,Avatar: Desbloquear el avatar,Huella: Dejará huellas de espuma de agua donde anda.,,,
39,Angelas-Ángel Guardia,"Ángel Guardia desciende desde la tierra de hadas. Una hada llena de justicia y amor. Usa el cetro para extender el amor a cada esquina de Mini World, guardando a los aventureros de cada generación.(Obtenerse por participar en eventos.)",Desbloq. por Evento,Efectos corporales: Plumas flotando alrededor,Avatar: Desbloquear el avatar,@Null@,,,
