ID,任务名,任务描述,任务追踪
ID,Name,Desc,TrackDesc
1001001,Coloca la fruta sagrada,"Coloca @item_587#@1#r (""Fruto Sagrado"" representa la tecnología de modificación genética más gloriosa de los ""antiguos"") en el Trono de Piedra de Vida",Coloca @item_587# en el Trono de Piedra de Vida
1001002,Coloca la espada Rota en Llamas,"Coloca @item_588# en el trono de la Piedra del Valor@1#r (""La Espada Rota en Llamas"" representa la larga alianza entre los ""antiguos"" y el ""Dragón Negro"").",Coloca @item_588# en el trono de la Piedra del Valor
1001003,Coloca el Ojo del Hombre de Piedra,"Coloca @item_589# en el Trono de Piedra de la Sabiduría @1#r (""Ojo del Hombre de Piedra"" representa la sabiduría artificial de los ""antiguos"").",Coloca @item_589# en el Trono de Piedra de la Sabiduría
1001004,¡Duelo de fantasma del vacío!,"¡Derrota al Fantasma del Vacío! #r (¡No hay vuelta atrás, para el mini-universo!)",¡Derrota al Fantasma del Vacío!
1001005,Contactar con el vacío,Consigue @item_11333##r (¿es un nuevo comienzo para ...?),Consigue @item_11333#
1002001,Volver a Mira,"Por fin hemos llegado sanos a Mira. #r Pero todo el equipo se dispersó al atravesar el bloqueo de la cadena estelar, algún otro compañero ha llegado ya a Mira?",Llegado a Mira
1002002,Necesito piedras,"Recoge @item_110# para obtener @item_11627#@1#r (pulsa prolongadamente la piedra para recogerla, o puedes abrir el panel de control y procesar @item_104# en la interfaz de procesamiento para obtener @item_11627#).",Capturar @item_110# para obtener @item_11627#@1
1002003,más materiales,"Colecta ramas para obtener @item_11006#@1#r (presione prolongadamente las ramas para capturar, algunas ramas de árboles crecen en un lugar relativamente alto, ¿de qué manera puede empujarse hacia arriba?)",Obtener @item_11006#@1 del árbol
1002004,Comienza una buena vida,Use @item_11627# y @item_11006# para procesar @item_11002#@1#r (las herramientas útiles pueden recopilar recursos más rápido),Abre el Panel de control para editar @item_11002#@1
1002005,Leñador,Coge @item_11002# y colecta ramas de árboles para obtener @item_11323#@1#r (@item_11323# es crucial en el viaje por delante),Talar árboles para colectar @item_11323#@1
1002006,Experto de construcción,"Usa @item_11323# para procesar @item_206#@1#r (excepto @item_206#, para la mayoría de procesamientos de madera se necesita @item_11323#, así que puedes hacer más)",Procesar @item_206#@1
1002007,Lugar para vivir,"Coloca @item_206#@1#r (parece que hay una casa rota cerca de la estación estelar, tal vez se pueda reparar con @item_206# para vivir)",Colocar @item_206#@1
1002008,Ármate,"Usa @item_11323# y @item_11627# para elaborar @item_12012#@1#r(Sobrevivir en la naturaleza puede ser peligroso, así que tener un arma útil es esencial).",Crea @item_11015#@1
1002009,Vamos!,Derrota a cualquier criatura @1#r (¿La mejor defensa es la ofensiva? Prueba el arma recién hecha. ¿Cómo se siente?),Derrota a cualquier criatura @1
1002010,¡Luz en la oscuridad!,"Use @item_11006# y @item_11226# para procesar @item_298#@1#r (¡Nota! La pequeña antorcha tiene un tiempo de combustión limitado y debe volver a encenderse si se apaga, pero no es ningún problema actuar como una herramienta de iluminación temporal)",Procesar @item_298#@1
1002011,Fiesta de Hoguera,"Use @item_298# para iluminar @item_1200#@1#r (puede haber @item_1200# listo para usar en la casa rota cerca de la estación estelar, o puedes procesar uno tu mismo).",Encender @item_1200#@1
1002012,Artesano,"Use @item_11323# y @item_11627# para procesar @item_800#@1#r (mesa de artesano, ¡imprescindible para la adventura! Wow ~ puede procesar más artículos)",Procesar @item_800#@1
1002013,Imprescindible para la supervivencia,"Use @item_12600# y @item_11226# para procesar @item_828#@1#r (debe usar @item_800# al procesar. Después de tener @item_828#, recuerde ponerlo en un lugar seguro, si hay una amenaza cerca, ¡no puedes dormir!)",Procesar @item_828#@1
1002014,Descanza bien,"Use @item_828# para dormir#r (haga clic en @item_828# para acostarte, pero debes esperar hasta la noche. La noche en Mira comienza a las 20: 00, presta atención a la hora)",Haga clic en @item_828# puesto para dormirte
1003001,"¡Barbacoa, sabroso!","Ponga @item_12513# en la fogata para cocinar @item_12514#@1#r (la mayor parte de la carne de los animales se puede asar,  es muy peligroso comer carne cruda directamente en la naturaleza!)",Usa @item_1200# para cocinar @item_12514#@1
1003002,El encanto de la barbacoa,Come @item_12514# para recuperar tu fuerza@1#r,Comer @item_12514#@1
1003003,Némesis mineral,"Procesar @item_11012# con @item_11627# y @item_11006#@1#r (con @item_11012# puedes recolectar minerales más rápido, ¡la minería con las manos vacías es demasiado dolorosa!)",Procesar @item_11012#@1
1003004,¿Nueva energía?,"Excava @item_402# con @item_11012# para conseguir @item_11201#@1#r (@item_11201# es el combustible más común en Mira, tanto por encima como por debajo del suelo.)",Colectar @item_402#@1
1003005,¡Minerales nuevos!,"Excava @item_451# con @item_11012# @1#r(@item_451# se distribuye ampliamente en Mira, y hay mucha producción por encima y por debajo del suelo)",Colectar @item_451#@1
1003006,Procesador de mesa de fundición,"Usa @item_11226# y @item_101# para procesar @item_802#@1#r (con @item_802# puedes procesar metal, es hora para conseguir unos minerales!)",Procesar @item_802#@1
1003007,Fundición de metal: Bronce,Usa combustible para fundir @item_451# en @item_802# y refina @item_11329#@1#r (@item_11329# es un metal básico con una amplia variedad de usos. Puede usarse para mejorar herramientas y aumentar la eficiencia),Funde para obtener @item_11329#@1
1003008,Herramientas más útiles,"Usa @item_11329# y @item_11006# para procesar @item_11011#@1#r (debes usar @item_800# al procesar. Con @item_11011#, ¡la velocidad de minería será increíble!)",Procesar @item_11011#@1
1003009,La primera lección de supervivencia en la naturaleza,"Completa todas las tareas en el objetivo ""Nuevo Explorador"". #r (Has aprendido los medios más básicos de supervivencia en la naturaleza, es hora de practicar! Los trucos del fantasma del vacío no se han terminados, ¡así que trabaja más duro!)","Completa todas las tareas en el objetivo ""Nuevo Explorador"""
1004001,El comienzo de la agricultura,Usa @item_11627# y @item_11006# para procesar @item_11032#@1#r (con él puedes cultivar tierras de cultivo),Procesar @item_11032#@1
1004002,Cultivar de tierras,"Usa @item_11032# en @item_100# o @item_101# para convertirlo en tierra cultivada @1#r (Para cultivar la tierra, pulsa prolongadamente  con el botón derecho sobre el bloque en PC y pulsa prolongadamente sobre el bloque en móvil)",usar @item_11032# para cultivar la tierra@1
1004003,Rey del grano,Siembra @item_11400# en @item_102#@1#r (Haz clic a @item_102# con @item_11400# para plantar),Sembrar @item_11400#@1
1004004,Fertilización,"Usa @item_11311# en cultivos@1#r (@item_11311# puede acelerar el crecimiento de la mayoría de las plantas, pero no todas las fertilizaciones funcionan...)",Usar @item_11311# en cultivos@1
1004005,¡Gran cosecha!,Recoge madura @item_229#@1#r(la primera cosecha siempre es inolvidable),Recoge @item_229#@1
1004006,El primer paso para un chef,"Usa @item_104# para elaborar @item_200108#@1#r (@item_800# será necesario al elaborar. También puedes encender la fogata con @item_298#, ¿recuerdas? Coloca @item_200108# en el @item_1200# que encendiste para hacer alimentos más deliciosos)",Crea @item_200108#@1
1004007,Preparar materias primas,Usa @item_229# para procesar @item_344#@1#r(se necesita @item_800# al procesar. @item_344# es la materia prima básica de muchos platos),procesar @item_344#@1
1004008,¡Plato delicioso listo!,Cocina @item_12502#@1#r (Usa @item_344# en @item_200108# y espera a que se prepare el delicioso plato),Cocina @item_12502#@1 en @item_200108#
1004009,Que disfrutes!,Come @item_12502#@1#r (¡Solo cuando estás lleno puedes trabajar duro!),Comer @item_12502#@1
1004010,¡La mochila ya está llena!,Usa @item_11323# y @item_11006# para procesar @item_1180#@1#r(los artículos que no caben en la mochila se pueden guardar en la caja de almacenamiento),Procesar @item_1180#@1
1004011,Defiéndete de enemigos fuertes,"Usa @item_11323# y @item_11006# para procesar @item_812# y colocarlo@1#r (Después de instalar la puerta en casa, no solo facilita la entrada y salida, sino también evitar que los monstruos ingresen a la casa. ¡Pero tenga cuidado, @item_812# puede ser destruido por salvajes!)",Procesar y colocar @item_812#@1
1004012,Fortificaciones defensivas,Usa @item_11323# para procesar @item_821# y colocarlo@1#r (haz clic a @item_821# ya colocado con @item_821# para conectarlos),Procesar y colocar @item_821#@1
1004013,Entrada y salida de la ciudad,"Usa @item_11323#, @item_11006# y @item_11227# para procesar @item_535# y colocarlo @1#r(@item_535# se puede conectar con estacas de madera, para que los monstruos no puedan entrar)",procesar y colocar @item_535#@1
1004014,Estatua de piedra misteriosa,"Usa @item_104# para procesar @item_596# y colocarlo@1#r (la extraña estatua de piedra tiene una sensación extraña, tocarla puede que suceda algo)",Procesar y colocar @item_596#@1
1004015,"Aquí, empieza de nuevo","Dar estrellas a @item_596#@1#r (haga clic en @item_596# y selecciona ""Dar una estrella"", Ramey puede llevarte de vuelta aquí en caso de un accidente en la naturaleza)",Ofrecer estrella a @item_596#@1
1004016,Supervivencia en la naturaleza Lección 2,"Completa todas las tareas en el objetivo ""Aprendizaje sin fin"". #r (Aprendiste más sobre la supervivencia, es hora de ir más lejos.)","Completa todas las tareas en el objetivo ""Aprendizaje sin fin"""
1004017,Fuente de Luz Natural,"Crea @item_905# o @item_907#@1#r con @item_837# (una fuente permanente de luz natural, quizás un remplazo de las antorchas que pueden apagarse)",Crear @item_905# o @item_907#@1
1005001,Piel dura,Caza para conseguir @item_11307#@1#r (necesitas derrotar a Rinoceronte o Zorro para conseguir @item_11307#),Obtener @item_11307#@1
1005002,¡Equipamiento de latón!,"Procesa y usa cualquier equipo de latón, como @item_12216#@1#r (con el equipo de latón, estás más resistente a los golpes, jaja!)",Procesar y poner cualquier equipamiento de latón
1005003,Arma más afilada,"Usa @item_11329# y @item_11323# para elaborar @item_12004#@1#r (Con @item_12004#, tu habilidad de combate aumentará significativamente)",Crea @item_12004#@1
1005004,Atrapar al ladrón,"Derrota a los apóstoles del Fantasma del Vacío para conseguir @item_11911#@1#r (ellos roban el poder de la creación para el Fantasma del Vacío, ¡hay que detenerlos!)",Derrota al apóstol del Fantasma de Vacío para conseguir @item_11911#@1
1005005,¡Actualiza la mesa del artesano!,"Actualiza @item_800# a @item_797#@1#r (haz clic en @item_800# localizado con @item_11911# para actualizar, con @item_797# puedes ver directamente todas las recetas de procesamiento)",haz clic en @item_800# con @item_11911#
1005006,Totalmente nuevo!,"Realizar una reparación de herramientas o equipos (usa item_797# o @item_800#, haz clic en mesa del artesano para abrir la página, selecciona ""reparación de herramientas"" a la izquierda y pon lo que necesitas reparar).",Realizar un reparo de herramientas o equipamientos
1005007,Mejorar la eficiencia de fundición,"Procesar @item_799# con @item_11329#@1#r (después de reemplazar con una mesa de fundición más avanzada, se pueden fundir varios grupos de minerales a la vez)",Procesar @item_799#@1
1005008,Minerales más duros,"Colectar @item_401#@1#r (@item_401# es más duro que @item_451#, y la distribución mineral es más profunda.)",Colectar @item_401#@1
1005009,Fundición de metales: Hierro,"Procesar @item_11209#@1#r (con @item_11209#, se pueden procesar herramientas y equipos más resistentes y se pueden procesar más bloques. Se recomienda reservar más).",Procesar @item_11209#@1
