接口ID,西班牙语,西班牙语,西班牙语,西班牙语,西班牙语,西班牙语,西班牙语
ID,TypeName,FunctionName,FunctionDesc,Desc1,Desc2,Desc3,Desc4
10001,Juego,doGameEnd,Game:doGameEnd(),nil,ErrorCode.OK,Terminar juego,local result = Game:doGameEnd()
10002,Juego,setScriptVar,"Game:setScriptVar(index, val)","index:number index from 1 , val:number customized value",ErrorCode.OK,Definir parámetros de script para personalizar,"local result = Game:setScriptVar(index, val)"
10003,Juego,getScriptVar,Game:getScriptVar(index),index:number index from 1 ,"ErrorCode.OK, val:number User Value",Recibir parámetros de script para personalizar,local result = Game:getScriptVar(index)
10004,Juego,sendScriptVars2Client,Game:sendScriptVars2Client(),nil,ErrorCode.OK,Subir parámetros de script,local result = Game:sendScriptVars2Client()
10005,Juego,addRenderGlobalEffect,Game:addRenderGlobalEffect(path),path:string,"ErrorCode.OK, effectid:number",Nuevo Efecto Global,local result = Game:addRenderGlobalEffect(path)
10006,Juego,removeRenderGlobalEffect,Game:removeRenderGlobalEffect(effectid),effectid:number,ErrorCode.OK,Remover Efecto Global,local result = Game:removeRenderGlobalEffect(effectid)
10007,Juego,setRenderGlobalEffectPos,"Game:setRenderGlobalEffectPos(effectid, x, y, z)","effectid:number, x|y|z:number",ErrorCode.OK,Definir la posición del efecto global,"local result = Game:setRenderGlobalEffectPos(effectid, x, y, z)"
10008,Juego,setRenderGlobalEffectScale,"Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)","effectid:number, scalex|scaley|scalez:number",ErrorCode.OK,Definir efecto global de Zoom,"local result = Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)"
10009,Juego,msgBox,Game:msgBox(msg),,,Caja Mensaje,local result = Game:msgBox(msg)
20001,Mundo,isDaytime,World:isDaytime(),none,"ErrorCode.OK, result:boolean",Si es diurno o no,"local isDayTx = World:isDaytime()
if isDayTx~=ErrorCode.OK then --If it is night, then give the torch to players
        local itemId, itemCnt = 817, 2 --Torch id and numbers
        Player:gainItems(playerId, itemId, itemCnt, 1)
end"
20002,Mundo,isCustomGame,World:isCustomGame(),none,"ErrorCode.OK, result:boolean",Si es juego personalizado o no,"local result = World:isCustomGame()
if result==ErrorCode.OK then print('Customize mode') end"
20003,Mundo,isCreativeMode,World:isCreativeMode(),none,"ErrorCode.OK, result:boolean",Si es modo de creación o no,"local result = World:isCreativeMode()
if result==ErrorCode.OK then print('Creation mode') end"
20004,Mundo,isGodMode,World:isGodMode(),none,"ErrorCode.OK, result:boolean",Modo de Creación Multijugador o Modo de Editar Personalizado,"local result = World:isGodMode()
if result==ErrorCode.OK then print('Multiplayer mode') end"
20005,Mundo,isExtremityMode,World:isExtremityMode(),none,"ErrorCode.OK, result:boolean",Extremo,"local result = World:isExtremityMode()
if result==ErrorCode.OK then print('Hardcore mode') end"
20006,Mundo,isFreeMode,World:isFreeMode(),none,"ErrorCode.OK, result:boolean",Modo Supervivencia-Modo Libre,"local result = World:isFreeMode()
if result==ErrorCode.OK then print('Survival mode-Free mode') end"
20007,Mundo,isSurviveMode,World:isSurviveMode(),none,"ErrorCode.OK, result:boolean",Modo Solo o Modo Supervivencia-Modo Libre,"local result = World:isSurviveMode()
if result==ErrorCode.OK then print('Single Survival mode') end"
20008,Mundo,isCreateRunMode,World:isCreateRunMode(),none,"ErrorCode.OK, result:boolean",Modo Supervivencia convertido desde Creación,"local result = World:isCreateRunMode()
if result==ErrorCode.OK then print('Survival mode, turned from creation mode') end"
20009,Mundo,isGameMakerMode,World:isGameMakerMode(),none,"ErrorCode.OK, result:boolean",Modo Editar Personalizado,"local result = World:isGameMakerMode()
if result==ErrorCode.OK then print('Customized edit mode') end"
20010,Mundo,isGameMakerRunMode,World:isGameMakerRunMode(),none,"ErrorCode.OK, result:boolean",Modo Operación Personalizada,"local result = World:isGameMakerRunMode()
if result==ErrorCode.OK then print('Customized operation mode') end"
20011,Mundo,getHours,World:getHours(),none,"ErrorCode.OK, result:number",Tiempo Actual(h),"local result, dayTime = World:getHours()
if result==ErrorCode.OK then print('Current time:', dayTime) end"
20012,Mundo,getCameraEditState,World:getCameraEditState(),none,"ErrorCode.OK, state:number0Default，1Edit，2Test",Obtenere el Estado de Edición Visión,"local result, state = World:getCameraEditState()
if result==ErrorCode.OK then print('Current view editing state:', state) end"
20013,Mundo,setCameraEditState,World:setCameraEditState(state),state:CameraEditState,ErrorCode.OK,Establecer Estado de Edición Visión,"--Get Camera(userdata)，Back to nil
local result, config = World:getCustomCameraConfig()
if result==ErrorCode.OK and config~=nil then --Customized view
        config:setOption(CAMERA_OPTION_INDEX_CONFIG_SET, CCG_FLATVIEW)
end"
20014,Mundo,getCustomCameraConfig,World:getCustomCameraConfig(),none,"ErrorCode.OK, config:CameraEditState",Obtener Config. de Cámara Personalizada,local result = World:getCustomCameraConfig()
20015,Mundo,getRangeXZ,World:getRangeXZ(),none,"ErrorCode.OK, startX|startZ|endX|endZ:number",Obtener Rango de Bloque (chunk),"local result, startX,startZ,endX,endZ = World:getRangeXZ()
if result==ErrorCode.OK then print('StartXZ=(',startX,', ',startZ,'), EndXZ=(',endX,', ',endZ,')')  end"
