id,地形名称
id,Name
-1,Número de intentos de generar
1000,Mar Somero
1001,Pradera
1002,Desierto
1003,Bosque
1004,Acantilado
1005,Pantano
1006,Bosque Conífero
1007,Selva
1008,Campo de Hielo
1009,Océano Congelado
1010,Río Congelado
1011,Tierra roja
1012,Costa de Tierra Roja
1013,Duna del Desierto
1014,Colina del Bosque
1015,Colina del Bosque de Coníferas
1016,Iceberg
1017,Colina de la Selva
1018,Río
1019,Playa
1020,Borde del Acantilado
1021,Tierra de Lava
1022,Isla del Cielo
1023,Cuenca
1024,Borde de Cuenca
1025,Cuenca de Bambú
1026,Cuenca del Durazno
1027,Llano
1028,Colina
1029,Llano del Altar
1030,Monta?a Alta
1031,Colinas
1032,Planeta Isla Celestial
1033,Planeta Isla Celestial
1034,Planeta Isla Celestial
1035,Planeta Isla Celestial
1036,Planeta Isla Celestial
1037,Planeta Isla Celestial
1038,Borde de la Isla Celestial
1039,Selva Tropical
1040,Llano de la Isla Celestial
1041,Isla Celestial de la Pradera
1042,Pico Principal Volcánico
1043,Llano Volcánico
1044,Cordillera Volcánica
1045,Río de Lava Volcánica
1046,Cráter Volcánico
1047,Oasis del Desierto
1048,Lago del Desierto
1049,Mar Profundo
1050,Costa de la Isla Desierta
1051,Centro de la Isla Desierta
1052,Costa de la Isla de Tierra Roja
1053,Centro de la Isla de Tierra Roja
1054,Costa de la Isla de Coral
1055,Centro de la Isla de Coral
1056,Bosque de coníferas nevado
1057,Pico principal de montaña nevada
1058,Pico secundario de montaña nevada
1059,Montañas Nevadas
1060,Cordillera central de montaña nevada
1061,Base de montaña nevada
1062,Cordillera central de pico secundario de montaña nevada
1063,Lago congelado
1064,Valle
1065,Borde del valle
