ID,任务名
ID,Name
1001,¡Derrota el vacío!
1002,Lucha por la luz del mañana
1003,Explorador novato
1004,Aprendizaje sin limites
1005,Explorador avanzado
1006,Ingeniero Estelar
1007,Aventura en la selva
1008,Pruebas milenarias
1009,Super rescate de la piedra del vacío
2001,Herrero
2002,Guardián del bosque
2003,Floramigo
2004,Vigilante del cultivo
2005,Historia de los animales de granja
2006,Domador maestro
2007,Introducción a la cocina
2008,Chef profesional
2009,Chef supremo
2010,Gran artista
2011,Pescador legendario
2012,Especialista en minería
3001,Armero
3002,Maestro de armaduras
3003,Buscador rúnico
3004,Berserker
3005,Cazador silvestre
4001,Socio confiable
4002,Rastros de mi paso
4003,Viajero del desierto
4004,Veinte mil leguas de viaje submarino
4005,Expedición Polar
4006,Circuito de energía estelar (reservado)
4007,Vehículos mecánicos (reservados)
