ID,名称,描述,说明
ID,Name,Desc,Notes
100001,Modo de Clima Global Actual,Modo de Clima Global Actual,
100002,Distancia entre Ubicaciones,Distancia entre %1 y %2,
100006,Determinar la Región a la que pertenece la ubicación,%1%2 está en %3,
100007,Tipo de Bloque en Ubicación Específica,Tipo de Bloque de %1,
100008,Dirección: desde una ubicación hasta otra,La dirección de %1 a %2,
100009,La dirección de las coordenadas de tres ejes absolutas,"La dirección de X%1, Y%2, Z%3",
10001,Convertir Ubicación en Región,"Establecer %1 como punto central, región con dimensiones (%2, %3, %4)",
100010,La dirección de las coordenadas esféricas absolutas,"Acimut %1, elevación %2",
100011,Ubicación,Ubicación %1,
100012,Región,Región %1,
100013,Temporizador,Temporizador %1,
100014,Grupo de Ubicación,Grupo de Ubicación %1,
100015,Grupo de Región,Grupo de Región %1,
100016,Grupo de Temporizador,Grupo de Temporizador %1,
100017,Clima Aleatorio,Clima Aleatorio,
100018,Clima de Grupo de Terreno,Clima de %1,
10002,Desviación de Región,"%1 se desplaza a lo largo del eje de coordenadas (%2, %3, %4)",
10003,Expandir Región,"Expandir eje de coordenadas de %1 en casillas X%2, Y%3, Z%4",
10005,Ubicación de Coordenada Especificada,La ubicación de coordenadas X%1Y%2Z%3,
10006,Desviación de Ubicación (Cambios a la ubicación original),"%1 se desplaza a lo largo del eje de coordenadas (%2, %3, %4)",
10007,Ubicación Central de la Región,Ubicación Central de %1,
10008,Ubicación Aleatoria de la Región,Ubicación Aleatoria de %1,
10009,Tiempo de Temporizador,Tiempo de %1,
10010,Longitud de rayo en la dirección especificada,"Comenzar con %1, proyectar un rayo de %3 casillas a %2, regresar longitud de rayo desde inicio hasta bloque",
10011,Concatenación de Cadena,%1 y %2,
10012,Convertir Valor en Cadena,%1 convierte en Cadena,
10015,Tipo de bloque alcanzado por el rayo,Tipo de bloque alcanzado por el rayo de %3 cuadrículas de %1 a %2,
10016,Dirección relativa al sistema de coordenadas de tres ejes,"%1 está apuntando a X%2, Y%3, Z%4",
10017,Dirección relativa al sistema de coordenadas esféricas,"%1 está apuntando acimut %2, elevación %3",
10018,Objeto de Jugador,Objeto de %1,
10019,Objeto de Criatura,Objeto de %1,
10020,Objeto de Proyectil,Objeto de %1,
10021,Objeto de Botín,Objeto de %1,
10022,El tono se transforma en valor,%1 se convierte a Valor,
10024,Desviación de Ubicación (Ubicación original arreglada),"%1 se desplaza a lo largo del eje de coordenadas (%2, %3, %4)",
10025,Valor Booleano,Valor Booleano %1,
10026,Valor,Valor %1,
10027,Cadena,Cadena %1,
10028,Tipo de Apariencia,Tipo de Apariencia %1,
10029,Grupo Booleano,Grupo Booleano %1,
10030,Grupo Numérico,Grupo Numérico %1,
10031,Grupo de Cadenas,Grupo de Cadenas %1,
10032,Obtener el conteo de valor de cualquier grupo,Obtener el número de valor en %1,
