ID,初始描述,选后描述
ID,DefaultDesc,AfterDesc
1,Sí,@Null@
2,No,@Null@
3,07:00:00,@Null@
4,09:00:00,@Null@
5,12:00:00,@Null@
6,18:00:00,@Null@
7,00:00:00,@Null@
8,Personalizar,(personalizar)$Num hora(s)
9,Por defecto,@Null@
10,Solo soleado,@Null@
11,Solo nevado y lluvioso,@Null@
12,1,@Null@
13,2,@Null@
14,3,@Null@
15,4,@Null@
16,5,@Null@
17,6,@Null@
18,10% de fuerza de gravedad,@Null@
19,40% de fuerza de gravedad,@Null@
20,60% de fuerza de gravedad,@Null@
21,100% de fuerza de gravedad (por defecto),@Null@
22,500% de fuerza de gravedad,@Null@
23,Personalizar 0.1-10,(personalizar)$Num
24,Vista principal,@Null@
25,Vista trasera,@Null@
26,Vista delantera,@Null@
27,Fijar vista en primera persona,@Null@
28,Fijar vista trasera,@Null@
29,Fijar vista delantera,@Null@
30,Abierto por el propietario de la sala,@Null@
31,Se abre automáticamente al llegar a un número determinado de jugadores.,@Null@
32,Nada,@Null@
33,Sin límite de tiempo,@Null@
34,2 minutos,@Null@
35,5 minutos,@Null@
36,10 minutos,@Null@
37,Personalizar (1-999 minutos),(personalizar)$Num min
38,10 minutos,@Null@
39,50 minutos,@Null@
40,100 minutos,@Null@
41,Personalizar (1-999 minutos),(personalizar)$Num min
42,Revivir de inmediato,@Null@
43,Cuenta atrás de 5 segundos,@Null@
44,Personalizar (1-999 minutos),(personalizar)$Num s
45,5 segundos,@Null@
46,10 segundos,@Null@
47,Sin límite,@Null@
48,Sin música,@Null@
49,bgm1 (Mundo Acelerado),@Null@
50,bgm2 (Movim. Consciente),@Null@
51,bgm3 (Estilo Chino),@Null@
52,bgm4 (A Luchar),@Null@
53,bgm5 (Díos Solitario),@Null@
54,bgm6 (Momento Ideal),@Null@
55,bgm7(Bomb！),@Null@
56,bgm8(Campo Fútbol),@Null@
57,Ataque gratis,@Null@
58,Se prohíben los jugadores que atacan.,@Null@
59,Ataque entre equipos,@Null@
60,Soleado y lluvioso alternadamente (por defecto),@Null@
61,No se necesita puntuación,@Null@
62,Fijado según el mapa por defecto,@Null@
63,Revivir en el lugar del equipo al azar,@Null@
64,Revivir en el lugar más cercano del equipo,@Null@
65,Visible,@Null@
66,Invisible,@Null@
67,Caída normal,@Null@
68,Mochila vacía,@Null@
69,Guardar objetos,@Null@
70,Apertura automática incondicional,@Null@
71,Todos visibles,@Null@
72,Equipo visible,@Null@
73,Enemigo visible,@Null@
74,Todos invisibles,@Null@
75,Según la puntuación,@Null@
76,Todas las victorias,@Null@
77,Todas las derrotas,@Null@
78,Fijar vista panorámica,@Null@
79,Revivir al instante,@Null@
80,2,@Null@
81,5,@Null@
82,13,@Null@
83,Personalizar (1-99),(personalizar)$Num
84,10,@Null@
85,20,@Null@
86,40,@Null@
87,Personalizar (1-40),(personalizar)$Num
88,Fijar la vista,@Null@
89,0,@Null@
90,120,@Null@
91,Gratis,@Null@
92,Persiguiendo,@Null@
93,Cambiable,@Null@
94,Drop de la caja,@Null@
95,@Null@,@Null@
96,@Null@,@Null@
105,Vista superior,
106,Vista personalizada,
107,Mal clima,
108,Nieve,
109,Tormenta de polvo,
110,Tormenta,
111,Ventisca,
112,Jarra de botines,
