序号,巴西葡萄牙语
No,Name
1,Insira UID
2,Senha
3,pluginres\btn_text_ptb.png
4,Lembre-se UID
5,Eu concordo com
6,pluginres\btn_policy_ptb.png
7,Selecione as perguntas
8,Coloque sua resposta
9,pluginres\btn_num_ptb.png
10,Pessoa mais impressionante
11,Sua comida favorita
12,Seu animal favorito
13,Lugar favorito para visitar
14,Seu primeiro presente
15,Seu número da sorte
16,Jogo Rápido.
17,Senha Incorreta
18,Conectando
19,pluginres\btn_orange_e1_ptb.png
20,pluginres\btn_quickplay_ptb_h.png
21,pluginres\btn_quickplay_ptb_n.png
22,pluginres\option1_1_en.png
23,pluginres\option1_2_en.png
24,pluginres\option1_3_en.png
25,pluginres\en01.png
26,pluginres\en02.png
27,pluginres\en03.png
28,UID incorreto
29,Coloque a Senha
30,Clique de Acordo
31,Coloque sua Resposta
32,MiniWorld está actualizando: %d%%
33,pluginres\btn_orange_e1_ptb_h.png
34,pluginres\btn_orange_e1_ptb_s.png
35,14
36,Notificação
37,"Sua conta :%s definiu a senha. Para manter a segurança da sua conta, faça login com sua senha."
38,Login
39,Verificação de login
40,Celular
41,E-mail
42,Código de Verificação
43,Verificação para celular
44,verificação de e-mail
45,Enviar
46,Verifique o login para garantir que sua conta esteja segura.
47,Falha na verificação. Verifique seu e-mail e código de verificação.
48,Falha na verificação. Verifique seu número de celular e código de verificação.
49,Enviar（%d）
50,O código de verificação foi enviado.
51,"Desculpe, você não pode acessar a conta nesta plataforma. (Erros plataforma cruzada）"
