ID,名字,类型名称
ID,Name,TypeName
1,Frente,Mover
2,Esquerda,Mover
3,Direita,Mover
4,Trás,Mover
5,Pular,Mover
6,Desviar,Mover
7,Correr,Mover
8,Mochila,Barra de ferramentas
9,Descartar,Barra de ferramentas
10,Atalho 1,Barra de ferramentas
11,Atalho 2,Barra de ferramentas
12,Atalho 3,Barra de ferramentas
13,Atalho 4,Barra de ferramentas
14,Atalho 5,Barra de ferramentas
15,Atalho 6,Barra de ferramentas
16,Atalho 7,Barra de ferramentas
17,Atalho 8,Barra de ferramentas
18,Organizar,Barra de ferramentas
19,Bate-papo,Multijogador
20,UI,Multijogador
21,Pontos,Multijogador
22,Conquistas,Função
23,Mini-mapa,Função
24,Montaria,Função
25,Modo Personalizado,Função
26,Estado,Função
27,Armazém,Função
28,Skin,Função
29,Recarregar,Função
30,Carregar,Barra de ferramentas
31,Voz On/Off,Multijogador
32,Microfone On/Off,Multijogador
33,Biblioteca Recursos,Função
34,Janela do Desenvolvedor,Função
35,Página Esquerda,Função
36,Página Direita,Função
37,Recurso,Função
38,Roteiro,Função
39,Edição Avançada,Função
40,Gatilho,Função
