ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
ID,Name,Desc,BuyTips,EffectDesc1,EffectDesc2,EffectDesc3,EffectDesc4,EffectDesc5,EffectDesc6
1,Panda,"Um menino panda orgulhoso, sua comida preferida são bambus!",Cartas de modas podem ser obtidas no Jardim das Frutas.,Pegada: Pegadas de Panda,Avatar: desbloquear avatar de Panda.,@Null@,,,
2,Rei Macaquinho,Em vendas limitadas no Festival de Primavera do Ano do Macaco.,Cartas de modas podem ser obtidas no Jardim das Frutas.,Pegada: deixa nuvens da sorte por onde andar.,Avatar: desbloquear avatar de Rei Macaquinho.,@Null@,,,
3,Mulher Coelho,Uma coelha fofa. Deixa marcas de suas pegadas por onde passa.,Cartas de modas podem ser obtidas no Jardim das Frutas.,Pegada: Pegadas de Nabo,Avatar: desbloquear avatar de Mulher Coelho.,@Null@,,,
4,Misra,Tenha cuidado com Misra no mundo pré-histórico!,Cartas de modas podem ser obtidas no Jardim das Frutas.,Pegada: Pegadas de Dinossauro,Avatar: desbloquear avatar de Misra.,@Null@,,,
5,Garçonete Doce,Ding! Seja bem-vindo ao Café Meow!,Itens bloqueados podem ser obtidos no Jardim das Frutas.,Pegada: Pegadas de Gato,Avatar: desbloquear avatar de Garçonete Doce.,@Null@,,,
6,George,Um menino brilhante que vive de esportes e música.,Itens bloqueados podem ser obtidos no Jardim das Frutas.,Pegada: Corações Azuis,Avatar: desbloquear avatar do George,@Null@,,,
7,Anny,Uma garota energética que gosta de dançar e de sobremesa.,Itens bloqueados podem ser obtidos no Jardim das Frutas.,Pegada: Amor Vermelho,Avatar: desbloquear avatar de Anny.,@Null@,,,
8,Monge Xiaofei,Membro da antiga escola Moista. Um mestre em máquinas.,@Null@,Pegada: asas de vento,Avatar: desbloquear avatar do Mohista..,Ação de voo especial no modo de criação,Criar efeitos de voo de modo,,
9,Drácula VI,"Aceitou a descendência da Família Real, muito elegante.",Itens bloqueados podem ser obtidos no Jardim das Frutas.,Efeitos especiais: emite névoa de sangue e morcegos.,Avatar: desbloquear avatar de Drácula VI.,@Null@,,,
10,Ding Dong,Cervo fofo que vive no Vale do Natal.,@Null@,Efeitos especiais: aura de Natal.,Avatar: desbloquear avatar de Ding Dong.,Pegada: pegadas de Cervo de Natal são deixadas por onde você passe.,,,
11,Caçador das Neves,Caçador corajoso que veio de regiões polares. As águias são suas amigas.,@Null@,Efeitos especiais: com flocos de neves ao redor.,Avatar: desbloquear avatar do Caçador Esau.,Pegada: pegadas de bolas de neve são deixadas por onde você passe.,,,
12,Yuji,Uma fada que caiu para um mundo secular e encontra Samson de vez em quando.,@Null@,Efeitos especiais: com pétalas voando ao redor.,Avatar: desbloquear avatar do Yuji.,@Null@,,,
13,Murong,Um eremita que treina nas montanhas e encontra com Delilah de vez enquando.,@Null@,Efeitos especiais: respiração vigorosa,Avatar: desbloquear avatar do Samson.,Pegada: deixará marcas de pegadas nos lugares que você caminhou.,,,
14,Joey,"Desculpe, talvez minhas balas não despertem atenção em você.",@Null@,Efeitos especiais: fumaça e poeira em volta do Caubói.,Avatar: desbloquear avatar do Joey.,Pegada: deixará marcas de pegadas de estrelas de polícia nos lugares que você caminhou.,,,
15,Lucas,"Excelente QI de basquete. Excelente posicionamento no tribunal.
Explendido. Ele é o MVP do jogo.",@Null@,@Null@,Avatar: desbloquear avatar do Lucas.,Pegada: deixará marcas de pegadas de basquete nos lugares que você caminhou.,,,
16,Clair,Igual ao Lucas. Ela é tão glamurosa que consegue atrair os olhos de qualquer um.,@Null@,@Null@,Avatar: desbloquear avatar de Clair.,Pegada: deixará marcas de pegadas de fita nos lugares que você caminhou.,,,
17,Rose,Alguém estaria interessado em me acompanhar na minha tragetória?,@Null@,Efeitos especiais do corpo: Corações ao redor!,Avatar: desbloquear avatar de Rose.,@Null@,,,
18,Capitão Teach,"Eu quero ser o capitão pirata mais famoso, em busca de tesouros pelas profundezas do oceano.",@Null@,@Null@,Avatar: desbloquear avatar de Capitão.,Pegada: deixará marcas de pegadas nos lugares que você caminhou.,,,
19,Mary,Então eu quero ser o capitão pirata mais famoso!,@Null@,Efeitos especiais do corpo: Corações ao redor!,Avatar: desbloquear avatar.,@Null@,,,
20,Jinyi,Eu não sinto intimidado quando estou com minha espada.,@Null@,Pegada: Pé de Vento,Avatar: desbloquear avatar.,@Null@,,,
21,Xiaolou,"Xiaolou é a maior atração, como uma lótus em águas muito gentis.",@Null@,Efeitos especiais do corpo: Flor de pêssego flutuando,Avatar: desbloquear avatar.,@Null@,,,
22,Lilith,Doçuras ou travessuras,@Null@,Efeitos especiais do corpo: Divulgação de bruxa.,Avatar: desbloquear avatar.,@Null@,,,
23,Wushuang,Não confunda minha gentileza com a fraqueza,@Null@,Efeitos corporais: flores azuis,Avatar: desbloqueie o avatar de Wushuang.,@Null@,,,
24,Dragonet,Irei proteger seu mundo!,@Null@,Pegada: fumo preto,Avatar: desbloqueie o avatar de Dragonet.,@Null@,,,
25,Erlang,Eu ajudarei a afastar os espíritos malignos e a manter você seguro.,@Null@,Efeito do corpo: vibrações positivas,Avatar: desbloqueie o avatar de Erh-lang.,@Null@,,,
26,Mermale,"Mamãe sempre me disse que não corre, não corre sem sonhar.",@Null@,Efeito corporal: benção dos sonhos,Avatar: desbloqueie o avatar da Mermale.,@Null@,,,
27,Misoso,"O principal construtor de sonhos ambientais do Plano de Protecao do Mundo, luta para melhorar o mundo.",Você pode obter fragmentos do evento Protetor do Plano Mundial,Efeito corporal: benção da natureza,Avatar: desbloqueie o avatar de Misoso.,@Null@,,,
28,Mini-X,"Guarda do tempo, adora viajar e escutar música.",@Null@,Efeito do Corpo: cercado por partículas eletrônicas,Avatar: Desbloquear o avatar Mini-X,@Null@,,,
29,Mini-T,"O que está dentro deste traje frio é uma alma ardente, apontando para a vasta galáxia infinita.",@Null@,Efeito do Corpo: cercado por partículas eletrônicas,Avatar: Desbloquear o avatar Mini-T,@Null@,,,
30,Fada da Lua,Ela dança à luz da lua,@Null@,Efeito do Corpo: forma da lua crescente deriva em torno dela,Avatar: desbloquear el avatar,@Null@,,,
31,Abobora,"Um mago misterioso e poderoso, com um livro cheio de magia do tesouro e um capacete mágico aparentemente inútil",@Null@,Efeito corporal: exala aura mágica,Avatar: desbloqueie a foto do perfil da abóbora,@Null@,,,
32,Shelley,A princesinha do misterioso reino submarino se perde no Mini World. Aqueles que a fazem feliz ouvirão seu belo canto.,@Null@,Efeito do corpo: gota flutuando em torno dela,Avatar: desbloquear Shelley foto de perfil,Pegada: deixando pegadas de conchas do mar onde quer que ela passe,,,
33,Christopher,O segredo do inverno é que cada floco de neve está vivo e eles protegem uns aos outros.,@Null@,Efeito corporal: flocos de neve voam ao redor do corpo.,Avatar: Desbloqueie o avatar de neve,@Null@,,,
34,Popo,"Dodo e Bobo são os melhores amigos de Misra. Eles têm uma auto-estima muito baixa, pois são fracos. Eles partem em uma jornada para encontrar um planeta onde possam obter a Magia da Cor com a esperança de se tornarem mais fortes.",@Null@,Efeitos corporais: muda as cores para se misturar ao ambiente,Avatar: Desbloquear o avatar.,@Null@,,,
35,Dodo,"Dodo e Bobo são os melhores amigos de Misra. Eles têm uma auto-estima muito baixa, pois são fracos. Eles partem em uma jornada para encontrar um planeta onde possam obter a Magia da Cor com a esperança de se tornarem mais fortes.",@Null@,Avatar: Desbloquear o avatar.,@Null@,@Null@,,,
36,Bobo,"Dodo e Bobo são os melhores amigos de Misra. Eles têm uma auto-estima muito baixa, pois são fracos. Eles partem em uma jornada para encontrar um planeta onde possam obter a Magia da Cor com a esperança de se tornarem mais fortes.",@Null@,Avatar: Desbloquear o avatar.,@Null@,@Null@,,,
37,Sakura,"Uma garota que deixou seus sonhos queria viajar. Não só por aventura, mas também por viver do jeito que ela quer.",@Null@,Avatar: Desbloquear o avatar.,Pegada: deixando pegadas onde quer que ele passe,@Null@,,,
38,Marechal Zhanlang,Este marechal passou por muitas guerras. Ele parece um comandante das Forças Navais Celestes.,@Null@,Efeitos do corpo: spray de mar espalhados em torno dele,Avatar: desbloquear avatar.,Pegada: deixando pegadas onde quer que ele passe,,,
39,Eva,"Eva, que veio do país das fadas, é cheio de amor e justiça. Ela usa o cetro para espalhar amor em todos os cantos do Mini World. (Eva só consegue passar pelo evento)",Desbloq. pelo Evento,Efeitos no Corpo: Penas flutuantes,Avatar: desbloquear avatar.,@Null@,,,
40,Mini Beat,Um DJ do vazio que ama rock eletrônico. Ele é a estrela mais deslumbrante no palco com um forte senso de ritmo.,@Null@,Efeito no corpo: Caudas com relâmpago!,Avatar: desbloquear avatar.,Pegada: Você deixou pegadas por onde você andou.,,,
41,Lancelot,"O que é cavalheirismo? Onde a espada aponta, a justiça será alcançada!",@Null@,Efeito no corpo: cercado pela luz das estrelas,Avatar: desbloquear avatar.,@Null@,,,
42,Mecha Gato,"Conexão de rede verificada. Torre eletromagnética está pronta. Forca esta baixa, vamos recarregar",@Null@,@Null@,Avatar: desbloquear foto de perfil,Pegada: Deixe partículas eletrônicas onde quer que você vá.,,,
43,Samurai Senbei,Tem certeza de que você competiria no meu duelo?,@Null@,@Null@,Avatar: desbloquear foto de perfil,Pegada: Deixando pegada empoeirada.,,,
44,Gata Corredora,"Este troféu de campeão é seu presente de aniversário! Gata Corredora, que ama a vida urbana, aparece mais uma vez na quadra! Para ela, vencer lindamente é muito mais importante que uma simples vitória.",@Null@,@Null@,Avatar: desbloquear foto de perfil,Pegada: Deixando pegada em forma de coração.,,,
45,Assassino Li,Uma Assassina Enérgica. Sempre se anima. Ela gosta de tricotar tudo.,@Null@,@Null@,Avatar: desbloquear foto de perfil,Pegada: Deixando pegada de bola difuso.,,,
46,Assassino An,Ele quer jogar na frente dos outros. Mas seu parceiro sempre reclama de seu descuido.,@Null@,@Null@,Avatar: desbloquear foto de perfil,Pegada: Deixando pegada de dardo.,,,
47,Papagaio YOYO,Você acredita que toda nuvem tem seu próprio cheiro? Eu quero ser sua asa e levá-lo para o lugar mais bonito do mundo.,@Null@,Efeito Especial: luz dourada brilha na coroa,Avatar: desbloquear foto de perfil,@Null@,,,
48,Mini-S,"É meu dever guardar a paz, para meus amigos e minha casa!",@Null@,Efeito Especial: Mecha na parte de trás foi iluminada pelos raios dourados.,Avatar: desbloquear foto de perfil,@Null@,,,
49,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
50,Joker,"Ei, querido viajante, você gostaria de ver o incrível show de mágica? Todas as performances fantásticas estão aqui!",@Null@,@Null@,Avatar: desbloquear foto de perfil,Pegada: Deixando o padrão mágico quando ele passar.,,,
51,Kana,Estou aqui para quebrar as regras. Você quer experimentar alguns doces ou meu martelo?,@Null@,@Null@,Avatar: desbloquear foto de perfil,Pegada: Deixando o padrão de pirulito quando ela passa,,,
52,Optimus Prime,"Eu sou o Optimus Prime, estou esperando por você!",@Null@,Efeito Corporal Especial: Pode ser transformado como você queira,Avatar: Desbloquear Avatar,Pegadas: Você deixará símbolos do lado dele quando ele passar.,#cda5b0a Transformar: clique no botão à direita para alternar o formulário #n,#cda5b0a Habilidade Exclusiva: Ataque Robo! #n,
53,Megatron,"Não importa a vitória ou derrota, nunca serei conquistado. Eu sou Megatron",@Null@,Efeito Corporal Especial: Pode ser transformado como você queira,Avatar: Desbloquear Avatar,Pegadas: Você deixará símbolos do lado dele quando ele passar.,#cda5b0a Transformar: clique no botão à direita para alternar o formulário #n,#cda5b0a Habilidade exclusiva do Transformers: Missseis！#n,
54,Mousse,"Quais são as coisas mais importantes da véspera de Natal? Neve, Bolo, Mágica, maravilhoso para você!",@Null@,@Null@,Avatar: desbloquear foto de perfil,Pegada: Deixando a pegada de morango quando ela passa.,,,
