角色ID,巴西葡萄牙语,巴西葡萄牙语,巴西葡萄牙语,巴西葡萄牙语,巴西葡萄牙语
ID,Name,Desc,GeniusName,GeniusDesc,BuyTips
1,Chefe,Líder de uma tribo primitiva que gosta de aventuras por todo o lado e expandir a terra de sua tribo.,Forte,Aumenta ano mágico (não ativado),@Null@
2,Chefe,Líder de uma tribo primitiva que gosta de aventuras por todo o lado e expandir a terra de sua tribo.,Forte1,Dano mágico +5,@Null@
3,Chefe,Líder de uma tribo primitiva que gosta de aventuras por todo o lado e expandir a terra de sua tribo.,Forte2,Dano mágico +10,@Null@
4,Esposa do Chefe,Um primata musculoso bom em caça.,Caçador de monstros,Aumenta ganhos de caça (não ativado),@Null@
5,Esposa do Chefe,Um primata musculoso bom em caça.,Caçador de monstros1,Possui 25% de chances de obter drop em dobro ao matar monstros.,@Null@
6,Esposa do Chefe,Um primata musculoso bom em caça.,Caçador de monstros2,Possui 25%/15% de chances de obter drop em dobro/triplo ao matar monstros.,@Null@
7,Kaka,Cresceu em uma tribo primitiva e possui habilidades de sobrevivência na selva.,Teimosa,Reduz dano sofrido à distância (não ativado),@Null@
8,Kaka,Cresceu em uma tribo primitiva e possui habilidades de sobrevivência na selva.,Teimosa1,Reduz dano sofrido à distância em 20%,@Null@
9,Kaka,Cresceu em uma tribo primitiva e possui habilidades de sobrevivência na selva.,Teimosa2,Reduz dano sofrido à distância em 40%,@Null@
10,Nini,Irmã dos primavas trabalhadora que é muito ativa em seu trabalho.,Trabalhadora,Aumenta a velocidade de coleta (não ativado).,@Null@
11,Nini,Irmã dos primavas trabalhadora que é muito ativa em seu trabalho.,Trabalhadora1,Aumenta a velocidade de coleta em 50%.,@Null@
12,Nini,Irmã dos primavas trabalhadora que é muito ativa em seu trabalho.,Trabalhadora2,Aumenta a velocidade de coleta em 100%.,@Null@
13,Criança Selvagem,Toda família possui uma criança. Espere! Isto é a mão dele?,Gênio,Reduz danos de explosão (não ativado),@Null@
14,Criança Selvagem,Toda família possui uma criança. Espere! Isto é a mão dele?,Gênio1,Reduz danos de explosão em 20%.,@Null@
15,Criança Selvagem,Toda família possui uma criança. Espere! Isto é a mão dele?,Gênio2,Reduz danos de explosão em 40%.,@Null@
16,Capitão Tom,"Soldado da paz, bom em seu ramo de sobrevivência e no tiro.",Sobrevivencialista,Melhora os efeitos de comida e respiração debaixo da água (não ativado).,Itens bloqueados podem ser obtidos no Jardim das Frutas.
17,Capitão Tom,"Soldado da paz, bom em seu ramo de sobrevivência e no tiro.",Sobrevivencialista1,Tempo de recuperação de saciedade/saúde e respiração debaixo da água aumenta em 15%.,Itens bloqueados podem ser obtidos no Jardim das Frutas.
18,Capitão Tom,"Soldado da paz, bom em seu ramo de sobrevivência e no tiro.",Sobrevivencialista2,Tempo de recuperação de saciedade/saúde e respiração debaixo da água aumenta em 30%.,Itens bloqueados podem ser obtidos no Jardim das Frutas.
19,Agente Laura,Deus da segurança que adora aventuras emocionantes.,Profecia,Imune a dano fatal 1x (não ativado),Itens bloqueados podem ser obtidos no Jardim das Frutas.
20,Agente Laura,Deus da segurança que adora aventuras emocionantes.,Profecia1,"Quando os danos causados ​​são mais de 45 pontos e provoca a morte, ele regenerará imediatamente com 25% do valor da saúde. O intervalo de gatilho é de 5 minutos.",Itens bloqueados podem ser obtidos no Jardim das Frutas.
21,Agente Laura,Deus da segurança que adora aventuras emocionantes.,Profecia2,"Quando o dano tomado é maior que 25 pontos e causa a morte, ele irá regenerar imediatamente com 50% de saúde, e o intervalo de gatilho é de 3 minutos.",Itens bloqueados podem ser obtidos no Jardim das Frutas.
22,Cindy impertinente,Piloto inteligente da equipe de arqueologia primitiva.,Super pulo,Melhora a habilidade de puli. Ela pode fazer duplo duplo no nível 2 (não ativado),Itens bloqueados podem ser obtidos no Jardim das Frutas.
23,Cindy impertinente,Piloto inteligente da equipe de arqueologia primitiva.,Super pulo1,"Altura de pulo aumenta 50%, dano de queda diminui 10.",Itens bloqueados podem ser obtidos no Jardim das Frutas.
24,Cindy impertinente,Piloto inteligente da equipe de arqueologia primitiva.,Super pulo2,"Altura de pulo aumenta 50%, dano de queda diminui 20. Pode fazer pulo duplo.",Itens bloqueados podem ser obtidos no Jardim das Frutas.
25,Assistente Peter,Juntou-se a equipe arqueológica por um diploma perfeito.,Acaso,Ele possui uma chance de encontrar vários itens ao quebrar jarras (não ativado).,Itens bloqueados podem ser obtidos no Jardim das Frutas.
26,Assistente Peter,Juntou-se a equipe arqueológica por um diploma perfeito.,Acaso1,Ele possui 18% de chance de encontrar materiais raros ao quebrar jarras.,Itens bloqueados podem ser obtidos no Jardim das Frutas.
27,Assistente Peter,Juntou-se a equipe arqueológica por um diploma perfeito.,Acaso2,Ele possui 27% de chance de encontrar materiais raros e cubos especiais o quebrar jarras.,Itens bloqueados podem ser obtidos no Jardim das Frutas.
28,Professor Stephen,Por que um professor antigo da Academia Nacional de Ciências está nesta terra?,Grande aprendizagem,Ele possui chance de encontrar vários itens ao escavar pedras (não ativado),Itens bloqueados podem ser obtidos no Jardim das Frutas.
29,Professor Stephen,Por que um professor antigo da Academia Nacional de Ciências está nesta terra?,Grande aprendizagem1,Possui 4% de chances de encontrar minérios raros e materiais ao escavar pedras.,Itens bloqueados podem ser obtidos no Jardim das Frutas.
30,Professor Stephen,Por que um professor antigo da Academia Nacional de Ciências está nesta terra?,Grande aprendizagem2,"Possui 6% de chances de encontrar minérios raros, materiais e cubos raros ao escavar pedras.",Itens bloqueados podem ser obtidos no Jardim das Frutas.
