购买ID,道具ID,巴西葡萄牙语
ProductID,ID,Desc
1,24601,"Após a compra, você pode obter o direito de uso gratuito da maioria das roupas personalizadas, válido por 30 dias, com efeito imediato após a compra"
4,12856,Compra e uso: modifique o apelido uma vez.
8,12965,"Contém 3 pergaminhos que podem ser enviados para casa instantaneamente, o que é muito conveniente."
13,10025,"Contém 3 pergaminhos que podem ser teletransportados instantaneamente de volta ao local atual do planeta, o que é muito conveniente"
10,1055,Código Pequeno para host. Visitantes insera a senha definida pelo proprietário para abri-la.
11,1056,Código Grande para host. Visitantes insera a senha definida pelo proprietário para abri-la.
5,845,Somente host. Muito difícil. Forte o suficiente para protegê-lo dos ursos.
6,846,Somente host. Muito difícil. Forte o suficiente para protegê-lo dos ursos.
2,12751,Use fogos de artifício que lançam um padrão de cápsula para o céu (cupons de cápsulas #c0AAA1A *1#n serão fornecidos no momento da compra).
3,12752,Use fogos de artifício que podem lançar um padrão de frutas para o céu (#c0AAA1A cupom de evento*1 será entregue no momento da compra#n)
7,12831,Lance fogos de artifício brilhantes para o céu e deixe um pouco de experiência!
9,12750,"Pode lançar fogos de artifício de sorriso no céu.
(Obter 300 #c5aea0aMini Feijoes#n para qualquer compra)"
12,10023,"Após o uso, você pode obter os pontos do Passe de Temporada"
