接口ID,巴西葡萄牙语,巴西葡萄牙语,巴西葡萄牙语,巴西葡萄牙语,巴西葡萄牙语,巴西葡萄牙语,巴西葡萄牙语
ID,TypeName,FunctionName,FunctionDesc,Desc1,Desc2,Desc3,Desc4
10001,Jogo,doGameEnd,Game:doGameEnd(),nil,ErrorCode.OK,Terminar o jogo,local result = Game:doGameEnd()
10002,Jogo,setScriptVar,"Game:setScriptVar(index, val)","index:number index from 1 , val:number customized value",ErrorCode.OK,Definir atributo do script para personalizado,"local result = Game:setScriptVar(index, val)"
10003,Jogo,getScriptVar,Game:getScriptVar(index),index:number index from 1 ,"ErrorCode.OK, val:number User Value",Receber atributo de script para personalizado,local result = Game:getScriptVar(index)
10004,Jogo,sendScriptVars2Client,Game:sendScriptVars2Client(),nil,ErrorCode.OK,Carregar atributo do script,local result = Game:sendScriptVars2Client()
10005,Jogo,addRenderGlobalEffect,Game:addRenderGlobalEffect(path),path:string,"ErrorCode.OK, effectid:number",Novo efeito global,local result = Game:addRenderGlobalEffect(path)
10006,Jogo,removeRenderGlobalEffect,Game:removeRenderGlobalEffect(effectid),effectid:number,ErrorCode.OK,Limpar efeito global,local result = Game:removeRenderGlobalEffect(effectid)
10007,Jogo,setRenderGlobalEffectPos,"Game:setRenderGlobalEffectPos(effectid, x, y, z)","effectid:number, x|y|z:number",ErrorCode.OK,Definir a posição do efeito global,"local result = Game:setRenderGlobalEffectPos(effectid, x, y, z)"
10008,Jogo,setRenderGlobalEffectScale,"Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)","effectid:number, scalex|scaley|scalez:number",ErrorCode.OK,Definir efeito de zoom global,"local result = Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)"
10009,Jogo,msgBox,Game:msgBox(msg),,,Caixa de mensagem,local result = Game:msgBox(msg)
20001,Mundo,isDaytime,World:isDaytime(),none,"ErrorCode.OK, result:boolean",Clima diurno,"local isDayTx = World:isDaytime()
if isDayTx~=ErrorCode.OK then --If it is night, then give the torch to players
        local itemId, itemCnt = 817, 2 --Torch id and numbers
        Player:gainItems(playerId, itemId, itemCnt, 1)
end"
20002,Mundo,isCustomGame,World:isCustomGame(),none,"ErrorCode.OK, result:boolean",Se for um jogo personalizado,"local result = World:isCustomGame()
if result==ErrorCode.OK then print('Customize mode') end"
20003,Mundo,isCreativeMode,World:isCreativeMode(),none,"ErrorCode.OK, result:boolean",Se for um jogo de modo de criação,"local result = World:isCreativeMode()
if result==ErrorCode.OK then print('Creation mode') end"
20004,Mundo,isGodMode,World:isGodMode(),none,"ErrorCode.OK, result:boolean",Modo de criação multijogador ou modo de edição personalizado,"local result = World:isGodMode()
if result==ErrorCode.OK then print('Multiplayer mode') end"
20005,Mundo,isExtremityMode,World:isExtremityMode(),none,"ErrorCode.OK, result:boolean",Hardcore,"local result = World:isExtremityMode()
if result==ErrorCode.OK then print('Hardcore mode') end"
20006,Mundo,isFreeMode,World:isFreeMode(),none,"ErrorCode.OK, result:boolean",Modo Sobrevivencia - Modo Livre,"local result = World:isFreeMode()
if result==ErrorCode.OK then print('Survival mode-Free mode') end"
20007,Mundo,isSurviveMode,World:isSurviveMode(),none,"ErrorCode.OK, result:boolean",Modo Solo ou Sobrevivencia - Modo Livre,"local result = World:isSurviveMode()
if result==ErrorCode.OK then print('Single Survival mode') end"
20008,Mundo,isCreateRunMode,World:isCreateRunMode(),none,"ErrorCode.OK, result:boolean",Modo de Sobrevivência mudou do modo de Criação,"local result = World:isCreateRunMode()
if result==ErrorCode.OK then print('Survival mode, turned from creation mode') end"
20009,Mundo,isGameMakerMode,World:isGameMakerMode(),none,"ErrorCode.OK, result:boolean",Modo de edição personalizado,"local result = World:isGameMakerMode()
if result==ErrorCode.OK then print('Customized edit mode') end"
20010,Mundo,isGameMakerRunMode,World:isGameMakerRunMode(),none,"ErrorCode.OK, result:boolean",Modo de operação personalizado,"local result = World:isGameMakerRunMode()
if result==ErrorCode.OK then print('Customized operation mode') end"
20011,Mundo,getHours,World:getHours(),none,"ErrorCode.OK, result:number",Tempo Atual(h),"local result, dayTime = World:getHours()
if result==ErrorCode.OK then print('Current time:', dayTime) end"
20012,Mundo,getCameraEditState,World:getCameraEditState(),none,"ErrorCode.OK, state:number0Default，1Edit，2Test",Obter estado de edição de visualização,"local result, state = World:getCameraEditState()
if result==ErrorCode.OK then print('Current view editing state:', state) end"
20013,Mundo,setCameraEditState,World:setCameraEditState(state),state:CameraEditState,ErrorCode.OK,Definir o estado de edição da vista,"--Get Camera(userdata)，Back to nil
local result, config = World:getCustomCameraConfig()
if result==ErrorCode.OK and config~=nil then --Customized view
        config:setOption(CAMERA_OPTION_INDEX_CONFIG_SET, CCG_FLATVIEW)
end"
20014,Mundo,getCustomCameraConfig,World:getCustomCameraConfig(),none,"ErrorCode.OK, config:CameraEditState",Obter configuração de câmera personalizada,local result = World:getCustomCameraConfig()
20015,Mundo,getRangeXZ,World:getRangeXZ(),none,"ErrorCode.OK, startX|startZ|endX|endZ:number",Obter o intervalo de bloco (pedaço),"local result, startX,startZ,endX,endZ = World:getRangeXZ()
if result==ErrorCode.OK then print('StartXZ=(',startX,', ',startZ,'), EndXZ=(',endX,', ',endZ,')')  end"
20016,Mundo,getActorsByBox,"World:getActorsByBox(objtype, x1, y1, z1, x2, y2, z2)","type:number designate type, x1|y1|z1:number starting point, x2|y2|z2:number ending point","ErrorCode.OK, num:number, objids:tableobjid array",Obter ator na área designada,"local actorType = 0 --OBJ_TYPE_MONSTER
local x1, y1, z1 = -5, 1, -5
local x2, y2, z2 = 15, 9, 15
local ret, num, array = World:getActorsByBox(actorType, x1,y1,z1, x2,y2,z2)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20017,Mundo,getPlayerTotal,World:getPlayerTotal(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number Number",Obtenha todos os jogadores. Pode controlar sua situação de sobrevivência,local result = World:getPlayerTotal(alive)
20018,Mundo,getAllPlayers,World:getAllPlayers(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number number, array:table player uin array",Obtenha todos os jogadores. Pode controlar sua situação de sobrevivência,"local aliveType = -1 --Get all players data
local ret, num, array = World:getAllPlayers(aliveType)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20019,Mundo,randomOnePlayer,World:randomOnePlayer(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, uin:number",Jogador Aleatório,"local aliveType = 1 --Any survivors Id
local ret, playerId = World:randomOnePlayer(aliveType)
if ret == ErrorCode.OK then print('Player ===>> ', playerId) end"
20020,Mundo,despawnActor,World:despawnActor(objid),objid:number,ErrorCode.OK,Remover ator,"local ret, num, array = World:getActorsByBox(aType, x1,y1,z1, x2,y2,z2)
if array and #array>0 then --Remove Actor
        local result = World:despawnActor(array[#array])
        if result == ErrorCode.OK then print('Despawn the last actor') end
end"
20021,Mundo,spawnCreature,"World:spawnCreature(x, y, z, actorid, num)","x|y|z:number, mobid:number, num:number","ErrorCdoe.OK, objids:tableobjid array","Gere criatura (incluindo monstro, NPC, animais, etc.)","local x, y, z = 6, 7, 8
local actorId, actorCnt = 3812, 2 --Little cow
local ret, objids = World:spawnCreature(x, y, z, actorId, actorCnt)
if objids and #objids>0 then
        for idx = 1, #objIds do --Set the Oxygen dependence
                Creature:setOxygenNeed(objids[idx], true)
        end 
end"
20022,Mundo,despawnCreature,World:despawnCreature(objid),objid:number,ErrorCode.OK,Remover Criatura,"local result = World:despawnCreature(objids[1])
if result == ErrorCode.OK then print('Despawn the creature') end"
