ID,名字,描述,追踪
ID,Name,Desc,TrackDesc
1000,,,
1001,,,
1002,,,
1003,,,
1004,,,
1005,,,
1006,,,
1007,,,
1008,,,
1009,,,
1010,,,
1011,,,
1012,,,
1013,,,
1014,,,
1015,,,
1016,,,
1017,,,
1018,,,
1022,,,
1023,,,
1024,Matador de dragão,Derrote o antigo dragão negro na estrela flamejante@1,Derrotar o Dragão Negro Ancião
1025,,,
1026,,,
1027,,,
1028,,,
1029,,,
1030,,,
1031,,,
1032,,,
1033,,,
1034,,,
1035,,,
1036,,,
1037,,,
1038,,,
1039,,,
1040,,,
1041,,,
1042,,,
1043,,,
1044,,,
1045,,,
1046,,,
1047,,,
1048,,,
1049,Cultivador de Porco,"Use grama/carne ou banquete de pepino para alimentar dois porcos ao lado do palheiro, faça-o criar porquinhos para atingir 200@1",Reproduza#cfa7a0f Porco
1050,Rebanho de vacas,"Use grama/carne ou banquete de pepino para alimentar duas vacas ao lado do palheiro, faça-as criar vacas pequenas para atingir 200@1",Reproduza#cfa7a0f vaca
1051,Baa!,"Use grama/carne ou banquete de pepino para alimentar duas ovelhas ao lado do palheiro, faça-o criar ovelhinhas para atingir 200@1",Reproduza#cfa7a0f ovelha
1052,Invocar Pequena Galinha,"Use alimentação de grama para alimentar duas galinhas próximas ao galinheiro, faça-o criar pequenas galinhas para atingir 200@1",Reproduza#cfa7a0fgalinhas
1053,Base de criação em larga escala,Complete os pré-requisitos após conclua automaticamente as tarefas,Conclua as #cfa7a0f conquistas da série de animais reprodutores
1054,,,
1055,,,
1056,,,
1057,,,
1058,,,
1059,,,
1060,,,
1061,,,
1062,,,
1063,,,
1064,,,
1065,,,
1066,,,
1067,,,
1068,,,
1069,,,
1070,,,
1071,,,
1072,,,
1073,,,
1074,,,
1075,,,
1076,Mestre do Encantamento,@Null@,Completar todas conquistas de encantamento
1077,,,
1078,O inimigo do caçador,@Null@,Derrotar Goblins Selvagens
1079,Inimigo do Centro da Terra,Derrotar 100 Apóstolos do Vazio@1,Derrotar#cfa7a0f Apóstolos do Vazio
1080,Inimigo comum dos selvagens,@Null@,Atacar Selvagens
1081,Ovo explosivo,@Null@,Derrotar Ovo Explosivo
1082,Conhecido como Deus,@Null@,Completar tudo #cfa7a0f  derrotar as conquistas da série de monstros Miras
1083,Minerador Dedicado (I),Faça 100 #L#cfa7a0fpicareta de mineração de pedra#n@1#r (picareta de mineração de pedra pode coletar Mithril),Fazer picareta de mineração de pedra
1084,Minerador Dedicado (II),Faça 100 #L#cfa7a0fpicareta de Mithril#n@1#r (picareta de Mithril pode coletar mina avançada),Fazer #cfa7a0fpicareta de Mithril
1085,Minerador Dedicado (III),Faça 20 #L#cfa7a0fbrocas#n@1#r (broca pode coletar mina),Fazer #cfa7a0fbroca
1086,Vidro (I),Fundir 10 #L#cfa7a0fblocos de vidro#n@1,Fundir #cfa7a0fvidro
1087,Vidro (II),Fundir 500 #L#cfa7a0fblocos de vidro#n@1,Fundir #cfa7a0fvidro
1088,Vidro (III),Fundir 2000 #L#cfa7a0fblocos de vidro#n@1,Fundir #cfa7a0fvidro
1089,Coletar Mithril (I),Fundir 10 #L#cfa7a0fMithril#n@1,Fundir #cfa7a0fMithril
1090,Coletar Mithril (II),Fundir 100 #L#cfa7a0fMithril#n@1,Fundir #cfa7a0Mithril
1091,Coletar Mithril (III),Fundir 300 #L#cfa7a0fMithril#n@1,Fundir #cfa7a0fMithril
1092,Mina de ouro de tungstênio (I),Minerar 10 #L#cfa7a0fMina de ouro de tungstênio,Minerar #cfa7a0fMina de ouro de tungstênio
1093,Mina de Diamante (II),@Null@,Minerar diamantes
1094,Mina de ouro de tungstênio (III),Minerar 200#L#cfa7a0fMina de ouro de tungstênio#n@1,Minerar #cfa7a0fMina de ouro de tungstênio
1095,Treinador Mestre de Lobo (I),Domar 1 lobo com ovo@1,Domar #cfa7a0flobo
1096,Treinador Mestre de Lobo (II),Domar 5 lobos com ovos@1,Domar #cfa7a0flobo
1097,Treinador Mestre de Lobo (III),Domar 20 lobo com ovos@1,Domar #cfa7a0flobo
1098,Chama (I),Fundir 10 #L#cfa7a0fchama#n@1,Fundir #cfa7a0fchama
1099,Chama (II),Fundir 100 #L#cfa7a0fchamas#n@1,Fundir #cfa7a0fchama
