ID,名字,类别名,描述
ID,Name,TypeName,Desc
10001,Localização convertida em região,General,"Uma região de tamanho (|@2|, |@3|, |@4|) centrada em |@1"
10002,Deslocamento da região,General,@1| move-se nas coordenadas axis（|@2|，|@3|，|@4|）
10003,Expandir Região,General,"Engrandecer a coordenada |@1| com X|@2|, Y|@3|, Z|@4| blocos"
10005,Local de coordenadas especificado,General,Posicao do X|@1|Y|@2|Z|@3
10006,Deslocamento Localização (alterações da localização original),General,@1| move-se nas coordenadas axis（|@2|，|@3|，|@4|）
10007,Localização central da região,General,@1|'s localização central
10008,Localização aleatória da região,General,@1|'s localização aleatoria
10009,Tempo Cronometro,General,@1|'s tempo
10010,Comprimento do raio da direção atribuída,General,"Desde |@1|, projetar |@3| Molduras relâmpago para |@2|. O comprimento do feixe que retorna do bloco impeditivo para o ponto inicial"
10011,Concatenação String,General,@1| e |@2
10012,Converter valor em string,General,Converter |@1| em String
10013,Comparação Boolean,General,@1||@2||@3
10014,Comparação de Valor,General,@1||@2||@3
10015,Tipo de bloco atingido por raio,General,"Comece com |@1|, projeto |@3| raio de grades para |@2|, mostre o tipo do bloco p/parar o raio"
10016,Diante de coordenadas de três eixos,General,"@1| está enfrentando X|@2|, Y|@3|, Z|@4"
10017,De frente para coordenadas esféricas,General,"@1| está voltado para o ângulo de azimute|@2|, elevação|@3"
10018,Selecionar jogador,General,Selecione |@1
10019,Selecionar criatura,General,Selecione |@1
10020,Selecionar projétil,General,Selecione |@1
10021,Selecionar drops,General,Selecione |@1
10022,Tom se transforma em número,General,@1| vira número
10023,Comparação String Caracteres,General,@1||@2||@3
10024,Deslocamento Localização (localização original sem alterações),General,@1| move-se nas coordenadas axis（|@2|，|@3|，|@4|）
10025,Valor Booleano,General,|@1
10026,Valor,General,|@1
10027,String Carácter,General,|@1
10028,Tipo de Aparência,General,|@1
10029,Grupo booleano,General,|@1
10030,Grupo de números,General,|@1
10031,Grupo de cordas,General,|@1
10032,Obter contagem de valor de um grupo,General,Obter contagem de valor em |@1
10033,Obter contagem de valor de um valor em um grupo,General,Obter contagem de valor em |@2| em |@1
