iD,巴西葡萄牙语,巴西葡萄牙语
ID,Name,AttrDesc
5,Ataque voador,Um ataque corpo a corpo lançará o alvo no ar de 4 blocos.
5,Ataque voador,Um ataque corpo a corpo lançará o alvo no ar de 4 blocos.
5,Ataque voador,Um ataque corpo a corpo lançará o alvo no ar de 4 blocos.
5,Ataque voador,Um ataque corpo a corpo lançará o alvo no ar de 4 blocos.
5,Ataque voador,Um ataque corpo a corpo lançará o alvo no ar de 4 blocos.
6,Afiado,Dano de ataque corpo a corpo +5
6,Afiado,Dano de ataque corpo a corpo +10
6,Afiado,Dano de ataque corpo a corpo +16
6,Afiado,Dano de ataque corpo a corpo +24
6,Afiado,Dano de ataque corpo a corpo +35
7,Caçador de humanos,Dano de ataque corpo a corpo contra humanos +8
7,Caçador de humanos,Dano de ataque corpo a corpo contra humanos +16
7,Caçador de humanos,Dano de ataque corpo a corpo contra humanos +25
7,Caçador de humanos,Dano de ataque corpo a corpo contra humanos +40
7,Caçador de humanos,Dano de ataque corpo a corpo contra humanos +60
8,Caçador de animais,Dano de ataque corpo a corpo contra animais +8
8,Caçador de animais,Dano de ataque corpo a corpo contra animais +16
8,Caçador de animais,Dano de ataque corpo a corpo contra animais +25
8,Caçador de animais,Dano de ataque corpo a corpo contra animais +40
8,Caçador de animais,Dano de ataque corpo a corpo contra animais +60
9,Caçador de demônios,Dano de ataque corpo a corpo contra os Arqueiros de Enxofre e Monstros de Magma +8
9,Caçador de demônios,Dano de ataque corpo a corpo contra os Arqueiros de Enxofre e Monstros de Magma +16
9,Caçador de demônios,Dano de ataque corpo a corpo contra os Arqueiros de Enxofre e Monstros de Magma +25
9,Caçador de demônios,Dano de ataque corpo a corpo contra os Arqueiros de Enxofre e Monstros de Magma +40
9,Caçador de demônios,Dano de ataque corpo a corpo contra os Arqueiros de Enxofre e Monstros de Magma +60
29,Caçador de selvagens,Dano de ataque corpo a corpo contra todos os selvagens +8
29,Caçador de selvagens,Dano de ataque corpo a corpo contra todos os selvagens +16
29,Caçador de selvagens,Dano de ataque corpo a corpo contra todos os selvagens +25
29,Caçador de selvagens,Dano de ataque corpo a corpo contra todos os selvagens +40
29,Caçador de selvagens,Dano de ataque corpo a corpo contra todos os selvagens +60
10,Acender,O ataque irá causar danos de fogo durante 3s com 5 de dano por segundo.
10,Acender,O ataque irá causar danos de fogo durante 3s com 10 de dano por segundo.
10,Acender,O ataque irá causar danos de fogo durante 3s com 15 de dano por segundo.
10,Acender,O ataque irá causar danos de fogo durante 3s com 20 de dano por segundo.
10,Acender,O ataque irá causar danos de fogo durante 3s com 25 de dano por segundo.
11,Repelir,Este ataque repelirá o alvo até uma distância adicional de 2.
11,Repelir,Este ataque repelirá o alvo até uma distância adicional de 4.
11,Repelir,Este ataque repelirá o alvo até uma distância adicional de 6.
11,Repelir,Este ataque repelirá o alvo até uma distância adicional de 8.
11,Repelir,Este ataque repelirá o alvo até uma distância adicional de 10.
12,Caça da sorte,Possui 20% de chances de obter drops em dobro ao derrotar criaturas.
12,Caça da sorte,Possui 20%/15% de chances de obter drops em dobro/triplo ao derrotar criaturas.
12,Caça da sorte,Aumenta o ataque do arco e flecha em 25%
13,Tiro poderoso,Danos de arco e flechas aumentam 25%
13,Tiro poderoso,Danos de arco e flechas aumentam 50%
13,Tiro poderoso,Danos de arco e flechas aumentam 75%
13,Tiro poderoso,Danos de arco e flechas aumentam 100%
13,Tiro poderoso,Danos de arco e flechas aumentam 125%
14,Tiro ilimitado,Não gastará flechas ao atirar com arco. Cada tiro consumirá 5 pontos de durabilidade.
14,Tiro ilimitado,Não gastará flechas ao atirar com arco. Cada tiro consumirá 4 ponto de durabilidade.
14,Tiro ilimitado,Não gastará flechas ao atirar com arco. Cada tiro consumirá 3 ponto de durabilidade.
14,Tiro ilimitado,Não gastará flechas ao atirar com arco. Cada tiro consumirá 2 ponto de durabilidade.
14,Tiro ilimitado,Não gastará flechas ao atirar com arco. Cada tiro consumirá 1 ponto de durabilidade.
15,Durabilidade,Aumenta a durabilidade dos itens em 40%
15,Durabilidade,Aumenta a durabilidade dos itens em 80%
15,Durabilidade,Aumenta a durabilidade dos itens em 160%
15,Durabilidade,Aumenta a durabilidade dos itens em 240%
15,Durabilidade,Aumenta a durabilidade dos itens em 320%
16,Resistência corpo a corpo,Resistência corpo a corpo +1
16,Resistência corpo a corpo,Resistência corpo a corpo +3
16,Resistência corpo a corpo,Resistência corpo a corpo +5
16,Resistência corpo a corpo,Resistência corpo a corpo +9
16,Resistência corpo a corpo,Resistência corpo a corpo +15
17,Resistência à longa distância,Resistência à distância +1
17,Resistência à longa distância,Resistência à distância +3
17,Resistência à longa distância,Resistência à distância +5
17,Resistência à longa distância,Resistência à distância +9
17,Resistência à longa distância,Resistência à distância +15
18,Resistência contra explosão,Resistência à explosão +1
18,Resistência contra explosão,Resistência à explosão +3
18,Resistência contra explosão,Resistência à explosão +5
18,Resistência contra explosão,Resistência à explosão +9
18,Resistência contra explosão,Resistência à explosão +15
19,Resistência à incêndios,Resistência ao fogo +1
19,Resistência à incêndios,Resistência ao fogo +3
19,Resistência à incêndios,Resistência ao fogo +5
19,Resistência à incêndios,Resistência ao fogo +9
19,Resistência à incêndios,Resistência ao fogo +15
20,Resistência à veneno,Resistência ao veneno +1
20,Resistência à veneno,Resistência ao veneno +3
20,Resistência à veneno,Resistência ao veneno +5
20,Resistência à veneno,Resistência ao veneno +9
20,Resistência à veneno,Resistência ao veneno +15
21,Resistência contra caos,Resistência ao caos +1
21,Resistência contra caos,Resistência ao caos +3
21,Resistência contra caos,Resistência ao caos +5
21,Resistência contra caos,Resistência ao caos +9
21,Resistência contra caos,Resistência ao caos +15
22,Contra-ataque,Oferece 50% de chances de causar 5 pontos de danos durante ataque corpo a corpo.
22,Contra-ataque,Oferece 50% de chances de causar 10 pontos de danos durante ataque corpo a corpo.
