id编号,标题,内容,作者,是否匿名
Id,Title,Context,Author,ShouldAnonymity
1,Filho de peixe,"Filho de peixe, peixinho é",,
2,O pintinho e a mãe,"O que o pintinho falou para a mãe dele?
R.: Oi, mãe!",,
3,Cachorros e prédios,"Que raça de cachorro pula mais alto que um prédio?
R.: Qualquer uma, porque prédio não pula.",,
4,Problema de comunicação,"Por que o pão não entende a batata?
R.: Porque o pão é francês e a batata é inglesa",,
5,Vamos nadar,"Sabe por que o rapaz jogou o computador no mar?
R.: Para ele navegar na internet!",,
6,De volta para o futuro,"Três amigos estão conversando e um deles diz:
- Eu tenho uma piada sobre viagem no tempo, mas não vou contar.
- Por que não?, o outro pergunta.
- Porque vocês não gostaram!",,
7,Fujão!,"No zoológico, um canguru vivia fugindo do cercado. Os tratadores sabiam que ele pulava alto e construíram uma cerca de 3 metros. Não adiantou, porque o canguru sempre fugia. Então, ergueram uma cerca de 6 metros. E ele saiu de novo.
Quando a cerca já estava com 12 metros, o camelo do cercado vizinho perguntou ao canguru:
- Até que altura você acha que eles vão?
O canguru respondeu:
- Mais de 300, a menos que alguém tranque o portão à noite.",,
8,Trollei!,"Na manhã de seu aniversário, uma mulher disse ao marido:
- Sonhei que você me dava um colar de diamantes. O que acha que isso significa?
- Talvez você descubra hoje à noite, respondeu ele.
Naquela noite, o homem chegou em casa com um pequeno pacote e o entregou à mulher. Ela rasgou o papel de embrulho, ansiosa, e encontrou um livro: O significado dos sonhos.",,
9,Traz o xampu!,"Manuel está tomando banho e grita para Maria lhe levar um xampu. Ela leva, mas logo em seguida, o homem grita novamente:
- Ô Maria, me traz outro xampu.
- Mas eu já te dei um agorinha!
- É que aqui está dizendo que é para cabelos secos, e eu já molhei os meus.",,
10,Ver e sentir,"O que os olhos não veem, o coração não sente",,
11,Ditado,"Um dia é da caça, outro do caçador",,
12,Ditado,Não adianta chorar pelo leite derramado,,
13,Ditado,Não existe rosa sem espinho,,
14,Ser feliz,"Obrigado... por até aqui ter me esperado... foram dias de muito trabalho, com muito problemas e dificuldades, mas estou aqui... pronto pra você. Vamos ser felizes para todo o sempre.",OsmarAneto,
15,Pessoa mais fofa,"Quem é a pessoa mais fofa do mundo?....Você sabe?
Hmmm... a resposta é a pessoa que está lendo esta carta.Você é tão fofo, então sorria para ficar ainda mais fofo!",Arendona,
16,Esperança,"Desejo saúde, sorte e felicidade a todos os jogadores de MWC e aos seus desenvolvedores.",NAGATO♡,
17,Quiz,"Sou alto quando sou jovem, e baixo quando sou velho. O que eu sou?
Resposta: Uma vela",Raspberry☂,
18,Quiz,"O que tem mãos e um rosto, mas não consegue segurar nada ou sorrir?
Responda: Um relógio",Raspberry☂,
19,,"Concentre-se no que está buscando, não no que está deixando para trás.",Kayky Gameplay YT,
20,,No matagal...,Eragon,
21,Eu e Mini World,"Mini World, um jogo que marcou muito minha vida. Comecei a jogar triste, parei de jogar quando tava triste e voltei a jogar de novo porque estava triste. Conheci o jogo em 2019 através de uma antiga amiga minha, a gente queria jogar Minecraft mas nós não podiamos comprar e tava difícil achar pirateado, então ela me mostrou o Mini World. De começo eu subestimei o jogo porque ele era ""cópia de Minecraft"" e tals, mas depois eu me apaixonei pelo jogo. Desde então comecei a jogar e depois não ""parei"", acabei meio que crescendo com o Mini World, e, vejo o quanto esse jogo participou da minha vida, tive muitos momentos bons e ruins jogando, ganhei e perdi amigos, destrui 3 casais, crianças me infernizaram e eu infernizei muitas crianças, perdi e criei um monte de mapa importante, fiz e participei de intrigas, já fui muito injustiçado por esse jogo, vi umas coisas bem pesadinhas e talvez até um crime acontecendo nesse jogo, mas não é nada que anule as coisas boas que já passei nele. Provável que meu texto seja barrado por ser muito longo, mas bem, no fim só quero dizer que tenho um grande carinho pelo Mini World, é um jogo que ocupou meu coração e eu espero que ele seja importante pra mais pessoas igual foi importante pra mim <3",Βuu,
22,Que número é?,"Não sou ímpar sou maior que 90 ,não sou maior que 100. Se vc me subtrair de 100  fica sem nada . Que número sou ?",sukinha ediwina Avent,
23,Piada,"Porque o ""Q"" precisa do (ue) se ""Q"" ja é que",☆Yuki★,
24,Quero piada,Alguém pode me contar uma piada?,bebercoco,
25,Patinhos,"O que o pato disse para a pata?
R.: Vem Quá!",,
26,Alô?,"Porque o menino estava falando ao telefone deitado?
R.: Para não cair a ligação.",,
27,Fumiga,"Duas formigas se encontraram e pararam para conversar:
- Oi, qual é o seu nome?
- Fu.
- Fu o quê?
- Fu Miga!
",,
28,A benção!,"Qual é o alimento mais sagrado que existe?
R.: O amém doím.",,
29,Álcool,"O que um álcool disse para outro álcool?
R.: Etanois!",,
30,Pulou!,"O que é uma pulga do lado de uma letra A?
R.: Um A saltante.",,
31,Frangos,"O que o advogado do frango foi fazer na delegacia?
R.: Foi soltar a franga!",,
32,Piadas matemáticas,"Um triângulo estava voando e o outro não. Por quê?
R.: Porque um deles era uma asa delta.",,
33,Meta de relacionamento,"Dois amigos estão conversando e um deles diz:
- Minha namorada me trata como Deus.
- O que ela faz?
- Ela ignora a minha existência e só fala comigo quando precisa de alguma coisa.",,
34,E decolou...,"Duas vacas estão pastando, quando uma pergunta:
- Você não tem medo de pegar a doença da vaca louca?
- Por que teria? Eu sou um helicóptero.",,
35,É o meu número,"O que o zero disse para o oito?
R.: Belo cinto!",,
36,Sabedoria,"Um homem chega ao médico e fala:
- Doutor, eu acho que quebrei meu braço em dois lugares. O que devo fazer?
- Parar de ir a esses dois lugares.",,
37,Uma fria,"Onde os ursos polares guardam o seu dinheiro?
R.: Em um banco de neve.",,
38,De outro mundo,"O que pediu o astronauta claustrofóbico?
R.: Um pouco de espaço.",,
39,Mentiroso,"Joãozinho entra correndo na cozinha e fala:
- Mamãe, acredita que me chamaram de mentiroso na escola?
A mãe olha para o menino e diz surpresa:
- Fica quieto, menino. Você ainda nem está na escola!",,
40,Ditado,Para cada problema há uma solução.,,
41,Ditado,"Quanto mais você sabe, mais você pode.",,
42,Número da sorte,Meu número da sorte é o 8!,,
43,Na Sexta,O que você faz na Sexta?,,
44,Companheirismo,Eu quero ficar com você pra sempre.,,
45,À que hora?,Eu me levanto às seis todo dia.,,
46,Um belo cumprimento,Tenha um bom dia/uma boa noite.,,
47,Ditado,Pense grande. Não há limites para suas realizações.,,
48,Ditado,"Se você quiser voar alto, é melhor aquecer as asas...",,
49,Seguir,Siga me como eu sigo a Ele.,,
50,Brinquedos,Todos os brinquedos dele eram feitos à mão.,,
51,Vestido,"Se eu fosse você, eu usaria o vestido mais bonito esta noite!",,
52,,Ponha um pouco de trigo para salvar o bolo!,,
53,,Junte sua motivação aos nossos recursos.,,
54,Melhor amigo,Meu irmão é meu melhor amigo também.,,
55,Ditado,A vida sempre te oferece todo dia uma nova chance. Isso se chama amanhecer.,,
56,Ditado,"Se há algo que eu quero aprender, é tocar violino!",,
57,,Nós adorávamos ver o pôr do sol quando estávamos na praia.,,
58,Ditado,Caminhar é um bom exercício pra se exercitar e respirar um pouco de ar fresco.,,
59,Ditado,Cada dia traz novas possibilidades.,,
60,Salvação,"O condenado à morte esperava a hora da execução, quando chegou o padre:
- Meu filho, vim trazer a palavra de Deus para você.
- Perda de tempo, seu padre. Daqui a pouco vou falar com Ele pessoalmente. Algum recado?",,
61,Aquela do leite,"Dois litros de leite atravessaram a rua e foram atropelados. Um morreu, o outro não. Por quê?
R.: Porque um deles era leite longa vida!",,
62,Onde mora,Você gosta de onde você mora?,,
63,Um belo cumprimento,Estou feliz que você recebeu minha mensagem e desejo-lhe tudo de bom.,,
64,Métodos melhores,Deve haver outros métodos melhores...,,
65,Tempo melhor,Não há tempo melhor do que o presente.,,
66,Chorar sobre o leite,Não adianta chorar sobre o leite derramado.,,
67,História,É uma longa história. ..,,
68,Língua estrangeira,"Se pudesse falar qualquer língua, qual você escolheria?",,
69,Ditado,Cada dia traz seus próprios desafios.,,
70,No meio do caminho,"No meio do caminho tinha uma pedra
Tinha uma pedra no meio do caminho
Tinha uma pedra
No meio do caminho tinha uma pedra

Nunca me esquecerei desse acontecimento
Na vida de minhas retinas tão fatigadas
Nunca me esquecerei que no meio do caminho
Tinha uma pedra
Tinha uma pedra no meio do caminho
No meio do caminho tinha uma pedra.

——Carlos Drummond de Andrade",,
71,A Fermosura desta fresca serra,"A fermosura desta fresca serra
E a sombra dos verdes castanheiros,
O manso caminhar destes ribeiros,
Donde toda a tristeza se desterra;

O rouco som do mar, a estranha terra,
O esconder do Sol pelos outeiros,
O recolher dos gados derradeiros,
Das nuvens pelo ar a branda guerra;

Enfim, tudo o que a rara natureza
Com tanta variedade nos ofrece,
Me está, se não te vejo, magoando.

Sem ti, tudo me enoja e me aborrece;
Sem ti, perpetuamente estou passando,
Nas mores alegrias, mor tristeza.

 ——Luís Vaz de Camões ",,
72,A FLOR E A NÁUSEA,"Uma flor nasceu na rua! 
Passem de longe, bondes, ônibus, rio de aço do tráfego. 
Uma flor ainda desbotada 
ilude a polícia, rompe o asfalto. 
Façam completo silêncio, paralisem os negócios, 
garanto que uma flor nasceu.

Sua cor não se percebe. 
Suas pétalas não se abrem. 
Seu nome não está nos livros. 
É feia. Mas é realmente uma flor. 

——Carlos Drummond de Andrade",,
73,A maior bênção,"A maior bênção não é aquela que cai dos céus e nos é dada, mas é a felicidade que cada um de nós é capaz de gerar para si próprio.",,
74,Teste para nós,"Há muitas coisas que nos dão nesta vida por razões erradas. Mas o que fazemos com estas bênçãos, é um verdadeiro teste para nós.",,
75,Coragem,Tenha coragem e ousadia para ir atrás dos seus sonhos.,,
76,Como ser feliz,Para sermos felizes só precisamos de uma vida simples e um pouco de amor.,,
77,Dias cinzentos,Não há dias cinzentos para quem sonha colorido.,,
78,Ditado,"Viva simples, sonhe grande, seja grato e ria muito.",,
79,Alegrias duplicadas,Que hoje as esperanças sejam renovadas e as alegrias duplicadas.,,
80,Literatura brasileira,"“Cada qual sabe amar a seu modo; o modo pouco importa; o essencial é que saiba amar”
—— Machado de Assis",,
81,Literatura brasileira," “A única pessoa livre é aquela que não tem medo do ridículo.”
– Luiz Fernando Veríssimo",,
82,Literatura brasileira,"“Quando nada acontece, há um milagre que não estamos vendo.”
– João Guimarães Rosa",,
83,Literatura brasileira,"“A preguiça é a mãe do progresso. Se o homem não tivesse preguiça de caminhar, não teria inventado a roda.”
– Mario Quintana",,
84,Literatura brasileira,"“Quem tentar possuir uma flor, verá sua beleza murchando. Mas quem apenas olhar uma flor num campo, permanecerá para sempre com ela. Você nunca será minha e por isso terei você para sempre.”
– Paulo Coelho",,
85,Literatura brasileira,"Se a única coisa que de o homem terá certeza é a morte; a única certeza do brasileiro é o carnaval no próximo ano.
– Graciliano Ramos",,
86,Literatura brasileira,"“O sucesso nasce do querer, da determinação e persistência em se chegar a um objetivo. Mesmo não atingindo o alvo, quem busca e vence obstáculos, no mínimo fará coisas admiráveis.”
– José de Alencar",,
87,Literatura brasileira,"“Maravilhas nunca faltaram ao mundo; o que sempre falta é a capacidade de senti-las e admirá-las.”
– Mario Quintana",,
88,Literatura brasileira,"“Faço tudo que me dá na cabeça, não quero saber de limitações. Eu não pequei contra a luxúria. Quem peca é aquele que não faz o que foi criado para fazer.”
– João Ubaldo Ribeiro",,
89,Literatura brasileira,"“A beleza não está nem na luz da manhã nem na sombra da noite, está no crepúsculo, nesse meio tom, nessa incerteza.”
– Lygia Fagundes Telles",,
90,Literatura brasileira,"“Pensar é um dos atos mais eróticos na vida de uma pessoa.”
– Nélida Piñon",,
91,Literatura brasileira,"“Se chove, tenho saudades do sol, se faz calor, tenho saudades da chuva.”
– José Lins do Rego",,
92,Literatura brasileira,"“O Amor é uma árvore ampla e rica, de frutos de ouro, e de embriaguez; infelizmente frutifica apenas uma vez.”
– Olavo Bilac",,
