ID,名字,描述
ID,Name,Desc
1,Cumprimentar,Acene e diga olá
2,Duvidar,"Pequenos cérebros, grandes dúvidas"
3,Chorar,Cubra seu rosto e chore
4,Irritado,Pisando com raiva
5,Esticar,"Um pouco sonolento, um trecho preguiçoso"
6,Alegre,Parece feliz
7,Agradecido,Curve-se sinceramente
8,Lazer,Olhe ao redor e relaxe
9,Cair,Cai no chão de repente
10,Pose,Coloque em uma bonita pose de assinatura
11,Ação exclusiva,Ação exclusiva Fluttershy
12,Ação exclusiva,Ação exclusiva da princesa Luna
13,Ação exclusiva,Ação exclusiva da Pinkie Pie
14,Ação exclusiva,Ação Exclusiva Starlight Glimmer
15,Ação exclusiva,Ações exclusivas do Rainbow Dash
16,Ação exclusiva,Ação Exclusiva Princesa Cadence
17,Ação exclusiva,Ação Exclusiva Flower Dewie
18,Ação exclusiva,Ação exclusiva da Princesa Frost
19,Ação exclusiva,Ação exclusiva de Rory
20,Interação de teste 1,A ação interativa de Sakura e Lightning
21,Interação de teste 2,A ação interativa de Sakura e Sakura
22,Interação de teste 3,Ações interativas comuns para Sakura
23,Soaring Warbler-Ar Marsall,Tocar Harpa
24,Toutinegra Voadora - Novato,Gira e dança
25,Mostrar espírito marcial,Ação exclusiva de Tang San
26,Mostrar espírito marcial,Ação exclusiva de Xiao Wu
27,Mostrar espírito marcial,Ação exclusiva de Bi Bidong
28,Liberte habilidades da alma,Ação exclusiva de Oscar
29,Mostrar espírito marcial,Ação exclusiva de Ma Hongjun
30,Liberte habilidades da alma,Ação exclusiva de Dai Mubai
31,Mostrar espírito marcial,Zhu Zhuqing ação exclusiva
32,Mostrar poder espiritual,Ning Rongrong ação exclusiva
33,Mostrar poder espiritual,Zhu Zhuqing ação exclusiva
34,Mostrar poder espiritual,Ação exclusiva de Ning Rongrong
