NpcID（直接用生物id）,巴西葡萄牙语
NpcID,Name
39201,Comerciante misterioso 1
39205,Comerciante misterioso 5
39206,Comerciante agrícola
3879,Árvore de desejos
3880,Árvore de desejos
39209,Loja do jardim
39210,Fruta caseira do jardim
39211,Fruta caseira do jardim
39212,Fruta caseira do jardim
39213,Fruta caseira do jardim
39214,Fruta caseira do jardim
39215,Loteria de animais de estimação
39216,Aventura de animais de estimação
39217,Arquivo doméstico
39218,Comerciante de Rancho
39219,Artesão doméstico
39220,Cozinheira do lar 
