ID,名字,描述,获得方式
ID,Name,Desc,GetWay
0,Ar,Você não pode me ver.,@Null@
1,Pedra de Flamas,"Localizado no centro mais profundo da terra, é super resistente e não pode ser rompido",
2,Cubo Funcional,Cubo mágico com poder desconhecido.,@Null@
3,Água Estática,Cubo de água estática,@Null@
4,Água dinâmica,Água fluida,
5,Magma Estática,"Bloco de magma estático, cuidado, está quente!",
6,Magma dinâmico,"Bloco de magma fluido, cuidado, está quente e você vai se machucar!",
7,Efeito de teletransporte,Parece ser um cubo mágico.,@Null@
8,Tijolo esculpido,Blocos de construção em relevo com uma textura dura,
9,Bloco de Movimento acelerad,A pessoa que cruzar esta praça receberá um empurrão inexplicável,
10,Bloco de celesthium,"Depois de colocar para baixo, pode fornecer sinal #c0aba1dsinal de energia estelar#n.",
11,Mel estático,Mel estático,@Null@
12,Mel dinâmico,Mel fluido,
13,Areia movediça estática,"O ""rio"" de areia fina é perigoso!",
14,Areia movediça,"O ""rio"" de areia fina é perigoso!",
15,Pedra maldita,O que acontece quando você toca a #c0aba1dareia movediça#n de uma rocha que emite uma aura sinistra? Uma maldição de derramamento de sangue quando você escava!,A fachada das ruínas subterrâneas
16,Pedra maldita ativada,O que acontece quando você toca a #c0aba1dareia movediça#n de uma rocha que emite uma aura sinistra? Uma maldição de derramamento de sangue quando você escava!,A parede externa das ruínas subterraneas.
17,Toxicidade estática,"Líquidos que emitem um cheiro perigoso, ficam o mais longe possível",
18,Toxicidade dinâmica,"Líquidos que emitem um cheiro perigoso, ficam o mais longe possível",
19,Rocha erodida pelo vento,As rochas do deserto são um pouco frágeis depois de ventos fortes as terem corroído,
20,Ar extraterrestre,Vá baixar a última versão do jogo agora!,
21,Não disponível nesta versão,"Por favor, atualize seu jogo para a versão mais recente!",@Null@
22,Não disponível nesta versão,"Por favor, atualize seu jogo para a versão mais recente!",@Null@
23,Rocha profunda,"A estrutura em cascata, formada ao ser espremida no mar profundo por dezenas de milhares de anos, contém todos os nutrientes necessários às algas do mar profundo, tornando-a ideal para o cultivo de algas em bastão fluorescentes e algas vermelhas",Destruição de rocha profunda para obter
24,Nódulos de manganês,Usado para #c0aba1dfortalecer equipamentos de mergulho#n e fazer @item_1206##n para suportar a alta pressão do mar profundo,"Um mineral produzido pela contínua coalescência do metal de manganês em rochas profundas cumuladas e, portanto, apenas marginalmente produzido no mar profundo, com os nódulos de manganês caindo após a destruição"
25,Recife,"Ideal para o crescimento dos corais, o recife muda de cor à medida que os corais amadurecem",
26,Garrafa de Deriva,"#c0aba1dJogue-o#n na ecologia do oceano e do rio, e a água levará seu desejo para um lugar distante, e talvez um dia seja descoberto em um lugar distante",Coloque o rolo de couro no pequeno cubo de vidro para obtê-lo
27,Garrafas à deriva de longe,"Uma nota selada em uma garrafa flutuante frequentemente contém uma mensagem importante ou um desejo sincero, ou, claro, pode ser o que alguém estava pensando em determinado momento, parecendo que atravessou montanhas e mares e viajou através do tempo... Coloque a garrafa no chão e pegue a nota e leia-a...",Oportunidade de obter pela pesca e exploração do oceano
28,Garrafa de vidro pequena (Bloco),Coloque-o para fora e coloque @item_11806# dentro,
29,Areia amarela,"#c0aba1dFerramenta de pá#n pode ser minerada rapidamente, é a matéria-prima para processar @item_11305#, @item_11305# é frequentemente usado para queimar @item_632#",Comum na #c0aba1d orla #n e #c0aba1d áreas desérticas #n
30,Não disponível nesta versão,"Por favor, atualize seu jogo para a versão mais recente!",@Null@
31,Espigões de Gelo Sólido,Os Espigões de Gelo são bastante #c0aba1dstable#n. Use um capacete quando estiver perto deles!,
32,Espigões de Gelo Flutuante,É bem provável que esses Espigões de Gelo #c0aba1ddrop#n. Use um capacete quando estiver perto deles!,
33,Minério de Núcleo de Gema Comum,Para ser extraído com @item_11013# ou superior,Minérios raros que podem aparecer nas #c0aba1dCavernas da Montanha Nevada#n do Campo de Gelo e no #c0aba1dsubsolo#n da Floresta Tropical.
