ID,名字,描述
ID,Name,Desc
1,Montaria de bebê,Pode dar a luz para uma montaria bebê por um período de tempo no mapa. O bebê pode ser enviado a jogadores de outra sala.
2,Correr,A velocidade de movimento aumenta 30% durante a recarga.
3,Andar sobre as águas,"Caminha rápido sobre as águas, mas não pode pular."
4,Super pulos,Habilidade superior de pulo
5,Planar,Pode voar e planar no ar.
6,Caminhas sobre o Magma,Pode caminhar sobre uma superfície de magma.
7,Carreira,Pressiona na tecla de espaço para acelerar.
9,Montaria Dupla,"Pode carregar duas pessoas, leve seu amigo!"
10,Saltar,"Livre pulando no ar, mas isso vai fazer você cair mais rápido do que nunca."
11,Persistir,Tem mais pontos de vida
12,Nadar,Flutuar na água
13,Mergulhar,Mergulhar na água
14,Torrente,"Pressione o botão de pulo enquanto estiver na água, solte a habilidade de corrida para correr em direção à direção atual"
15,Ataque de robôs,Arranque e ataque para a frente
16,Missil,Dispara mísseis em linha reta
17,Bumblebee Corte,Arrancada por um tempo
18,Agitar,"Pressione o botão de salto e aumente a força. Ao pousar, infligirá debuff de desaceleração à criatura à frente."
19,Intimidar,"Pressione o botão de salto e aumente a força. Ao pousar, ele atingirá a criatura para trás."
20,Flutuar,Flutue no ar e mova-se por uma curta distância. Não perderá HP quando cair.
21,Voar,Voe por uma distância no ar. Não perderá HP quando cair.
22,Montaria Dupla,"Pode carregar duas pessoas, leve seu amigo!"
23,Escudo de Energia,Gera um escudo de energia para proteger você e seus amigos.
24,Montaria Única,Pode transportar um passageiro
25,Alerta Aéreo,Voe por uma distância no ar. Não perderá HP quando cair.
26,Relâmpago Vermelho,Arrancada por um tempo
27,Laser de Fusão,Dispara mísseis em linha reta
28,Fogo do Inferno,"Clique em [Atacar] para disparar chamas, causando um bônus de queima na criatura à sua frente"
29,Fogo Fantasma,"Clique em [Atacar] para disparar chamas, causando um bônus de queima na criatura à sua frente"
30,Asa Flutuante,Mantenha pressionado [Pular] para voar por uma curta distância. Você não perderá HP quando cair
31,Asa Espalhar,Mantenha pressionado [Pular] para voar por uma longa distância. Você não perderá HP quando cair
32,Rugido do Dragão,Clique para rugir. Desacelere a criatura à sua frente
33,Asa Rápida,Pressione longamente Pular para voar por uma curta distância. Não perderá HP ao cair
34,Varrer Osso,"Clique no ataque para sacudir a cauda, causando 3 danos às criaturas na área traseira em forma de leque"
35,Luz das Estrelas,"Atire estrelas para cima para iluminação, CD 15s."
36,Luar,Pressione e segure o salto para voar por uma distância curta. Não perde HP ao cair
37,Rápido,Avance rapido um pouco
38,Montaria Dupla,"Pode carregar duas pessoas, leve seu amigo!"
39,Acima da Neve,Pise na neve e ande no ar. Não perde HP ao cair
40,Carga Tuk Tuk,Permite que você use as buzinas do carro e pisque as luzes dianteiras do carro
41,Grande Colheita,"Quando usar, jogue lingotes e moedas nas redondezas."
42,4 Carruagem de Homem,Pode transportar até 4 jogadores
43,Distorção Espacial,"Pode manter o tempo de vôo para uma distância definida, a queda não causará nenhum dano de queda."
44,Ilha Leviathan,Pode mergulhar na água
45,Força do Touro,"Pressione o botão de salto e aumente a força. Ao pousar, infligirá debuff de desaceleração à criatura à frente."
46,Golpe do Touro,"Pressione o botão de salto e aumente a força. Ao pousar, ele atingirá a criatura para trás."
47,Flor esvoaçante,"Pode planar no ar por uma certa distância, não sofrerá danos ao cair"
48,Cisne Espalhado,"Pode planar no ar por uma certa distância, não sofrerá danos ao cair"
49,Dança da Folha,"Quando usado, ativa o efeito de folhas flutuantes"
50,Roda de Sol,Use para obter um escudo que irá absorver 20 de dano
51,Raio de Deus,Use para aumentar o dano do jogador em 5%
52,Fogos de Artifício Mágicos,"Após carregar, acionar quando pousar após pular, fogos de artifício serão disparados ao redor da montagem e música será reproduzida"
53,Fogos de Artifício Glamourosos,"Após carregar, acionar quando pousar após pular, fogos de artifício serão disparados ao redor da montagem e música será reproduzida"
54,Cobrar,Avançar
55,Retrocesso,Avance e empurre as criaturas à sua frente
56,Flutuar,"Ao usar a montaria, o personagem será suspenso do solo e o efeito sonoro da hélice girando será reproduzido automaticamente ao mesmo tempo."
57,Planador Baixo,"Deslize em baixa altitude por uma curta distância, segurando o botão Pular enquanto cai para evitar se machucar"
58,Planador Elevado,"Deslize em baixa altitude por uma distância maior, segurando o botão Pular enquanto cai para evitar se machucar"
59,Luzes e Penas,Convocar 3 pequenos cisnes fantasmas para nadar ao redor da montaria após o uso
60,Lago de Cisnes,Pode mergulhar na água para nadar
61,Voo Matinal,Pode voar por uma certa distância no ar e não prejudicará a saúde durante a queda
62,Super Onda de Luz,"Ao se mover, ele emitirá automaticamente ondas de luz frias"
63,Raio de Destruição,"Ao se mover, ele emitirá automaticamente uma onda de luz vermelha dourada fria"
64,Onda de Luz Divina,"Ao se mover, ele emitirá automaticamente ondas de luz frias"
65,Raios Purificadores,"Ao se mover, ele emitirá automaticamente ondas de luz roxas prateadas frias"
66,Nuvem Ascendente,Pode flutuar no ar por uma curta distância e não se esgota durante a queda
67,Avanço,Pode voar por uma certa distância no ar e não se esgotará durante a queda
68,Salto Dimensional,Ira aparece a 15 quarteirões de distância na direção apontada após usar a habilidade
69,Redemoinho,"Após o uso, um pequeno tornado seguirá atrás do carro"
70,Bolha Mágica,Muitas bolhas aparecerão ao redor do corpo.
71,Asas Zephyr,Pode voar por uma certa distância no ar e não se esgotará durante a queda
72,Água mágica,Fluxo de água azul aparecerá ao seu redor.
73,Lágrimas milagrosas,Um escudo de energia pode ser formado.
74,Brilho vermelho,Brilho vermelho que gira em torno de você.
75,Viga de ouro,Feijão dourado que gira em torno de você.
76,Brilho Azul,Brilho azul que gira em torno de você.
77,Pétalas caindo,Pequenas pétalas caindo ao seu redor
78,Vibração Borboleta,Borboletas e flores desabrochando ao seu redor
79,Pétalas voadoras,Pétalas e flores rosa voando ao seu redor
80,Zarpar,Toque no botão Pular para acelerar 20% por 10 segundos.
81,Invocação de iniciante,Toque no botão de pular para chamar 1 pequeno gênio que o seguirá.
82,Convocação intermediária,Clique no botão de pular e um deus da lâmpada aparecerá a seguir.
83,Convocação antecipada,Clique no botão de pular e uma lâmpada de pérola aparecerá a seguir.
84,Deus escondido,"Depois de clicar no botão de pular, clique no botão de pular novamente no ar para entrar no estado invisível."
85,Espiritual,Engrenagens douradas aparecerão ao redor do corpo.
86,Relâmpago roxo,Um relâmpago roxo aparecerá ao redor do corpo.
87,Ventania,Pressione e segure o botão de pular para acumular energia e convocar as criaturas na frente do tornado.
88,Vôo Espiral,"Depois de clicar no botão de pular, clique no botão de pular novamente no ar para pairar no céu."
89,Ondas sonoras,Todo o corpo tem um efeito de luz laser.
90,Som eletronico,Com relâmpagos coloridos por toda parte.
91,Ritmo Swing,Pressione o botão de salto para aumentar sua saúde e seus companheiros de equipe dentro de um certo alcance.
92,Superstar chega,Pressione o botão de pular para aumentar a saúde dos aliados em um certo alcance e reduzir a saúde dos monstros no alcance.
93,Flores esvoaçantes,Existem pétalas voando por todo o corpo.
94,Nuvens flutuantes,Pressione o botão de salto para voar uma certa distância no ar.
95,Linglong,Você pode andar sobre a água.
96,Brisa fresca,Pétalas voam ao redor de seu corpo.
97,Ventilador,Pétalas voam ao redor de seu corpo.
98,Balançando,Segure o botão de salto para voar uma certa distância.
99,Êxtase,"Clique no botão de uso para ativar o círculo assustador, e os monstros dentro do círculo cairão atordoados"
100,A Fortuna Acontece,Clique para usar a tecla para soltar os ossos de carne no ar.
101,Chama Azul,Atirando chamas azuis por trás.
102,Chama do Dragão,Chamas alaranjadas cercam o corpo.
103,Canhão Imperador,"Dispara um canhão de energia. Uma vez atingido, o dano será tomado."
104,Dragão pulando,Voe para o céu. Voando livremente no ar.
105,Auspicioso,Manchas douradas e pequenos lingotes cercam o corpo.
106,Tigre Auspicioso,Luzes caindo e moedas com nuvens e névoa cercam o corpo.
107,Salto do Tigre,Salte para frente para acertar com dano.
108,Rugido da montanha,Rugindo para acertar com dano dentro de um certo alcance.
109,Meteoro,Estrelas azuis rosadas cercam o corpo
110,Flor amarela,Flores brancas e fluorescência amarela cercam o corpo
111,Coração Rosa,Corações rosa e fluorescência azul cercam o corpo
112,Pena Voadora,Pressione e segure o botão de salto para voar uma certa distância no ar.
113,Bênção,Saúde aumentada ao receber dano fatal
114,Vento,Folhas de bambu e nuvens cercam o corpo
115,Sombra,As sombras das montanhas e rios cercam o corpo
116,Livre,Aumenta a velocidade de movimento ao receber dano
117,Panorâmico,Clique no botão de uso para causar dano aos monstros à sua frente
118,Sombra de estrela,Cercado por efeitos cintilantes.
119,Esplendor divino,Cercado por luz transformadora.
120,Sonho de adivinhação,Pressione e segure o botão de salto para lançar magia para obter um buff aleatório.
121,Caminho Imperial,A ponta da espada formará uma chama figurativa.
122,Caminho Santo,Cercado por chamas fluindo.
123,Espada voando,Pressione o botão de salto para voar alguma distância no ar.
124,Espada Imperial Dupla,"Você pode andar com seus amigos, e a espada dupla também pode aumentar a velocidade de movimento."
125,Banho de bolhas,Existem bolhas flutuando.
126,Banho de espuma musical,Há bolhas e notas de música voando por aí.
127,Sonambulismo,Pode flutuar na água.
128,Bolha flutuante,Pressione e segure o botão de salto para deixar os monstros ao seu redor serem envoltos em bolhas e flutuar no ar.
129,Agir fofo,O amor está flutuando ao redor do corpo.
130,Sonho flutuante,Todo o corpo será polvilhado com flores vermelhas.
131,Alma de luz,"Depois de clicar no botão de pular, clique no botão de pular novamente no ar para pular em duas etapas."
132,Mil Ilusões,Pressione e segure o botão de salto para fazer os monstros próximos caírem na ilusão de atacar uns aos outros.
133,Apanhador de vento,Há pegadas de gato flutuando por todo o corpo.
134,Areia voadora,Havia grãos de areia flutuando ao redor.
135,Passo de areia,"Depois de cavalgar, pode reduzir os danos das tempestades de areia."
136,Pena,Penas brancas esvoaçavam por todo o corpo.
137,Pena verde,Penas verdes voando ao redor
138,Pinhão,Penas lindas voando ao redor
139,Flutuar,Pressione e segure o botão de salto para voar uma certa distância no ar
140,Espírito de pavão,A visão melhora muito. Você também pode ver o ambiente ao redor no escuro.
141,Areia movediça,Cercado por areia movediça dourada.
142,Fragrância,Flores douradas de osmanthus flutuavam por todo o corpo.
143,Lua flutuante,Pode flutuar na água.
144,Bolo,Pressione e segure o botão de salto para produzir aleatoriamente um alimento.
145,Esquecer,Cercado por lírios rosa do vale e um pouco de luz e sombra
146,Prazer,"Cercado por lírios cor de rosa do vale, manchas de luz e borboletas"
147,Carrilhão de vento,Pressione o botão de salto para voar uma distância no ar.
148,Etéreo,Tem velocidade de movimento super rápida.
149,Deslizar,Haverá folhas de bordo e luz por todo o corpo movendo-se com o vento.
150,Energizar,Pressione longamente o botão de salto para correr para a frente por uma distância.
151,Piloto,"Clique duas vezes na tecla de salto para continuar voando em baixa altitude, mas ela não pode voar na água e na lava. Clique duas vezes na tecla de salto novamente para pousar."
152,Contra-ataque de Porquinho,"Quando submetido a ataques sucessivos, o dano de ataque do inimigo é devolvido ao inimigo."
153,Luz de velas,Há manchas de luz flutuando.
154,Salto,Pressione longamente o botão de salto para economizar energia para pular mais alto.
155,Duro golpe de Coelho,Clique no botão de salto no ar para pousar rapidamente e destruir os blocos no chão.
156,Carinho gentil,"Cercado por estrelas, sombras e pétalas."
157,Onda rosa,"Rodeado por estrelas, pétalas e faixas de luz rosa claro."
158,Viajem na fantasia,Pressione o botão de salto para voar uma distância no ar.
159,Espaço de sonho,Clique no botão Usar em cada uma das duas posições para configurar uma matriz de transporte bidirecional.
160,Flocos de neve caindo,Rodeado por luz azul e pequenos flocos de neve.
161,Campo de gelo,Monstros entrando na área circundante serão desacelerados.
162,Zero absoluto,Pressione longamente o botão de pular para congelar monstros próximos.
163,Super energia,Rodeado por um círculo de luz.
164,Faça um desejo,Cercado por estrelinhas.
165,Surpresa,Pressione longamente o botão de salto para se teletransportar para a frente a uma distância.
166,Assento duplo,Você pode andar com seus amigos.
167,Grunhido,O ponto de iluminação apresenta Pequena Besta Grunhida flutuando.
168,Energia Milagrosa,Pressione e segure a tecla de salto para produzir aleatoriamente o ovo de uma criatura.
169,Batidinha de asas,"Clique duas vezes na tecla de salto para iniciar o vôo sustentado de baixa altitude, mas observe que você não pode voar sobre a água ou lava. Clique duas vezes na tecla de salto novamente para pousar."
170,Aroma de Zongzi,Delicado Zongzi flutuando ao redor.
171,Zarpar,Pode flutuar na água.
172,Pesca marítima,Pressione e segure a tecla de salto na superfície da água para jogar fora Zongzi e pegar uma criatura marinha.
173,Névoa Celestial,Envolto por uma Névoa Celestial que permeia todo o corpo.
174,Vista da montanha,A convocação de montarias pode aumentar a velocidade de escavação.
175,Crescente Lua,Pressione longamente o botão de salto para invocar uma criatura aleatória que atacará ativamente os monstros próximos.
176,Bons sonhos,"Cercado de doces, partículas e amor."
177,Fantasia,"À medida que o valor de vida do jogador diminui, o poder de ataque do jogador aumenta gradualmente."
178,Festa de boneca,Pressionar longamente o botão de salto convoca o Urso Alegre para manter o jogador e a montaria na temperatura corporal correta.
179,,
180,,
181,Melodia da música,Cercado por notas batidas.
182,O som da lua,"Há notas roxas e douradas por toda parte, acompanhadas por estrelas e pela lua ao seu redor."
183,Música feliz,Clique duas vezes no botão de salto para acelerar e restaurar a saúde por um período de tempo.
184,A música das estrelas,Pressione longamente o botão de salto para atordoar os monstros próximos.
185,Folhas de Esmeralda,Cercado de folhas verdes
186,Cobertura Verdejante,Cercado por uma aura de energia verde e adornado com flores e folhas.
187,Bênção da Floresta,Dê um toque duplo no botão de pulo para recuperar HP ao longo do tempo.
188,Ressonância com a Natureza,Dê um toque longo no botão de pulo para causar dano aos inimigos próximos.
189,Luz Maravilhosa,Brilhando por todo o corpo.
190,Bailarina de Seda do Mar,Brilhando com a luz da vida marinha.
191,Barreira de Coral,Toque duplo para escudo de dano
192,Fúria das Marés,Pressione e segure para pular e respingar
193,Lâmpada Koi,Luz emana de todas as suas partes.
194,Dança do Koi e da Lâmpada,Cercada de pequenos Kois e pontos de luz
195,Tela das Bênçãos,Toque 2 vezes o botão de pulo para ativar um escudo capaz de bloquear algum dano.
196,Dança da Prosperidade,Toque e segure o botão de pulo para liberar o poder do Koi e curar certa quantia de HP.
197,Fantasia,Luz emana de todas as suas partes.
198,Dança dos Sonhos Infantis,Cercada de pôneis de contos de fada dançando graciosamente.
199,Galope da Luz Estelar,Toque 2 vezes no botão de pulo para acelerar por um curto tempo.
200,Ressonância da Melodia,"Toque e segure o botão de pulo para liberar a melodia de conto de fadas, fazendo com que os monstros no entorno caiam em um coma temporário."
201,Começando na frente,Coberto com uma nuvem de poeira.
202,Ataque Doce,Arremessa pirulitos em todas as direções.
203,Sombra da Ilusão,Coberto pela sombra de uma panela.
