姓或形容词，显示在前,名，只男角色随机，显示在后,名，只女角色随机，显示在后
Surname,Male,Female
Able,Aaron,Abigail
Active,Abbott,Ada
Adaptable,Abel,Adela
Adroit,Abner,Adelaide
Aggressive,Abraham,Afra
Alert,Adair,Agatha
Ambitious,Adam,Agnes
Amiable,Addison,Alberta
Amicable,Adolph,Alexia
Analytical,Adonis,Alice
Apprehensive,Adrian,Alma
Aspiring,Ahern,Althea
Audacious,Alan,Alva
Capable,Albert,Amanda
Careful,Aldrich,Amelia
Candid,Alexander,Amy
Charitable,Alfred,Anastasia
Competent,Alger,Andrea
Confident,Algernon,Angela
Conscientious,Allen,Ann
Considerate,Alston,Anna
Constructive,Alva,Annabelle
Contemplative,Alvin,Antonia
Cooperative,Alvis,April
Creative,Amos,Arabela
Dashing,Andre,Arlene
Dedicated,Andrew,Astrid
Devoted,Andy,Atalanta
Dependable,Angelo,Athena
Diplomatic,Augus,Audrey
Disciplined,Ansel,Aurora
Discreet,Antony,Barbara
Dutiful,Antoine,Beatrice
Dynamic,Antonio,Belinda
Earnest,Archer,Bella
Well-Educated,Archibald,Belle
Efficient,Aries,Bernice
Energetic,Arlen,Bertha
Enthusiastic,Armand,Beryl
Expressive,Armstrong,Bess
Faithful,Arno,Betsy
Forceful,Arnold,Betty
Frank,Arthur,Beulah
Friendly,Arvin,Beverly
Frugal,Asa,Blanche
Generous,Ashbur,Bblythe
Genteel,Atwood,Bonnie
Gentle,Aubrey,Breenda
Hard-Working,August,Bridget
Hearty,Augustine,Brook
Honest,Avery,Camille
Hospitable,Baird,Candance
Humble,Baldwin,Candice
Humorous,Bancroft,Cara
Impartial,Bard,Carol
Independent,Barlow,Caroline
Industrious,Barnett,Catherine
Ingenious,Baron,Cathy
Initiative,Barret,Cecilia
Intellective,Bartholomew,Charlotte
Intelligent,Bart,Cherry
Inventive,Barton,Cheryl
Just,Bartley,Chloe
Kind-Hearted,Basil,Christine
Knowledgeable,Beacher,Claire
Learned,Beau,Clara
Liberal,Beck,Clementine
Logical,Ben,Constance
Loyal,Benedict,Cora
Methodical,Benjamin,Coral
Modest,Bennett,Cornelia
Motivated,Benson,Crystal
Objective,Berg,Cynthia
Open-Minded,Berger,Daisy
Orderly,Bernard,Dale
Original,Bernie,Dana
Painstaking,Bert,Daphne
Practical,Berton,Darlene
Precise,Bertram,Dawn
Persevering,Bevis,Debby
Punctual,Bill,Deborah
Purposeful,Bing,Deirdre
Qualified,Bishop,Delia
Rational,Blair,Denise
Realistic,Blake,Diana
Reasonable,Blithe,Dinah
Reliable,Bob,Dolores
Responsible,Booth,Dominic
Self-Conscious,Borg,Donna
Selfless,Boris,Dora
Sensible,Bowen,Doreen
Sincere,Boyce,Doris
Smart,Boyd,Dorothy
Spirited,Bradley,Eartha
Sporting,Brady,Eden
Steady,Brandon,Edith
Straightforward,Brian,Edwina
Strict,Broderick,Eileen
Systematic,Brook,Elaine
Strong-Willed,Bruce,Eleanore
Sweet-Tempered,Bruno,Elizabeth
Temperate,Buck,Ella
Tireless,Burgess,Ellen
Optimistic,Burke,Elma
Out-Going,Burnell,Elsa
Well--Educated,Burton,Elsie
Expressivity,Byron,Elva
Attractive,Caesar,Elvira
Brave,Calvin,Emily
Brilliant,Carey,Emma
Caring,Carl,Enid
Clever,Carr,Erica
Cheerful,Carter,Erin
Childish,Cash,Esther
Courageous,Cecil,Ethel
Cultured,Cedric,Eudora
Determined,Chad,Eunice
Easy-Going,Channing,Evangeline
Funny,Chapman,Eve
Happy,Charles,Evelyn
Helpful,Chasel,Faithe
Kind,Chester,Fanny
Nice,Christ,Fay
Obedient,Christian,Flora
Outgoing,Christopher,Florence
Passionate,Clare,Frances
Pessimistic,Clarence,Freda
Polite,Clark,Frederica
Popular,Claude,Gabrielle
Pushy,Clement,Gail
Romantic,Cleveland,Gemma
Sociable,Cliff,Genevieve
Supportive,Clifford,Georgia
Sympathetic,Clyde,Geraldine
Talented,Colbert,Gill
Thoughtful,Colby,Giselle
Timid,Colin,Gladys
Tolerant,Conrad,Gloria
Trustful,Corey,Grace
Porting,Cornelius,Griselda
Beautiful,Cornell,Gustave
Amazing,Craig,Gwendolyn
Handsome,Curitis,Hannah
Cute,Cyril,Harriet
,Dana,Hazel
,Daniel,Heather
,Darcy,Hedda
,Darnell,Hedy
,Darren,Helen
,Dave,Heloise
,David,Hermosa
,Dean,Hilda
,Dempsey,Hilary
,Dennis,Honey
,Derrick,Hulda
,Devin,Ida
,Dick,Ina
,Dominic,Ingrid
,Don,Irene
,Donahue,Iris
,Donald,Irma
,Douglas,Isabel
,Drew,Ivy
,Duke,Jacqueline
,Duncan,Jamie
,Dunn,Jane
,Dwight,Janet
,Dylan,Janice
,Earl,Jean
,Ed,Jennifer
,Eden,Jenny
,Edgar,Jessie
,Edmund,Jessica
,Edison,Jill
,Edward,Jo
,Edwiin,Joa
,Egbert,Joanna
,Eli,Joanne
,Elijah,Jocelyn
,Elliot,Jodie
,Ellis,Josephine
,Elmer,Joy
,Elroy,Joyce
,Elton,Judith
,Elvis,Judy
,Emmanuel,Julia
,Enoch,Julie
,Eric,Juliet
,Ernest,June
,Eugene,Kama
,Evan,Karen
,Everley,Katherine
,Fabian,Kay
,Felix,Kelly
,Ferdinand,Kimberley
,Fitch,Kitty
,Fitzgerald,Kristin
,Ford,Laura
,Francis,Laurel
,Frank,Lauren
,Franklin,Lee
,Frederic,Leila
,Gabriel,Lena
,Gale,Leona
,Gary,Lesley
,Gavin,Letitia
,Gene,Lilith
,Geoffrey,Lillian
,Geoff,Linda
,George,Lindsay
,Gerald,Lisa
,Gilbert,Liz
,Giles,Lorraine
,Glenn,Louise
,Goddard,Lucy
,Godfery,Lydia
,Gordon,Lynn
,Greg,Mabel
,Gregary,Madeline
,Griffith,Madge
,Grover,Maggie
,Gustave,Mamie
,Guy,Mandy
,Hale,Marcia
,Haley,Margaret
,Hamiltion,Marguerite
,Hardy,Maria
,Harlan,Marian
,Harley,Marina
,Harold,Marjorie
,Harriet,Martha
,Harry,Martina
,Harvey,Mary
,Hayden,Maud
,Heather,Maureen
,Henry,Mavis
,Herbert,Maxine
,Herman,Mag
,Hilary,May
,Hiram,Megan
,Hobart,Melissa
,Hogan,Meroy
,Horace,Meredith
,Howar,Merry
,Hubery,Michelle
,Hugh,Michaelia
,Hugo,Mignon
,Humphrey,Mildred
,Hunter,Mirabelle
,Hyman,Miranda
,Ian,Miriam
,Ingemar,Modesty
,Ingram,Moira
,Ira,Molly
,Isaac,Mona
,Isidore,Monica
,Ivan,Muriel
,Ives,Murray
,Jack,Myra
,Jacob,Myrna
,James,Nancy
,Jared,Naomi
,Jason,Natalie
,Jay,Natividad
,Jeff,Nelly
,Jeffrey,Nicola
,Jeremy,Nicole
,Jerome,Nina
,Jerry,Nora
,Jesse,Norma
,Jim,Novia
,Jo,Nydia
,John,Octavia
,Jonas,Odelette
,Jonathan,Odelia
,Joseph,Olga
,Joshua,Olive
,Joyce,Olivia
,Julian,Ophelia
,Julius,Pag
,Justin,Page
,Keith,Pamela
,Kelly,Pandora
,Ken,Patricia
,Kennedy,Paula
,Kenneth,Pearl
,Kent,Penelope
