签到类型/1七天 2每周 3国庆活动,天数/周几,巴西葡萄牙语,巴西葡萄牙语
SignInType,WhatDay,RewardName,RewardTips
1,1,Fogos de artifício com chuva e brilho,Adicionado ao armazém
1,2,Cofre,Adicionado ao armazém
1,3,Caixa de Presente Estrelar,Adicionado ao armazém
1,4,Fogos de Artificio de Mini Estrelas,Adicionado ao armazém
1,5,Fogos de artifício com chuva e brilho,Adicionado ao armazém
1,6,Caixa de Presente Estrelar,Adicionado ao armazém
1,7,Mini Pacote de Presente,Adicionado ao armazém
2,1,Pacote da sorte,Adicionado ao armazém
2,2,Pacote da Moda,Adicionado ao armazém
2,3,Caixa de Presente de Estrelas,Adicionado ao armazém
2,4,Pacote de Skin,Adicionado ao armazém
2,5,Caixa de Presente Estrelar,Adicionado ao armazém
2,6,Mini Feijão,Adicionado à conta
2,7,Mini Feijão,Adicionado à conta
3,1,Caixa de Presente Estrelar,Adicionado ao armazém
3,2,Pacote de Mini Feijões,Adicionado ao armazém
3,3,Rolo de transferência,Adicionado ao armazém
3,4,Pacote de mini feijões,Adicionado ao armazém
3,5,Fogos de artifício estelares,Adicionado ao armazém
3,6,Pacote de mini feijões,Adicionado ao armazém
3,7,Mini capa,Adicionado ao armazém
3,8,Pacote de mini feijões,Adicionado ao armazém
3,9,Pacote de mini feijões,Adicionado ao armazém
3,10,Pacote de mini feijões,Adicionado ao armazém
3,11,Pacote de mini feijões,Adicionado ao armazém
3,12,Carta de Skin,Adicionado ao armazém
3,13,Pacote de mini feijões,Adicionado ao armazém
3,14,Pacote de mini feijões,Adicionado ao armazém
3,15,Pacote de mini feijões,Adicionado ao armazém
3,16,Pacote de mini feijões,Adicionado ao armazém
3,17,Pacote de mini feijões,Adicionado ao armazém
3,18,Pacote de mini feijões,Adicionado ao armazém
3,19,Pacote de mini feijões,Adicionado ao armazém
3,20,Boina,Adicionado ao armazém
