id,地形名称
id,Name
-1,Tentativas
1000,Mar Raso
1001,Pastagem
1002,Deserto
1003,Floresta
1004,Penhasco
1005,Pântano
1006,Floresta de coniféras
1007,Selva
1008,Camada de gelo
1009,Oceano Congelado
1010,Rio Congelado
1011,Argila vermelha
1012,Costa da Terra Vermelha
1013,Colina do Deserto
1014,Colina da Floresta
1015,Colina da Floresta de Coníferas
1016,Iceberg
1017,Colina da Selva
1018,Rio
1019,Praia
1020,Beira do Penhasco
1021,Terra da Lava
1022,Ilha flutuante
1023,Bacia
1024,Borda da Bacia
1025,Bacia da Floresta de Bambu
1026,Bacia do Pessegueiro
1027,Planície
1028,Colina
1029,Planície Altar
1030,Montanha Alta
1031,Colina
1032,Planeta Ilha Flutuante
1033,Planeta Ilha Flutuante
1034,Planeta Ilha Flutuante
1035,Planeta Ilha Flutuante
1036,Planeta Ilha Flutuante
1037,Planeta Ilha Flutuante
1038,Borda da Ilha Flutuante
1039,Floresta Tropical
1040,Planície da Ilha Flutuante
1041,Pastagem de Ilha Flutuante
1042,Pico Principal do Vulcão
1043,Planície Vulcânica
1046,Cratera
1056,Floresta de Coníferas de Neve
1057,Pico da Montanha Nevada
1058,Pico Secundário da Montanha Nevada
1059,Cume da Montanha Nevada
1060,Cordilheira Central da Montanha Nevada
1061,Base da Montanha Nevada
1062,Cordilheira Central do Pico Secundário da Montanha Nevada
1063,Lago Congelado
1064,Vale
1065,Beira do Vale
