ID,任务名
ID,Name
1001,Derrote o vazio!
1002,Lute com afinco pelo amanhecer
1003,Explorador novato
1004,Sem fim à aprendizagem
1005,Explorador Habilidoso
1006,Engenheiro de Starlink
1007,Perdido na floresta tropical
1008,Provação Antiga
1009,Resgate no céu de pedra
2001,Artesão de ferramentas
2002,Guardião da floresta
2003,Falador De Flores
2004,Vigilante da fazenda
2005,História de Fazenda
2006,Mestre domador
2007,Introdução à culinária
2008,Chef profissional
2009,Especialista em culinária
2010,Grande Artista
2011,Pescador lendário
2012,Especialista em mineração
3001,Artesão de armas
3002,Técnico de Armadura
3003,Buscador do Poder das Runas
3004,Chacina sem igual
3005,Caçador selvagem
4001,Parceiro confiável
4002,Minha presença marcada
4003,Viajante do deserto
4004,Trinta mil léguas submarinas
4005,Expedição Polar
4006,Circuito Estelar (Reservado)
4007,Veículo Mecânico
