ID,大类名称
ID,TypeName
1,mobili
2,mobili
3,mobili
4,mobili
5,mobili
6,mobili
7,mobili
8,mobili
9,mobili
10,mobili
11,mobili
12,mobili
13,mobili
14,mobili
15,mobili
16,mobili
17,mobili
18,mobili
19,mobili
20,mobili
21,mobili
22,mobili
23,mobili
24,mobili
25,mobili
26,mobili
27,mobili
28,mobili
29,mobili
30,mobili
31,mobili
32,mobili
33,mobili
34,mobili
35,mobili
36,mobili
37,mobili
38,mobili
39,mobili
40,mobili
41,mobili
42,mobili
43,architettura
44,architettura
45,architettura
46,architettura
47,architettura
48,mobili
49,mobili
50,mobili
51,attrezzatura
52,attrezzatura
53,attrezzatura
54,attrezzatura
55,attrezzatura
56,attrezzatura
57,attrezzatura
58,attrezzatura
59,mobili
60,mobili
61,mobili
62,mobili
63,mobili
64,mobili
65,mobili
66,mobili
67,mobili
68,mobili
69,mobili
70,mobili
71,mobili
72,mobili
73,mobili
74,mobili
75,mobili
76,mobili
77,Festival
78,Festival
79,Festival
80,Festival
81,Festival
82,Festival
83,Festival
84,Festival
85,Festival
86,Festival
87,Festival
88,Festival
89,Festival
90,architettura
91,architettura
92,architettura
93,architettura
94,architettura
95,architettura
96,architettura
97,architettura
98,architettura
99,architettura
100,architettura
101,biologia
102,biologia
103,biologia
104,architettura
105,architettura
106,architettura
107,architettura
108,architettura
109,architettura
110,architettura
111,architettura
112,architettura
113,architettura
114,architettura
115,architettura
116,architettura
117,architettura
118,architettura
119,architettura
120,architettura
121,architettura
122,architettura
123,architettura
124,attrezzatura
125,attrezzatura
126,attrezzatura
127,attrezzatura
128,attrezzatura
129,attrezzatura
130,attrezzatura
131,attrezzatura
132,Festival
133,Festival
134,Festival
135,architettura
136,architettura
137,architettura
138,architettura
139,architettura
140,architettura
149,mobili
150,mobili
151,mobili
152,mobili
153,mobili
