姓,男人名字,女人名字
Surname,Male,Female
Able,Aaron,Abigail
Active,Abbott,Ada
Adaptable,Abel,Adela
Adroit,Abner,Adelaide
Alert,Adair,Agatha
Ambitious,Adam,Agnes
Amiable,Addison,Alberta
Amicable,Adolph,Alexia
Analytical,Adonis,Alice
Aspiring,Ahern,Althea
Audacious,Alan,Alva
Capable,Albert,Amanda
Careful,Aldrich,Amelia
Candid,Alexander,Amy
Competent,Alger,Andrea
Confident,Algernon,Angela
Considerate,Alston,Anna
Cooperative,Alvis,April
Creative,Amos,Arabela
Dashing,Andre,Arlene
Dedicated,Andrew,Astrid
Devoted,Andy,Atalanta
Dependable,Angelo,Athena
Diplomatic,Augus,Audrey
Disciplined,Ansel,Aurora
Discreet,Antony,Barbara
Dutiful,Antoine,Beatrice
Dynamic,Antonio,Belinda
Earnest,Archer,Bella
Efficient,Aries,Bernice
Energetic,Arlen,Bertha
Expressive,,Bess
Faithful,Arno,Betsy
Forceful,Arnold,Betty
Frank,Arthur,Beulah
Friendly,Arvin,Beverly
Frugal,Asa,Blanche
Generous,Ashbur,Bblythe
Genteel,Atwood,Bonnie
Gentle,Aubrey,Breenda
Hearty,Augustine,Brook
Honest,Avery,Camille
Hospitable,Baird,Candance
Humble,Baldwin,Candice
Humorous,Bancroft,Cara
Impartial,Bard,Carol
Ingenious,Baron,Cathy
Initiative,Barret,Cecilia
Intelligent,Bart,Cherry
Inventive,Barton,Cheryl
Just,Bartley,Chloe
Learned,Beau,Clara
Liberal,Beck,Clementine
Logical,Ben,Constance
Loyal,Benedict,Cora
Methodical,Benjamin,Coral
Modest,Bennett,Cornelia
Motivated,Benson,Crystal
Objective,Berg,Cynthia
Open-Minded,Berger,Daisy
Orderly,Bernard,Dale
Original,Bernie,Dana
Painstaking,Bert,Daphne
Practical,Berton,Darlene
Precise,Bertram,Dawn
Persevering,Bevis,Debby
Punctual,Bill,Deborah
Purposeful,Bing,Deirdre
Qualified,Bishop,Delia
Rational,Blair,Denise
Realistic,Blake,Diana
Reasonable,Blithe,Dinah
Reliable,Bob,Dolores
Responsible,Booth,Dominic
Self-Conscious,Borg,Donna
Selfless,Boris,Dora
Sensible,Bowen,Doreen
Sincere,Boyce,Doris
Smart,Boyd,Dorothy
Spirited,Bradley,Eartha
Sporting,Brady,Eden
Steady,Brandon,Edith
Strict,Broderick,Eileen
Systematic,Brook,Elaine
Temperate,Buck,Ella
Tireless,Burgess,Ellen
Optimistic,Burke,Elma
Out-Going,Burnell,Elsa
Expressivity,Byron,Elva
Attractive,Caesar,Elvira
Brave,Calvin,Emily
Brilliant,Carey,Emma
Caring,Carl,Enid
Clever,Carr,Erica
Cheerful,Carter,Erin
Childish,Cash,Esther
Courageous,Cecil,Ethel
Cultured,Cedric,Eudora
Determined,Chad,Eunice
Funny,Chapman,Eve
Happy,Charles,Evelyn
Helpful,Chasel,Faithe
Kind,Chester,Fanny
Nice,Christ,Fay
Obedient,Christian,Flora
Passionate,Clare,Frances
Pessimistic,Clarence,Freda
Polite,Clark,Frederica
Popular,Claude,Gabrielle
Pushy,Clement,Gail
Romantic,Cleveland,Gemma
Sociable,Cliff,Genevieve
Talented,Colbert,Gill
Thoughtful,Colby,Giselle
Timid,Colin,Gladys
Tolerant,Conrad,Gloria
Trustful,Corey,Grace
Amazing,Craig,Gwendolyn
Handsome,Curitis,Hannah
Cute,Cyril,Harriet
,Dana,Hazel
,Daniel,Heather
,Darcy,Hedda
,Darnell,Hedy
,Darren,Helen
,Dave,Heloise
,David,Hermosa
,Dean,Hilda
,Dempsey,Hilary
,Dennis,Honey
,Derrick,Hulda
,Devin,Ida
,Dominic,Ina
,Don,Ingrid
,Donahue,Irene
,Donald,Iris
,Douglas,Irma
,Drew,Isabel
,Duke,Ivy
,Dunn,Jamie
,Dwight,Jane
,Dylan,Janet
,Earl,Janice
,Ed,Jean
,Eden,Jennifer
,Edgar,Jenny
,Edmund,Jessie
,Edison,Jessica
,Edward,Jill
,Edwiin,Jo
,Egbert,Joa
,Eli,Joanna
,Elijah,Joanne
,Elliot,Jocelyn
,Ellis,Jodie
,Elroy,Joy
,Elton,Joyce
,Elvis,Judith
,Emmanuel,Judy
,Enoch,Julia
,Eric,Julie
,Ernest,Juliet
,Eugene,June
,Evan,Kama
,Everley,Karen
,Felix,Kay
,Ford,Kristin
,Francis,Laura
,Frank,Laurel
,Frederic,Lee
,Gabriel,Leila
,Gale,Lena
,Gary,Leona
,Gavin,Lesley
,Gene,Letitia
,Geoff,Lillian
,George,Linda
,Gerald,Lindsay
,Gilbert,Lisa
,Giles,Liz
,Glenn,Lorraine
,Goddard,Louise
,Godfery,Lucy
,Gordon,Lydia
,Greg,Lynn
,Gregary,Mabel
,Grover,Madge
,Gustave,Maggie
,Guy,Mamie
,Hale,Mandy
,Haley,Marcia
,Harlan,Maria
,Harley,Marian
,Harold,Marina
,Harry,Martha
,Hayden,Mary
,Heather,Maud
,Henry,Maureen
,Herbert,Mavis
,Herman,Maxine
,Hilary,Mag
,Hiram,May
,Hobart,Megan
,Hogan,Melissa
,Horace,Meroy
,Howar,Meredith
,Hubery,Merry
,Hugh,Michelle
,Hugo,Michaelia
,Humphrey,Mignon
,Hunter,Mildred
,Hyman,Mirabelle
,Ian,Miranda
,Ingemar,Miriam
,Ingram,Modesty
,Ira,Moira
,Isaac,Molly
,Isidore,Mona
,Ivan,Monica
,Ives,Muriel
,Jack,Murray
,Jacob,Myra
,James,Myrna
,Jared,Nancy
,Jason,Naomi
,Jay,Natalie
,Jeffrey,Nelly
,Jeremy,Nicola
,Jerome,Nicole
,Jerry,Nina
,Jesse,Nora
,Jim,Norma
,Jo,Novia
,John,Nydia
,Jonas,Octavia
,Joseph,Odelia
,Joshua,Olga
,Joyce,Olive
,Julian,Olivia
,Justin,Pag
,Keith,Page
,Kelly,Pamela
,Ken,Pandora
,Kenneth,Paula
,Kent,Pearl
,Kerr,Penelope
,Kerwin,Penny
,Kim,Phoebe
,King,Phoenix
,Kirk,Phyllis
,Kyle,Polly
,Lance,Prima
,Leif,Queena
,Len,Quintina
,Lennon,Rachel
,Leo,Rae
,Leonard,Rebecca
,Leopold,Regina
,Les,Renata
,Lester,Renee
,Levi,Rita
,Lewis,Riva
,Lionel,Roberta
,Lou,Rosalind
,Louis,Rose
,Lucien,Rosemary
,Luther,Roxanne
,Lyle,Ruby
,Lyndon,Ruth
,Lynn,Sabina
,Magee,Sally
,Malcolm,Sabrina
,Mandel,Salome
,Marcus,Samantha
,Marico,Sandra
,Mark,Sandy
,Marlon,Sara
,Marsh,Sarah
,Martin,Selena
,Marvin,Sharon
,Matt,Sheila
,Matthew,Sherry
,Maurice,Shirley
,Max,Sibyl
,Maxwell,Simona
,Meredith,Sophia
,Merle,Spring
,Merlin,Stacey
,Michael,Setlla
,Mick,Susan
,Mike,Susanna
,Miles,Susie
,Milo,Suzanne
,Monroe,Sylvia
,Moore,Tammy
,Morgan,Teresa
,Mortimer,Tess
,Morton,Thera
,Moses,Theresa
,Murphy,Tiffany
,Murray,Tina
,Myron,Tobey
,Nat,Tracy
,Nathan,Trista
,Nathaniel,Truda
,Neil,Ula
