ID,名字,Desc
ID,Name,Desc
1053,,
1054,,
1055,,
1056,Applique schermo,Fai in modo che le applique dello schermo del personaggio
1057,Ferma azione,Fai in modo che il carattere si fermi al fotogramma corrente
1058,Cambia texture,Cambiare la texture del personaggio in un materiale di ghiaccio
1059,Effetto speciale ghiaccio,Aggiungi effetti speciali di ghiaccio al personaggio
1060,Terminare il cambiamento di temperatura,Impostare la temperatura del carattere su @2 al termine dello stato
1061,Termina la riproduzione di effetti speciali ed effetti sonori,Riproduci effetti speciali ed effetti sonori al termine dello stato
1062,La temperatura influisce sulla durata,La durata dello stato cambierà a causa della temperatura circostante
1063,Rimuovere lo stato quando si subiscono danni cumulativi,Lo stato viene rimosso quando il danno cumulativo @1 raggiunge @2
1064,Cambia temperatura nel tempo,Cambia la temperatura del personaggio di @2 ogni @1s
1065,Variazione apparente della temperatura,Modificare la temperatura ambientale che influisce sul carattere di @1
1066,Variazione di temperatura circostante,Aumentare la temperatura ambientale all'interno delle griglie @1 attorno al carattere di @2
1067,Blocco di condensazione e fusione,"Fai congelare l'acqua all'interno delle griglie @1 attorno al personaggio, con una differenza di altezza di @2 griglie sopra e sotto"
1068,Genera casualmente blocchi nelle vicinanze,"All'interno dell'area cilindrica attorno al lettore con un raggio di @1 e un'altezza di @2, generare @4 sulla superficie superiore di un blocco casuale ogni @3s"
1069,Fare ottenere lo stato all'attaccante.,"Quando colpito @1 volta, c'è una probabilità del @2% che il nemico ottenga @3 o che ottenga uno stato."
1070,Modifica del tasso di recupero del cibo,"@1 Quantità di recupero del cibo aumentata @2
@3 Variazione del moltiplicatore della quantità di recupero del cibo."
