id,地形名称
id,Name
-1,Tentativi
1000,Mare Bassa
1001,Prateria
1002,Deserto
1003,Foresta
1004,Falesia
1005,Palude
1006,Foresta di Conifere
1007,Giungla
1008,Campo di Ghiaccio
1009,Oceano Ghiacciato
1010,Fiume Ghiacciato
1011,Suolo rosso
1012,Costa di Terra Rossa
1013,Duna del Deserto
1014,Collina del Bosco
1015,Collina del Bosco di Conifere
1016,Iceberg
1017,Collina della Giungla
1018,Fiume
1019,Spiaggia
1020,Bordo della Falesia
1021,Terra di Lava
1022,Isola del Cielo
1023,Bacino
1024,Bordo del Bacino
1025,Bacino di Bambù
1026,Bacino dell'Albero di Pesco
1027,Pianura
1028,Collina
1029,Pianura dell'Altare
1030,Montagna Alta
1031,Colline
1032,Pianeta Isola del Cielo
1033,Pianeta Isola del Cielo
1034,Pianeta Isola del Cielo
1035,Pianeta Isola del Cielo
1036,Pianeta Isola del Cielo
1037,Pianeta Isola del Cielo
1038,Bordo dell'Isola del Cielo
1039,Foresta Pluviale
1040,Pianura dell'Isola del Cielo
1041,Isola del Cielo delle Praterie
1042,Picco Principale Vulcanico
1043,Pianura Vulcanica
1044,Catena Montuosa Vulcanica
1045,Fiume di Lava Vulcanica
1046,Cratere Vulcanico
1047,Oasi nel Deserto
1048,Lago del Deserto
1049,Mare Profondo
1050,Costa dell'Isola Abbandonata
1051,Centro dell'Isola Abbandonata
1052,Costa dell'Isola della Terra Rossa
1053,Centro dell'Isola di Terra Rossa
1054,Costa dell'Isola di Corallo
1055,Centro dell'Isola di Corallo
1056,Foresta di conifere della neve
1057,Cima della montagna di neve
1058,Picco secondario della montagna di neve
1059,Cresta della montagna di neve
1060,Montagna della neve Catena centrale
1061,Base della montagna di neve
1062,Montagna della neve Picco secondario Catena centrale
1063,Lago ghiacciato
1064,Canyon
1065,Sul bordo della gola.
