ID,名字,描述,获得方式
ID,Name,Desc,GetWay
0,aria,Non puoi vedermi,
1,pietra angolare geocentrica,"Situato nel centro più profondo della terra, super duro e incrollabile",
2,Blocco funzione,"Magic Cube, potere sconosciuto",
3,acqua statica,Cubo di acqua ferma,
4,Acqua dinamica,Acqua fluida,
5,magma statico,"Ancora cubi di lava, attenzione questo è caldo!",
6,Magma dinamico,"Cubi di magma che scorrono, fai attenzione che questo è caldo e farà male!",
7,Effetto luce di trasmissione,Sembra un cubo magico,
8,Mattone intagliato,Blocchi da costruzione in rilievo con trama dura,
9,Accelerare il blocco di movimento,Le persone che passano attraverso questo blocco riceveranno una spinta inspiegabile,
10,blocco di energia della stella,"Dopo il posizionamento, può emettere continuamente #c0aba1d il segnale energetico #n della stella",
11,Miele statico,Ancora miele,
12,Miele dinamico,Miele fluido,
13,sabbie mobili statiche,"Il ""fiume"" composto da sabbia fine è pericoloso!",
14,Sabbie mobili dinamiche,"Il ""fiume"" composto da sabbia fine è pericoloso!",
15,Mantra Rock,Cosa succede alle rocce che emanano una strana aura quando toccano le sabbie mobili? Avrai una maledizione sanguinosa quando scavi!,Le pareti esterne delle rovine sotterranee
16,Mantra Rock - Attiva,Cosa succede alle rocce che emanano una strana aura quando toccano le sabbie mobili? Avrai una maledizione sanguinosa quando scavi!,Le pareti esterne delle rovine sotterranee
17,Veleno statico,"Liquidi pericolosi, stai lontano il più possibile",
18,Veleno dinamico,"Liquidi pericolosi, stai lontano il più possibile",
19,Il vento ha eroso la roccia,"Rocce del deserto erose da forti venti, un po 'fragili",
20,Aria aliena,Vai e scarica l'ultima versione del gioco!,
21,La versione del gioco è troppo bassa,Vai e scarica l'ultima versione del gioco!,
22,La versione del gioco è troppo bassa,Vai e scarica l'ultima versione del gioco!,
23,Idrite,"La struttura laminata formata dall'essere spremuta per decine di migliaia di anni nel mare profondo contiene tutti i tipi di nutrienti necessari alle alghe di mare profondo, che è molto adatta per la crescita di alghe fluorescenti e alghe rosse",Distruzione di roccia accretica
24,nodulo di manganese,"Utilizzato per #c0aba1d rafforzare l'attrezzatura subacquea, rendere i blocchi di vetro #n resistenti all'alta pressione del mare profondo","Il metallo di manganese è un minerale prodotto dalla continua condensazione del metallo di manganese nelle rocce profonde, quindi è solo leggermente prodotto nel mare profondo, e noduli di manganese che cadono dopo la distruzione"
25,barriera corallina,"Molto adatto per la crescita dei coralli, man mano che il corallo matura, cambierà anche il colore della barriera corallina",
26,Bottiglia alla deriva,"Nell'ecologia oceanica e fluviale #c0aba1d #n buttata fuori, la corrente porterà il tuo desiderio in lontananza, forse un giorno si troverà in lontananza",Posiziona il rotolo di pelle in una piccola bottiglia di vetro quadrata per ottenere
27,Bottiglia alla deriva in lontananza,"La nota sigillata nella bottiglia alla deriva contiene spesso informazioni importanti o benedizioni sentite. Naturalmente, possono anche essere i pensieri di qualcuno in un certo momento. Sembra che abbia attraversato montagne e mari e attraversato il tempo... Metti la bottiglia a terra e tira fuori il biglietto per vedere...",La pesca e l'esplorazione dell'oceano hanno la possibilità di ottenere
28,Piccola bottiglia di vetro (quadrata),Stendilo e metti il rotolo di pelle scritto,
29,sabbia gialla,"Comunemente si trovano in acque e zone desertiche, strumenti pala possono essere estratti rapidamente e sono materie prime per la lavorazione di sabbia di quarzo, che viene spesso utilizzato per sparare vetro",Comune in #c0aba1d zone costiere #n e #c0aba1d desertiche #n
30,La versione del gioco è troppo bassa,Vai e scarica l'ultima versione del gioco!,
31,Picchi di ghiaccio solido,Gli Ice Spikes sono abbastanza #c0aba1dstable#n. Assicurati di indossare un casco quando sei intorno a loro!,
32,Spuntoni di ghiaccio galleggianti,Questi picchi di ghiaccio sono molto probabilmente #c0aba1ddrop#n. Assicurati di indossare un casco quando sei intorno a loro!,
33,Minerale ordinario di cristallo,Devono essere raccolti con @item_11013# o più avanzati.,Minerali rari che possono apparire nelle #c0aba1dSnow Mountain Caves#n del Campo di Ghiaccio e #c0aba1dunderground#n della Foresta Pluviale.
34,Minerale Fuoco-gelido,Minerali che emettono freddo agghiacciante. Devono essere raccolti con @item_11011# o più avanzati. Verrà #c0aba1dlower la temperatura circostante#n.,Minerali rari che possono apparire nelle #c0aba1dSnow Mountain Caves#n del campo di ghiaccio.
35,Pietra del Fuoco-gelido,Un blocco agghiacciante realizzato con un sacco di @item_11824 #. Abbasserà #c0aba1dsignificantly la temperatura circostante#n.,
36,Aggiornamento dell'ingresso alla grotta,,
37,Aggiornamento del tunnel della grotta,,
38,Grotta Caverna Refresh,,
39,Cave Hole Refresh,,
40,Blocco di cristallo del vuoto,"Realizzato utilizzando i blocchi di cristallo del vuoto, questo blocco speciale illumina lo spazio circostante. Fai attenzione quando lo posizioni sotto @item_596#, poiché potrebbe attirare i mostri più potenti durante la Notte del Vuoto. Usalo saggiamente!",
100,Blocco di terreno erboso,"Un blocco sulla superficie, può essere rapidamente raccolto con pale. #c0aba1dUse Rastrelli per trasformarlo in @item_102#. Usa le pale per renderlo un @item_103#.",Scaricalo usando @item_11226# su @item_101#.
101,zolla,"È prontamente disponibile sotto la superficie. Dopo la pioggia, può far germogliare la vegetazione e diventare blocchi di erba. Gli strumenti della pala possono essere estratti rapidamente. #c0aba1d Usa gli strumenti del rastrello per diventare terreno coltivato e usa gli strumenti della pala per diventare fosse del terreno",Disponibile sotto la superficie
102,terreni arabili,"Le colture possono essere piantate, vicino all'acqua o irrigate con fonti d'acqua per mantenerle umide e facilitare la crescita delle colture",
103,fossa di sporcizia,"I semi di fiori e gli alberelli possono essere piantati, vicino alla fonte d'acqua o irrigati con acqua per mantenerlo umido e favorire la crescita delle piante",
104,roccia,"Può essere visto ovunque sottoterra, gli strumenti per picconi possono essere estratti rapidamente",
105,bluestone,Materiali da costruzione in pietra e muschio,
106,sabbia gialla fine,"Comunemente si trovano in riva al mare e zone desertiche, strumenti pala può essere rapidamente estratto, è la materia prima per la lavorazione di sabbia di quarzo, sabbia di quarzo è spesso usato per sparare vetro #r cadrà sotto l'influenza della gravità",Comune sul lungomare e nelle zone desertiche
107,mucchio di ghiaia,"Mucchi di ghiaia non fermi, gli strumenti a pala possono essere rapidamente estratti. #r Vuoto sotto, in piedi su di esso crollerà, fai attenzione a rimanere fermo",
108,Semplice mattone giallo,Materiali da costruzione sparati dalla sabbia gialla,
109,sabbia,"zolle sterili su cui le piante non possono crescere, gli strumenti a pala possono essere estratti rapidamente",
110,Pietre sparse,"Piccola roccia consumata dal vento, ottenuta dopo l'estrazione, utilizzata per lavorare utensili in pietra",
111,La versione del gioco è troppo bassa,Vai e scarica l'ultima versione del gioco!,
112,longherone nero,"Colpita dal fantasma del vuoto, la struttura geologica è cambiata drasticamente e il minerale non esiste più",
113,Ghiaccio croccante,"Il ghiaccio fragile sull'acqua, dopo essersi rotto, si trasforma in stelle e si dissipa tra cielo e terra",
114,limo,"zolle subacquee, gli strumenti a pala possono essere estratti rapidamente",
115,Neve soffice,Una sottile lamina di neve morbida all'altezza di una griglia di quarti. Può essere impilato per modificare lo spessore.,
116,Pietra stella occhio carino,Le pietre speciali di Cute Eye Star hanno una forte capacità anti-esplosione e dovrebbero essere estratte con #c0aba1d piccone d'argento segreto #n o strumenti di piccone più avanzati,
117,Blocco di erba a stella dagli occhi carini,L'erba della stella dell'occhio carino contiene i nutrienti necessari per la crescita delle piante. Usa #c0aba1d la pala #n mithril o strumenti più avanzati per estrarre,
118,Nuvola,Le nuvole intorno a Cute Eye Star Island inizieranno a rompersi quando le calpesti,
119,terreno asciutto,"Su Cute Eye, le zolle di Myra devono essere posizionate sul terreno di coltura vegetale del pianeta per mantenere le sostanze nutritive, altrimenti perderanno le sostanze nutritive e diventeranno terreno secco",
120,Terreno ghiacciato,"In ambienti freddi, @item_100# e @item_101# si trasformeranno in @item_120#. Le piante che prosperano in ambienti freddi devono crescere su questo tipo di terreno.",
121,Fossa congelata,Qui possono essere piantati semi e alberelli di fiori e alberi che preferiscono ambienti freddi.,
122,Neve spessa,Neve spessa che si scioglie in acqua quando si incontra #c0aba1dlava#n. Abbasserà #c0aba1dslightly la temperatura ambiente#n.,
