ID,名字,类别名,描述
ID,Name,TypeName,Desc
10001,Converti posizione in regione,Generale,"Set |@1| as center, areas with dimensions (|@2|, |@3|, |@4|)"
10002,Regione offset,Generale,@1| shift along coordinate axis（|@2|，|@3|，|@4|）
10003,Espandi regione,Generale,"Enlarge |@1| coordinate axis with X|@2|, Y|@3|, Z|@4| block wide"
10005,Posizione coordinate specificata,Generale,The position of X|@1|Y|@2|Z|@3
10006,compensati posizione (location cambia originale),Generale,@1| shift along coordinate axis（|@2|，|@3|，|@4|）
10007,Posizione centrale della regione,Generale,@1|'s central location
10008,Posizione casuale della regione,Generale,@1|'s random location
10009,Tempo del timer,Generale,@1|'s time
10010,Lunghezza del raggio della direzione assegnata,Generale,"Start with |@1|, project |@3| grids ray to |@2|, return ray length between start to block"
10011,Concatenazione di stringhe,Generale,@1| e |@2
10012,Converti valore in stringa,Generale,Convert |@1| to String
10013,Confronto booleano,Generale,@1||@2||@3
10014,Confronto valore,Generale,@1||@2||@3
10015,Tipo di blocco colpito da raggio,Generale,"Start with |@1|, project |@3| grids ray to |@2|, show block type that stop ray"
10016,Fronte tre coordinate degli assi,Generale,"@1| is facing X|@2|, Y|@3|, Z|@4"
10017,Rivolto coordinate sferiche,Generale,"@1| is facing azimuth angle|@2|, elevation|@3"
10018,Seleziona giocatore,Generale,Select |@1
10019,Selezionare creatura,Generale,Select |@1
10020,Selezionare proiettile,Generale,Select |@1
10021,selezionare le gocce,Generale,Select |@1
10022,Tone si trasforma in numero,Generale,@1| turns to number
10023,confronto di stringhe di caratteri,Generale,@1||@2||@3
10024,offset di posizione (posizione originale nessun cambiamento),Generale,@1| shift along coordinate axis（|@2|，|@3|，|@4|）
10025,booleano Valore,Generale,|@1
10026,Valore,Generale,|@1
10027,stringa di caratteri,Generale,|@1
10028,tipo di apparenza,Generale,|@1
10029,gruppo booleano,Generale,|@1
10030,numero gruppo,Generale,|@1
10031,gruppo stringa,Generale,|@1
10032,Ottenere conteggio valore di un gruppo,Generale,Ottenere conteggio valore |@1
10033,Ottenere conteggio valore di un valore in un gruppo,Generale,Ottenere conteggio valore |@2| a |@1
10034,Ottenere l'ID di un valore in un gruppo,Generale,Ottenere ID di |@2| a |@1
10035,Determinare se un valore esiste in un gruppo,Generale,@2| esistere in |@1
10036,Determinare se un ID specifico esiste in un gruppo,Generale,Controllare se l'ID |@2| posizione |@1| esistere.
10037,Estrarre la stringa,Generale,Extract |@1| of |@2| - |@3| position string
10038,Converti la stringa in numero intero,Generale,@1|. Converti in numero intero
10039,Ottenere l'impostazione del tempo principale del dispositivo,Generale,Obtain device |@1| time
10040,Ottieni impostazione del tempo completo del dispositivo principale,Generale,Ottieni impostazione del tempo completo del dispositivo principale
10041,Tipo di blocco casuale,Generale,Tipo di blocco casuale
10042,Stringa divisa,generale,"Split|@1|, lo splitter è |@2|, intercetta il |@3| segmento dopo la divisione"
10043,Ottiene la stringa del tag specificato,generale,"Ottieni |@1|, il contenuto del nome della chiave |@2|"
10044,Ottieni l'ora del server di gioco,generale,Ottieni |@1| ora del server di gioco
10045,Convertire timestamp in unità di tempo,generale,Convertire timestamp |@1| a |@2
10046,Ottieni il tempo completo del server,generale,Ottieni il tempo completo del server
10047,Convertire timestamp a tempo pieno,generale,Convertire timestamp |@1| a tempo pieno
20001,Calcolo numerico,Matematica,@1||@2||@3
20002,Resto,Matematica,@1| Mod |@2
20003,Numero casuale,Matematica,Generate random number between |@1| and |@2
20004,Valore massimo,Matematica,@1| and |@2|'s |@3
20005,Divisione esatta,Matematica,|@1| Divide |@2
20006,Coordinate Value of Location,Matematica,@1|'s |@2| coordinate value
20007,Angolo orizzontale tra posizione,Matematica,Horizontal Angle Between |@1| and |@2
20008,Angolo verticale tra posizione,Matematica,Vertical Angle Between |@1| and |@2
20009,elevamento a potenza,Matematica,"@1|, to the power of |@2"
20010,radicamento,Matematica,The |@2|-th root of |@1
20011,Valore assoluto,Matematica,@1|'s absolute value
20012,Funzione trigonometrica,Matematica,@1||@2||@3
20013,Funzione di registro base fissa,Matematica,@1||@2
20014,Qualsiasi funzione di registro di base,Matematica,Log|@1||@2
20015,Numero tondo,Matematica,"The round number of |@1|, in form of |@2"
20016,Converti l'angolo in radiante,Matematica,Convert |@1| to |@2
20017,.e.,Matematica,@1| and |@2
20018,.o.,Matematica,@1| or |@2
20019,esclusivo o,Matematica,@1| exclusive or |@2
20020,.non.,Matematica,Not |@1
20021,Confronto valore casuale,Matematica,@1||@2||@3
30001,Tempo di gioco attuale,Gioco,Current game time
30002,Seleziona la squadra in classifica,Gioco,The team ranked |@1
30003,multipli gravità correnti,Gioco,multipli gravità correnti
40001,Team Attritube,Squadra,@1|'s |@2
40002,Confronto squadra,Squadra,@1||@2||@3
50001,Posizione del giocatore,Giocatore,@1|'s location
50002,Ottieni Vista Giocatore,Giocatore,@1|'s Sight
50003,Giocatore Attritube,Giocatore,@1|'s |@2
50004,Numero di oggetti posseduti,Giocatore,"@1|ownd, il numerber di |@2"
50006,Giocatore di fronte,Giocatore,@1|'s facing angle
50007,Nome del giocatore,Giocatore,@1|'s name
50008,Determina Individuale,Giocatore,@1||@2||@3
50009,Determina il set del giocatore,Giocatore,@1||@2| in |@3
50010,Determina la regione,Giocatore,@1||@2| in Area |@3
50011,Determina lo stato,Giocatore,@1||@2| obtains |@3| effect
50012,Ospite,Giocatore,Host
50018,Squadra del giocatore,Giocatore,@1|'s team
50019,Player's Private Variable(Region),Giocatore,@1|'s |@2|(Area)
50020,Player's Private Variable(Location),Giocatore,@1|'s |@2|(Location)
50021,Player's Private Variable(Value),Giocatore,@1|'s |@2|(Value)
50022,Player's Private Variable(String),Giocatore,@1|'s |@2|(String)
50023,Player's Private Variable(Boolean Values),Giocatore,@1|'s |@2|(Boolean Values)
50024,Player's Private Variable(Player),Giocatore,@1|'s |@2|(Player)
50025,Player's Private Variable(Player Group),Giocatore,@1|'s |@2|(Player Group)
50026,Player's Private Variable(Block Type),Giocatore,@1|'s |@2|(Block Type)
50027,Player's Private Variable(Item Type),Giocatore,@1|'s |@2|(Item Type)
50028,Player's Private Variable(Creature),Giocatore,@1|'s |@2|(Creature)
50029,Player's Private Variable(Creature Type),Giocatore,@1|'s |@2|(Creature Type)
50030,Player's Private Variable(Creature Group),Giocatore,@1|'s |@2|(Creature Group)
50031,Player's Private Variable(Timer),Giocatore,@1|'s |@2|(Timer)
50032,del giocatore privato variabile (tipo di effetto speciale),Giocatore,@1| s '|@2| (Tipo di effetto speciale)
50033,La direction que les points à réticule,Giocatore,La direzione che |@1| punti mirino a
50034,Il tipo di elemento palmare,Giocatore,Il tipo di elemento di palmare |@1
50035,Giocatore,Giocatore,|@1
50036,Gruppo Player,Giocatore,|@1
50037,Designato Aspetto Player,Giocatore,@1| Aspetto
50038,Gruppo di giocatore,Giocatore,|@1
50039,La variabile privata del giocatore (gruppo di localizzazione),Giocatore,|@2| of |@1| (Location Group)
50040,La variabile privata del giocatore (gruppo regionale),Giocatore,|@2| of |@1| (Area Group)
50041,La variabile privata del giocatore (gruppo numerico),Giocatore,|@2| of |@1| (numeric group)
50042,La variabile privata del giocatore (gruppo stringa),Giocatore,|@2| of |@1|  (character string group)
50043,La variabile privata del giocatore (gruppo booleano),Giocatore,|@2| of |@1| (Boolean group)
50044,La variabile privata del giocatore (gruppo di tipo blocco),Giocatore,|@2| of |@1|  (block type group)
50045,La variabile privata del giocatore (gruppo tipo di puntelli),Giocatore,|@2| of |@1|  (props type group)
50046,La variabile privata del giocatore (gruppo di tipi di creatura),Giocatore,|@2| of |@1| (Creature Type Group)
50047,Variabile privata del giocatore (gruppo timer),Giocatore,|@2| of |@1| (Timer Group)
50048,Variabile privata del giocatore (gruppo di tipi di effetti speciali),Giocatore,|@2| of |@1| (Special Effect Type Group)
50049,Tipo di aspetto casuale,Giocatore,Tipo di aspetto casuale
50050,Ottieni l'UID del giocatore,Giocatore,Ottieni l'UID di |@1
50051,Ottieni un giocatore con un UID specifico,Giocatore,Ottieni giocatore con |@1| UID
50052,Il giocatore che spara il proiettile,Giocatore,Il giocatore che spara il proiettile
60001,Numero di giocatori nel set di giocatori,Gruppo di giocatori,Number of player in |@1
60002,Player ID in Player Set,Gruppo di giocatori,@2|'s ID in |@1
60003,Numero di giocatori in gioco,Gruppo di giocatori,Number of players in current game
60004,Seleziona l'ID giocatore nel set giocatore,Gruppo di giocatori,Player numbered |@2| in |@1
60005,Giocatore a caso nel set del giocatore,Gruppo di giocatori,Random players in |@1
60006,All Players,Gruppo di giocatori,All Players
60007,All Players in team,Gruppo di giocatori,All Players in |@1
60008,All Players in Region,Gruppo di giocatori,All Players in |@1
70001,Posizione della creatura,Creatura,@1|'s location
70002,Creatura Arriveduta,Creatura,@1|'s |@2
70004,Ottieni ID creatura in Set di creature,Creatura,ID of |@2| in |@1
70005,Angolo di fronte alla creatura,Creatura,@1|'s facing angle
70006,Nome del tipo di creatura,Creatura,Type name of |@1
70007,Determina Individuale,Creatura,@1||@2||@3
70008,Determina il tipo,Creatura,@1||@2||@3
70009,Determina set di creature,Creatura,@1||@2| in set |@3
70010,Determina la regione,Creatura,@1||@2| in Area |@3
70011,Determina lo stato,Creatura,@1||@2| obtains |@3| effect
70012,Creature Team,Creatura,@1|'s team
70013,Seleziona il tipo di creatura,Creatura,Type of |@1
70014,Tipo di creatura casuale,Creatura,Casuale tipo di creatura
70015,Tipo di creatura,Creatura,|@1
70016,Creatura Group,Creatura,|@1
70017,Creatura Aspetto Designato,Creatura,@1|Appearance
70018,Creatura Group,Creatura,|@1
70019,Gruppo di tipo creatura.,Creatura,|@1
70020,Creatura,Creatura,|@1
70021,Creature che sparano proiettili,biologia,Creature che sparano proiettili
80001,Numero di creature nel set di creature,Gruppo di creature,Number of creature in |@1
80002,Seleziona ID creatura in Set di creature,Gruppo di creature,Creature numbered |@2| in |@1
80003,Creatura casuale in set di creature,Gruppo di creature,Random creature in |@1
80004,All Creatures in Team,Gruppo di creature,All Creatures in |@1
80005,All Creatures in Region,Gruppo di creature,All Creatures in |@1
90001,Posizione di Drop Item,Articolo,Location of |@1
90002,Numero di oggetti di caduta,Articolo,Number of |@1
90003,Numero di oggetti modificati nello zaino del giocatore,Articolo,The number of items that have changed in the player's backpack
90004,Nome tipo oggetto,Articolo,Type name of |@1
90005,Determina il tipo,Articolo,@1||@2||@3
