角色ID,意大利语,意大利语,意大利语,意大利语,意大利语
ID,Name,Desc,GeniusName,GeniusDesc,BuyTips
1,Capotribù,Capo di una tribù primitiva che ama avventurarsi ovunque e espandere le terre tribali  ,Robustezza,Aumenta danno di base (non attivato),@Null@
2,Capotribù,Capo di una tribù primitiva che ama avventurarsi ovunque e espandere le terre tribali  ,Robustezza 1,Danno di base +5,@Null@
3,Capotribù,Capo di una tribù primitiva che ama avventurarsi ovunque e espandere le terre tribali  ,Robustezza 2,Danno di base +10,@Null@
4,Moglie del capotribù,Muscolosa madre primitiva brava nella caccia.,Maestro di caccia,Aumenta guadagni di caccia (non attivato),@Null@
5,Moglie del capotribù,Muscolosa madre primitiva brava nella caccia.,Maestro di caccia 1,Ha 25% di possibilità di ottenere doppia caduta quando combatti i mostri,@Null@
6,Moglie del capotribù,Muscolosa madre primitiva brava nella caccia.,Maestro di caccia 2,Ha 25%/15% di possibilità di ottenere doppia/tripla caduta quando combatti i mostri,@Null@
7,Kaka,È cresciuto in una tribù primitiva ed è capace di sopravvivere nella natura selvaggia.,Testardaggine,Riduce danno da lunga distanza (non attivato),@Null@
8,Kaka,È cresciuto in una tribù primitiva ed è capace di sopravvivere nella natura selvaggia.,Testardaggine 1,Riduce del 20% danno da lunga distanza ,@Null@
9,Kaka,È cresciuto in una tribù primitiva ed è capace di sopravvivere nella natura selvaggia.,Testardaggine 2,Riduce del 40% danno da lunga distanza ,@Null@
10,Nini,Laboriosa sorella primitiva particolarmente attiva nel lavoro.,Laborioso,Aumenta velocità di raccolta (non attivato),@Null@
11,Nini,Laboriosa sorella primitiva particolarmente attiva nel lavoro.,Laborioso 1,Aumenta del 50% velocità di raccolta,@Null@
12,Nini,Laboriosa sorella primitiva particolarmente attiva nel lavoro.,Laborioso 2,Aumenta del 100% velocità di raccolta,@Null@
13,Bambino selvaggio,Ogni famiglia ha un bambino selvaggio. Aspetta! Cosa ha in mano?,Genio delle bombe,Riduce danno da eplosione (non attivato),@Null@
14,Bambino selvaggio,Ogni famiglia ha un bambino selvaggio. Aspetta! Cosa ha in mano?,Genio delle bombe 1,Riduce del 20% danno da eplosione ,@Null@
15,Bambino selvaggio,Ogni famiglia ha un bambino selvaggio. Aspetta! Cosa ha in mano?,Genio delle bombe 2,Riduce del 40% danno da eplosione ,@Null@
16,Capitano Tom,"Ex soldato delle forze di pace mondiali, bravo a sopravvivere sul campo e sparare.",Sopravvivenza sul campo,Migliora effetti del cibo e respiro sott'acqua (non attivato),Gli attrezzi per sbloccare possono essere ottenuti tra i Frutti del Giardino.
17,Capitano Tom,"Ex soldato delle forze di pace mondiali, bravo a sopravvivere sul campo e sparare.",Sopravvivenza sul campo 1,Recupero Sazietà/Salute e tempo di respiro sott'acqua aumenta del 15%,Gli attrezzi per sbloccare possono essere ottenuti tra i Frutti del Giardino.
18,Capitano Tom,"Ex soldato delle forze di pace mondiali, bravo a sopravvivere sul campo e sparare.",Sopravvivenza sul campo 2,Recupero Sazietà/Salute e tempo di respiro sott'acqua aumenta del 30%,Gli attrezzi per sbloccare possono essere ottenuti tra i Frutti del Giardino.
19,Agente Laura,"Dea di una società di sicurezza, ama le avventure eccitanti.",Profezia,1 immunità per danni mortali (non attivato),Gli attrezzi per sbloccare possono essere ottenuti tra i Frutti del Giardino.
20,Agente Laura,"Dea di una società di sicurezza, ama le avventure eccitanti.",Profezia 1,"Quando il danno prelevato è più di 45 punti e provoca la morte, si rigenerà immediatamente con il 25% del valore di salute. L'intervallo di trigger è di 5 minuti.",Gli attrezzi per sbloccare possono essere ottenuti tra i Frutti del Giardino.
21,Agente Laura,"Dea di una società di sicurezza, ama le avventure eccitanti.",Profezia 2,"Quando il danno preso è superiore a 25 punti e provoca la morte, si rigenerante immediatamente con la salute del 50% e l'intervallo di trigger è di 3 minuti.",Gli attrezzi per sbloccare possono essere ottenuti tra i Frutti del Giardino.
22,Biricchina Cindy,Intelligente pilota di di una squadra di archeologi primitivi.,Super salto,Rafforza l'abilità nei salto. Lei può fare doppi salti al livello II (non attivato) ,Gli attrezzi per sbloccare possono essere ottenuti tra i Frutti del Giardino.
23,Biricchina Cindy,Intelligente pilota di di una squadra di archeologi primitivi.,Super salto 1,"Altezza salto +50%, danno caduta -10",Gli attrezzi per sbloccare possono essere ottenuti tra i Frutti del Giardino.
24,Biricchina Cindy,Intelligente pilota di di una squadra di archeologi primitivi.,Super salto 2,"Altezza salto +50%, danno caduta -20. Può fare doppi salti",Gli attrezzi per sbloccare possono essere ottenuti tra i Frutti del Giardino.
25,Assistente Peter,Si è unito alla squadra di archeologi per scrivere una tesi di laurea perfetta.,Scoperta per caso,Lui ha la possibilità di trovare diversi oggetti quando rompe le giare (non attivato),Gli attrezzi per sbloccare possono essere ottenuti tra i Frutti del Giardino.
