ID,任务名
ID,Name
1001,Sconfiggi il vuoto!
1002,Lavorare sodo per l'alba
1003,Nuovo esploratore
1004,Apprendimento senza fine
1005,Esperto esploratore
1006,Ingegnere Starlink
1007,Perso nella foresta pluviale
1008,Prova eterna
1009,"Super ""pietra"" salvataggio vuoto"
2001,Artigiano degli attrezzi
2002,Guardia forestale
2003,Parlatore di fiori
2004,Osservatore dei terreni agricoli
2005,Storia della zootecnia
2006,Master Trainer
2007,Introduzione alla cucina
2008,Chef senior
2009,Grande Chef
2010,Grande artista
2011,Leggenda della pesca
2012,Esperto minerario
3001,Artigiano di armi
3002,Tecnico dell'armatura
3003,Rune Power Desirer
3004,Berserker
3005,Cacciatore di deserto
4001,Un partner affidabile
4002,Tracce della mia esistenza
4003,Viaggiatore Shayuan
4004,30.000 miglia sotto il mare
4005,Spedizione polare
4006,Circuito stellare (riservato)
4007,Veicolo meccanico (riservato)
