iD,意大利语,意大利语
ID,Name,AttrDesc
5,Spazza in aria,L'attacco corpo a corpo farà saltare in aria l'obiettivo a 4 distanze di altezza.
5,Spazza in aria,L'attacco corpo a corpo farà saltare in aria l'obiettivo a 6 distanze di altezza.
5,Spazza in aria,L'attacco corpo a corpo farà saltare in aria l'obiettivo a 8 distanze di altezza.
5,Spazza in aria,L'attacco corpo a corpo farà saltare in aria l'obiettivo a 10 distanze di altezza.
5,Spazza in aria,L'attacco corpo a corpo farà saltare in aria l'obiettivo a 12 distanze di altezza.
6,Incisivo,Danni attacco corpo a corpo +5
6,Incisivo,Danni attacco corpo a corpo +40
6,Incisivo,Danni attacco corpo a corpo +16
6,Incisivo,Danni attacco corpo a corpo +24
6,Incisivo,Danni attacco corpo a corpo +35
7,Cacciatore di umani,Danni attacco corpo a corpo a umani +8
7,Cacciatore di umani,Danni attacco corpo a corpo a umani +16
7,Cacciatore di umani,Danni attacco corpo a corpo a umani +25
7,Cacciatore di umani,Danni attacco corpo a corpo a umani +40
7,Cacciatore di umani,Danni attacco corpo a corpo a umani +60
8,Cacciatore di animali,Danni attacco corpo a corpo a animali +8
8,Cacciatore di animali,Danni attacco corpo a corpo a animali +16
8,Cacciatore di animali,Danni attacco corpo a corpo a animali +25
8,Cacciatore di animali,Danni attacco corpo a corpo a animali +40
8,Cacciatore di animali,Danni attacco corpo a corpo a animali +60
9,Cacciatore di demoni,Danni attacco corpo a corpo a Arceri di zolfo e Mostri di magma +8
9,Cacciatore di demoni,Danni attacco corpo a corpo a Arceri di zolfo e Mostri di magma +16
9,Cacciatore di demoni,Danni attacco corpo a corpo a Arceri di zolfo e Mostri di magma +25
9,Cacciatore di demoni,Danni attacco corpo a corpo a Arceri di zolfo e Mostri di magma +40
9,Cacciatore di demoni,Danni attacco corpo a corpo a Arceri di zolfo e Mostri di magma +60
29,Cacciatore di selvaggi,Danni attacco corpo a corpo a selvaggi +8
29,Cacciatore di selvaggi,Danni attacco corpo a corpo a selvaggi +16
29,Cacciatore di selvaggi,Danni attacco corpo a corpo a selvaggi +25
29,Cacciatore di selvaggi,Danni attacco corpo a corpo a selvaggi +40
29,Cacciatore di selvaggi,Danni attacco corpo a corpo a selvaggi +60
10,Da' fuoco,L'attacco darà fuoco all'obiettivo per 3 secondi e creerà 5 punti di danno al secondo.
10,Da' fuoco,L'attacco darà fuoco all'obiettivo per 3 secondi e creerà 10 punti di danno al secondo.
10,Da' fuoco,L'attacco darà fuoco all'obiettivo per 3 secondi e creerà 15 punti di danno al secondo.
10,Da' fuoco,L'attacco darà fuoco all'obiettivo per 3 secondi e creerà 20 punti di danno al secondo.
10,Da' fuoco,L'attacco darà fuoco all'obiettivo per 3 secondi e creerà 25 punti di danno al secondo.
11,Contrattacco,L'attacco respingerà l'obiettivo di ulteriori 2 distanze. 
11,Contrattacco,L'attacco respingerà l'obiettivo di ulteriori 4 distanze. 
11,Contrattacco,L'attacco respingerà l'obiettivo di ulteriori 6 distanze. 
11,Contrattacco,L'attacco respingerà l'obiettivo di ulteriori 8 distanze. 
11,Contrattacco,L'attacco respingerà l'obiettivo di ulteriori 10 distanze. 
12,Caccia fortunata,20% di possibilità di ottenere una doppia caduta quando sconfiggi le creature.
12,Caccia fortunata,20%/15% di possibilità di ottenere una doppia/tripla caduta quando sconfiggi le creature.
12,Caccia fortunata,20%/15%/15% di possibilità di ottenere una doppia/tripla/quadrupla caduta quando sconfiggi le creature.
13,Colpo potente,Aumenta danni attacco arco del 25%.
13,Colpo potente,Aumenta danni attacco arco del 50%.
13,Colpo potente,Aumenta danni attacco arco del 75%.
13,Colpo potente,Aumenta danni attacco arco del 100%.
13,Colpo potente,Aumenta danni attacco arco del 125%.
14,Colpi illimitati,Puoi tirare con l'arco senza consumare frecce. Ogni tiro consuma 1 durata extra.
14,Colpi illimitati,Puoi tirare con l'arco senza consumare frecce. Ogni tiro consuma 2 durate extra.
14,Colpi illimitati,Puoi tirare con l'arco senza consumare frecce. Ogni tiro consuma 3 durate extra.
14,Colpi illimitati,Puoi tirare con l'arco senza consumare frecce. Ogni tiro consuma 4 durate extra.
14,Colpi illimitati,Puoi tirare con l'arco senza consumare frecce. Ogni tiro consuma 5 durate extra.
15,Durata,Aumenta la durata degli oggetti del 40%.
15,Durata,Aumenta la durata degli oggetti del 80%.
15,Durata,Aumenta la durata degli oggetti del 160%.
15,Durata,Aumenta la durata degli oggetti del 240%.
15,Durata,Aumenta la durata degli oggetti del 320%.
16,Resistenza corpo a corpo,Resistenza corpo a corpo +1
16,Resistenza corpo a corpo,Resistenza corpo a corpo +3
16,Resistenza corpo a corpo,Resistenza corpo a corpo +5
16,Resistenza corpo a corpo,Resistenza corpo a corpo +9
16,Resistenza corpo a corpo,Resistenza corpo a corpo +15
17,Resistenza lunga distanza,Resistenza lunga distanza +1
17,Resistenza lunga distanza,Resistenza lunga distanza +3
17,Resistenza lunga distanza,Resistenza lunga distanza +5
17,Resistenza lunga distanza,Resistenza lunga distanza +9
17,Resistenza lunga distanza,Resistenza lunga distanza +15
18,Resistenza esplosione,Resistenza esplosione +1
18,Resistenza esplosione,Resistenza esplosione +3
18,Resistenza esplosione,Resistenza esplosione +5
18,Resistenza esplosione,Resistenza esplosione +9
18,Resistenza esplosione,Resistenza esplosione +15
19,Resistenza fiamme,Resistenza fiamme +1
19,Resistenza fiamme,Resistenza fiamme +3
19,Resistenza fiamme,Resistenza fiamme +5
19,Resistenza fiamme,Resistenza fiamme +9
19,Resistenza fiamme,Resistenza fiamme +15
20,Resistenza veleno,Resistenza veleno +1
20,Resistenza veleno,Resistenza veleno +3
20,Resistenza veleno,Resistenza veleno +5
20,Resistenza veleno,Resistenza veleno +9
20,Resistenza veleno,Resistenza veleno +15
21,Resistenza caos,Resistenza caos +1
21,Resistenza caos,Resistenza caos +3
21,Resistenza caos,Resistenza caos +5
21,Resistenza caos,Resistenza caos +9
21,Resistenza caos,Resistenza caos +15
22,Contrattacco,Ottieni 50% di possibilità di creare 1 punto di danno all'aggressore durante un attacco corpo a corpo
22,Contrattacco,Ottieni 50% di possibilità di creare 2 punti di danno all'aggressore durante un attacco corpo a corpo
22,Contrattacco,Ottieni 50% di possibilità di creare 3 punti di danno all'aggressore durante un attacco corpo a corpo
22,Contrattacco,Ottieni 50% di possibilità di creare 4 punti di danno all'aggressore durante un attacco corpo a corpo
22,Contrattacco,Ottieni 50% di possibilità di creare 5 punti di danno all'aggressore durante un attacco corpo a corpo
23,Resistenza respinta,Riduce la respinta di 1 distanza durante un attacco subito. 
23,Resistenza respinta,Riduce la respinta di 2 distanza durante un attacco subito. 
23,Resistenza respinta,Riduce la respinta di 3 distanza durante un attacco subito. 
23,Resistenza respinta,Riduce la respinta di 4 distanza durante un attacco subito. 
23,Resistenza respinta,Riduce la respinta di 5 distanza durante un attacco subito. 
24,Raccolta precisa,Quando raccogli cubi questi cadranno.
25,Velocità,Aumenta la velocità di raccolta del 30%.
25,Velocità,Aumenta la velocità di raccolta del 70%.
25,Velocità,Aumenta la velocità di raccolta del 120%.
25,Velocità,Aumenta la velocità di raccolta del 180%.
25,Velocità,Aumenta la velocità di raccolta del 250%.
26,Scavo fortunato,"Piccone: quando raccogli minerali, hai il 16% di possibilità di ottenere doppia caduta di minerali."
26,Scavo fortunato,"Piccone: quando raccogli minerali, hai il 16%/8% di possibilità di ottenere doppia/tripla caduta di minerali."
26,Scavo fortunato,"Piccone: quando raccogli minerali, hai il 20%/10%/4% di possibilità di ottenere doppia/tripla/quadrupla caduta di minerali."
27,Colpo esplosivo,L'obiettivo salterà per aria quando colpito da una freccia.
28,Lenta caduta del Dragone,Riduce di 150 il danno caduta e riduce velocità di caduta.
32,Velocità,Aumenta la velocità di raccolta del 30%.
30,Caduta veloce,"Tenendo premuto il pulsante Shift quando si scende per aumentare la velocità di caduta del 20%, diminuire il danno in caduta di 3"
30,Caduta veloce,"Tenendo premuto il pulsante Shift quando si scende per aumentare la velocità di caduta del 30%, diminuire il danno in caduta di 6"
30,Caduta veloce,"Tenendo premuto il pulsante Shift quando si scende per aumentare la velocità di caduta del 40%, diminuire il danno in caduta di 9"
30,Caduta veloce,"Tenendo premuto il pulsante Shift quando si scende per aumentare la velocità di caduta del 50%, diminuire il danno in caduta di 15"
30,Caduta veloce,"Tenendo premuto il pulsante Shift quando si scende per aumentare la velocità di caduta del 60%, diminuire il danno in caduta di 25"
31,Ragno rampicante,"Essere in grado di salire su qualsiasi piano verticale, diminuire la velocità di movimento del 40%, costare 3 durata ogni 2 secondi"
31,Ragno rampicante,"Essere in grado di salire su qualsiasi piano verticale, diminuire la velocità di movimento del 30%, costare 3 durata ogni 2 secondi"
31,Ragno rampicante,"
Essere in grado di arrampicarsi su qualsiasi piano verticale, ridurre la velocità di movimento del 25%, costo 2 durata per 2 secondi"
31,Ragno rampicante,"Essere in grado di arrampicarsi su qualsiasi piano verticale, diminuire la velocità di movimento del 10%, costare 2 durate al secondo"
31,Ragno rampicante,"
Essere in grado di salire su qualsiasi piano verticale, costo 1 durata per 2 secondi"
